,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Cash & Equivalents,94.1,94.1,76.85,-,-,59.2
1,Cash & Short-Term Investments,94.1,94.1,76.85,-,59.2,59.2
2,Cash Growth,58.97%,58.97%,-,-,-,-
3,Accounts Receivable,356,356,155.27,-,-,157.83
4,Other Receivables,3.62,3.62,22.18,-,-,8.58
5,Receivables,359.62,359.62,177.45,-,-,166.41
6,Other Current Assets,354.08,354.08,329.59,-,-,273.49
7,Total Current Assets,807.8,807.8,583.89,-,-,499.09
8,"Property, Plant & Equipment",5.21,5.21,1.36,-,-,3.34
9,Long-Term Deferred Tax Assets,0.53,0.53,0.13,-,-,0.19
10,Total Assets,813.53,813.53,585.37,-,-,502.63
11,Accounts Payable,117.96,117.96,25.97,-,-,44.48
12,Accrued Expenses,21.97,21.97,22.16,-,-,21.57
13,Current Portion of Long-Term Debt,55.3,55.3,57.5,-,-,33.18
14,Current Portion of Leases,2.7,2.7,0.58,-,-,2.28
15,Current Income Taxes Payable,4.69,4.69,4.79,-,-,5.76
16,Current Unearned Revenue,5.34,5.34,5,-,-,6.39
17,Other Current Liabilities,36.49,36.49,43.19,-,-,26.14
18,Total Current Liabilities,244.44,244.44,159.19,-,-,139.8
19,Long-Term Leases,1.66,1.66,-,-,-,0.57
20,Long-Term Deferred Tax Liabilities,0.52,0.52,0.49,-,-,0.48
21,Total Liabilities,246.61,246.61,159.68,-,-,140.85
22,Common Stock,3.54,3.54,0.13,-,-,0.13
23,Additional Paid-In Capital,107.67,107.67,1.24,-,-,1.24
24,Retained Earnings,429.26,429.26,400.98,-,-,335.75
25,Comprehensive Income & Other,24.24,24.24,21.41,-,-,23.4
26,Total Common Equity,564.71,564.71,423.76,-,360.52,360.52
27,Minority Interest,2.22,2.22,1.93,-,-,1.26
28,Shareholders' Equity,566.92,566.92,425.69,-,361.77,361.77
29,Total Liabilities & Equity,813.53,813.53,585.37,-,-,502.63
30,Total Debt,59.66,59.66,58.08,-,36.03,36.03
31,Net Cash (Debt),34.45,34.45,18.77,-,23.16,23.16
32,Net Cash Growth,48.73%,48.73%,-,-,-,-
33,Net Cash Per Share,0.08,0.08,0.05,-,0.06,0.06
34,Filing Date Shares Outstanding,500,500,375,375,375,375
35,Total Common Shares Outstanding,500,500,375,375,375,375
36,Working Capital,563.36,563.36,424.7,-,-,359.29
37,Book Value Per Share,1.13,1.13,1.13,-,0.96,0.96
38,Tangible Book Value,564.71,564.71,423.76,-,360.52,360.52
39,Tangible Book Value Per Share,1.13,1.13,1.13,-,0.96,0.96
40,Machinery,-,-,1.63,-,-,1.81
