,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Revenue,150.26,150.26,130.77,159.66,159.66,141.9
1,Revenue Growth (YoY),-5.89%,5.89%,-,-,-,-
2,Cost of Revenue,128.76,128.76,103.79,133.07,133.07,104.11
3,Gross Profit,21.5,21.5,26.97,26.6,26.6,37.79
4,"Selling, General & Admin",6.06,6.06,12.04,7.57,7.57,9.12
5,Other Operating Expenses,-1.08,-1.08,-0.27,-0.24,-0.24,-1.82
6,Operating Expenses,6.74,6.74,10.96,10.85,10.85,6.65
7,Operating Income,14.76,14.76,16.01,15.75,15.75,31.14
8,Interest Expense,-0.7,-0.7,-0.87,-0.44,-0.44,-0.38
9,Interest & Investment Income,0.79,0.79,0.01,0.06,0.06,0.03
10,Other Non Operating Income (Expenses),-,-,2.79,-,-,-1.14
11,Pretax Income,14.86,14.86,17.94,15.37,15.37,29.65
12,Income Tax Expense,0.58,0.58,0.94,0.5,0.5,1.34
13,Earnings From Continuing Operations,14.28,14.28,17,14.86,14.86,28.31
14,Minority Interest in Earnings,-0.14,-0.14,-0.18,-0.15,-0.15,-0.91
15,Net Income,14.14,14.14,16.81,14.72,14.72,27.4
16,Net Income to Common,14.14,14.14,16.81,14.72,14.72,27.4
17,Net Income Growth,-3.94%,-48.41%,-,-,-,-
18,Shares Outstanding (Basic),454,454,375,375,375,375
19,Shares Outstanding (Diluted),454,454,375,375,375,375
20,Shares Change (YoY),20.99%,20.99%,-,-,-,-
21,EPS (Basic),0.03,0.03,0.04,0.04,0.04,0.07
22,EPS (Diluted),0.03,0.03,0.04,0.04,0.04,0.07
23,EPS Growth,-20.61%,-57.36%,-,-,-,-
24,Free Cash Flow,-46.07,-46.07,57.63,-17.05,-17.05,1.49
25,Free Cash Flow Per Share,-0.10,-0.10,0.15,-0.05,-0.05,0.00
26,Gross Margin,14.31%,14.31%,20.63%,16.66%,16.66%,26.63%
27,Operating Margin,9.82%,9.82%,12.24%,9.86%,9.86%,21.95%
28,Profit Margin,9.41%,9.41%,12.86%,9.22%,9.22%,19.31%
29,Free Cash Flow Margin,-30.66%,-30.66%,44.07%,-10.68%,-10.68%,1.05%
30,EBITDA,14.81,14.81,16.06,15.8,15.8,31.19
31,EBITDA Margin,9.85%,9.85%,12.28%,9.89%,9.89%,21.98%
32,D&A For EBITDA,0.05,0.05,0.05,0.05,0.05,0.05
33,EBIT,14.76,14.76,16.01,15.75,15.75,31.14
34,EBIT Margin,9.82%,9.82%,12.24%,9.86%,9.86%,21.95%
35,Effective Tax Rate,3.87%,3.87%,5.26%,3.28%,3.28%,4.52%
