,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,151.45,179.37,312.65,393.6,376.95,327.69,197.25,245.94,323.09,450.19,447.11,414.25,290.56,219.45,175.87,175.87,143.47
1,Other Revenue,-,-4.04,4.04,-,23.78,-18.27,18.27,-,21.62,-15.51,15.51,-,4.47,-,-,-,6.5
2,Revenue,151.45,175.33,316.7,393.6,400.73,309.42,215.52,245.94,344.71,434.68,462.62,414.25,295.03,219.45,175.87,175.87,149.98
3,Revenue Growth (YoY),-62.21%,-43.34%,46.94%,60.04%,16.25%,-28.82%,-53.41%,-40.63%,16.84%,98.08%,163.05%,135.54%,96.72%,-,-,-,-
4,Cost of Revenue,1125,55.95,536.54,404.81,538.01,276.28,193.82,223.04,323.43,372.92,416.88,343.56,253.13,190.31,142.7,142.7,95.68
5,Gross Profit,-973.48,119.38,-219.85,-11.21,-137.28,33.13,21.7,22.9,21.28,61.76,45.74,70.68,41.9,29.13,33.17,33.17,54.3
6,"Selling, General & Admin",-40.26,14.22,14.8,11.24,13.87,11.71,11.31,9.43,11.49,8.72,8.07,8.71,8.26,8.35,5.25,5.25,19.26
7,Research & Development,-66.02,22.65,25.29,18.08,13.63,12.71,11.21,13.22,12.85,12.13,15.21,12.7,9.15,9.34,6.79,6.79,26.88
8,Other Operating Expenses,11.79,-8.11,1.16,-4.85,-9.99,-2.89,-2.53,-6.27,11.38,-4.07,-0.91,-2.6,11.42,-6.56,-1.18,-1.18,3.32
9,Operating Expenses,-98.35,25.83,38.53,34,14.01,21.52,19.28,24.2,37.83,15.93,21.75,17.75,24.85,15,10.29,10.29,49.38
10,Operating Income,-875.13,93.55,-258.38,-45.21,-151.29,11.61,2.42,-1.31,-16.55,45.83,24,52.94,17.06,14.13,22.88,22.88,4.92
11,Interest Expense,-12.52,-,-,-0.42,-,-0.51,-,-0.05,-0.04,-,-0.07,-0.01,-,-1.2,-0.36,-0.36,-0.94
12,Interest & Investment Income,-,2.79,5.91,4.24,6.37,6.27,7.94,8.97,4.88,1.83,1.01,1.54,1.46,3.67,0.26,0.26,0.08
13,Currency Exchange Gain (Loss),-,-,-,-,-0,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),-5.71,-1.13,-4.1,-0.21,3.03,-5.29,-2.07,-0.07,0.57,-0.75,-0.13,-0.13,-0.43,1.52,0.28,0.28,-0.33
15,EBT Excluding Unusual Items,-893.35,95.21,-256.56,-41.6,-141.89,12.08,8.3,7.55,-11.14,46.91,24.81,54.34,18.09,18.13,23.06,23.06,3.72
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,4.28,-1.56,-1.51,-1.22,-0.16,-,-0.5,-0.5,-0.98
17,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-0.63,-,-,-,-1.38,-,-,-,-
18,Asset Writedown,276.29,-213.71,-61.66,-0.92,10.01,-10.01,0.1,-0.1,7.45,-7.45,-,-,0.02,0.01,-0.05,-0.05,-0.11
19,Other Unusual Items,0.38,-5.41,5.02,0,-6.43,-,-,-,46.78,-,-,-,12.04,-,-,-,6.11
20,Pretax Income,-616.69,-123.91,-313.2,-42.52,-138.31,2.07,8.39,7.45,46.75,37.91,23.3,53.12,28.61,18.14,22.51,22.51,8.75
21,Income Tax Expense,80.28,-21.11,-57.36,-0.97,-21.28,-1.76,-1,1.02,4.84,3.48,1.25,5.72,3.03,1.31,1.94,1.94,-0.77
22,Net Income,-696.96,-102.8,-255.84,-41.54,-117.03,3.83,9.39,6.44,41.92,34.42,22.05,47.41,25.58,16.83,20.57,20.57,9.52
23,Net Income to Common,-696.96,-102.8,-255.84,-41.54,-117.03,3.83,9.39,6.44,41.92,34.42,22.05,47.41,25.58,16.83,20.57,20.57,9.52
24,Net Income Growth,-,-,-,-,-,-88.87%,-57.41%,-86.43%,63.86%,104.58%,7.17%,130.41%,168.58%,-,-,-,-
25,Shares Outstanding (Basic),157,157,162,160,158,175,162,154,141,143,121,121,120,121,93,93,87
26,Shares Outstanding (Diluted),157,157,162,160,158,175,162,154,141,143,121,121,120,121,93,93,87
27,Shares Change (YoY),-0.57%,-10.34%,-0.31%,3.54%,12.13%,22.18%,34.56%,27.51%,17.43%,18.71%,29.41%,29.91%,37.55%,-,-,-,-
28,EPS (Basic),-4.44,-0.66,-1.58,-0.26,-0.74,0.02,0.06,0.04,0.30,0.24,0.18,0.39,0.21,0.14,0.22,0.22,0.11
29,EPS (Diluted),-4.44,-0.66,-1.58,-0.26,-0.74,0.02,0.06,0.04,0.30,0.24,0.18,0.39,0.21,0.14,0.22,0.22,0.11
30,EPS Growth,-,-,-,-,-,-90.89%,-68.35%,-89.35%,39.54%,72.34%,-17.19%,77.36%,96.11%,-,-,-,-
31,Free Cash Flow,-,-409.55,-92.87,-149.76,-103.26,-74.42,-157.16,-154.98,-355.65,73.07,0.4,-93.09,-28.13,-171.4,-163.45,-163.45,-
32,Free Cash Flow Per Share,-,-2.61,-0.57,-0.94,-0.65,-0.43,-0.97,-1.00,-2.53,0.51,0.00,-0.77,-0.23,-1.42,-1.75,-1.75,-
33,Dividend Per Share,-,-,-,-,-,-,-,-,0.275,-,-,-,-,-,-,-,-
34,Gross Margin,-,68.09%,-69.42%,-2.85%,-34.26%,10.71%,10.07%,9.31%,6.17%,14.21%,9.89%,17.06%,14.20%,13.28%,18.86%,18.86%,36.21%
35,Operating Margin,-577.81%,53.36%,-81.58%,-11.49%,-37.75%,3.75%,1.12%,-0.53%,-4.80%,10.54%,5.19%,12.78%,5.78%,6.44%,13.01%,13.01%,3.28%
36,Profit Margin,-460.18%,-58.63%,-80.78%,-10.55%,-29.20%,1.24%,4.36%,2.62%,12.16%,7.92%,4.77%,11.44%,8.67%,7.67%,11.70%,11.70%,6.35%
37,Free Cash Flow Margin,-,-233.59%,-29.33%,-38.05%,-25.77%,-24.05%,-72.92%,-63.01%,-103.17%,16.81%,0.09%,-22.47%,-9.53%,-78.10%,-92.94%,-92.94%,-
38,EBITDA,-855.5,113.18,-226.37,-25.59,-131.67,27.87,21.21,14.96,-0.29,53.76,39.16,60.86,24.98,15.59,24.34,24.34,9.73
39,EBITDA Margin,-,64.55%,-71.48%,-6.50%,-32.86%,9.01%,9.84%,6.08%,-0.08%,12.37%,8.46%,14.69%,8.47%,7.11%,13.84%,13.84%,6.49%
40,D&A For EBITDA,19.62,19.62,32.01,19.62,19.62,16.26,18.79,16.26,16.26,7.93,15.16,7.93,7.93,1.46,1.46,1.46,4.81
41,EBIT,-875.13,93.55,-258.38,-45.21,-151.29,11.61,2.42,-1.31,-16.55,45.83,24,52.94,17.06,14.13,22.88,22.88,4.92
42,EBIT Margin,-,53.36%,-81.58%,-11.49%,-37.75%,3.75%,1.12%,-0.53%,-4.80%,10.54%,5.19%,12.78%,5.78%,6.44%,13.01%,13.01%,3.28%
43,Effective Tax Rate,-,-,-,-,-,-,-,13.68%,10.35%,9.19%,5.37%,10.76%,10.58%,7.23%,8.60%,8.60%,-
44,Revenue as Reported,-,175.33,316.7,393.6,400.73,309.42,215.52,245.94,344.71,434.68,462.62,414.25,866.21,-,-,-,-
