,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,-,216,297.65,268.11,699.28,819.69,798.44,924.59,1118,1910,242.92,-,313.16,-,488.17,488.17,67.94
1,Short-Term Investments,-,-,10.6,-,10.01,-,80.07,-,70.07,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,216,216,308.25,269.11,709.29,819.69,878.51,924.59,1188,1910,242.92,313.16,313.16,-,488.17,488.17,67.94
4,Cash Growth,-69.55%,-73.65%,-64.91%,-70.89%,-40.28%,-57.09%,261.64%,195.25%,279.27%,-,-50.24%,-35.85%,360.90%,-,-,-,-
5,Accounts Receivable,-,417.39,361.15,402.18,332.72,308.87,421.47,373.57,648.19,597.53,695.51,-,416.36,-,314.34,314.34,274.59
6,Other Receivables,-,0.81,183.92,1.45,139.29,1.96,116.25,1.16,67.47,55.73,46.85,-,26.47,-,3.22,3.22,0.22
7,Receivables,-,418.2,545.07,403.63,472.01,310.83,537.72,374.73,715.66,653.27,742.36,-,442.83,-,317.56,317.56,274.81
8,Inventory,-,734.74,780.24,859.12,777.76,980.73,779.08,729.49,669.14,707.79,578.08,-,371.43,-,223.77,223.77,171.04
9,Other Current Assets,-,198.67,3.49,277.2,48.84,193.2,27.09,166.33,51.24,69.48,6.66,-,89.72,-,48.96,48.96,6.88
10,Total Current Assets,-,1568,1637,1809,2008,2304,2222,2195,2624,3341,1570,-,1217,-,1078,1078,520.68
11,"Property, Plant & Equipment",-,1378,1394,1482,1497,1354,1308,1166,928.95,733.68,743.91,-,732.08,-,621.85,621.85,391.68
12,Long-Term Investments,-,195.69,493.95,604.28,341.65,260.07,309.41,315.27,312.88,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,148.34,148.06,148.83,149.76,150.99,151.17,152.44,150.79,100.97,97.51,-,52.31,-,53.06,53.06,53.82
14,Long-Term Deferred Tax Assets,-,109.86,88.68,30.94,29.89,15.03,15.47,14.02,11.24,8.48,8.8,-,7.82,-,8.23,8.23,8.28
15,Long-Term Deferred Charges,-,7.28,7.02,6.91,7.45,3.14,3.43,2.87,3.8,3.14,3.09,-,4.08,-,4.09,4.09,5.24
16,Other Long-Term Assets,-,40.5,38.98,38.98,38.98,32.36,17.79,15.82,74.79,-,-,-,-,-,-,-,-
17,Total Assets,-,3447,3808,4121,4073,4120,4027,3862,4106,4187,2423,-,2013,-,1766,1766,979.7
18,Accounts Payable,-,778.29,1072,1115,1005,934.59,802.02,648.99,905.28,1034,897.06,-,566.93,-,254.5,254.5,206.3
19,Accrued Expenses,-,10.43,13.95,8.4,21.44,14.36,12.19,7.22,13.8,8.34,14.42,-,9.18,-,4.68,4.68,6.68
20,Short-Term Debt,-,86.59,20.27,14.91,5,-,-,-,1,-,3.59,-,-,-,43.08,43.08,19.23
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.11,11.11,5
22,Current Portion of Leases,-,0.78,0.77,0.81,0.67,0.21,0.51,0.64,0.85,-,-,-,-,-,-,-,9.56
23,Current Income Taxes Payable,-,4.64,0.38,5.33,1.28,4.59,4.09,5.34,5.65,3.56,2.53,-,1.7,-,-,-,-
24,Current Unearned Revenue,-,0.06,0.22,0.09,0.18,0.42,0.38,0.57,0.87,1.01,0.57,-,0.36,-,0.06,0.06,0
25,Other Current Liabilities,-,0.4,4.59,0.92,0.51,0.13,44.45,1.43,0.21,7.29,0.15,-,0.1,-,0.21,0.21,48.65
26,Total Current Liabilities,-,881.18,1113,1146,1034,954.3,863.64,664.19,927.66,1054,918.32,-,578.28,-,313.65,313.65,295.41
27,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54.94,54.94,19.99
28,Long-Term Leases,-,2.55,2.61,2.85,2.96,3.8,3.46,2.41,2.16,-,-,-,-,-,-,-,10.39
29,Long-Term Unearned Revenue,-,48.79,50.71,52.64,54.57,56.57,58.49,58.96,45.35,45.9,47.34,-,46.16,-,48.88,48.88,47.62
30,Long-Term Deferred Tax Liabilities,-,-,-,-,-,6.82,7.05,6.86,7.93,5.82,6.02,-,6.81,-,8.46,8.46,7.65
31,Total Liabilities,-,932.52,1166,1201,1092,1021,932.64,732.42,983.1,1106,971.69,-,631.24,-,425.92,425.92,381.06
32,Common Stock,-,161.25,161.25,161.25,161.25,161.25,134.38,134.38,134.38,134.38,100.78,-,100.78,-,100.78,100.78,72.56
33,Additional Paid-In Capital,-,2594,2594,2594,2594,2594,2621,2621,2621,2621,1059,-,1059,-,1059,1059,387.6
34,Retained Earnings,-,-174.08,-71.27,184.57,226.11,343.16,339.33,374.28,367.82,325.91,291.49,-,222.03,-,179.62,179.62,138.47
35,Treasury Stock,-,-66.35,-41.78,-20.12,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Shareholders' Equity,2515,2515,2642,2920,2981,3098,3095,3130,3123,3081,1452,1382,1382,-,1340,1340,598.63
37,Total Liabilities & Equity,-,3447,3808,4121,4073,4120,4027,3862,4106,4187,2423,-,2013,-,1766,1766,979.7
38,Total Debt,89.92,89.92,23.65,18.58,8.63,4.02,3.97,3.04,4.01,-,3.59,-,-,-,109.13,109.13,64.16
39,Net Cash (Debt),126.09,126.09,284.6,250.53,700.66,815.68,874.54,921.55,1184,1910,239.33,313.16,313.16,-,379.04,379.04,3.79
40,Net Cash Growth,-82.00%,-84.54%,-67.46%,-72.81%,-40.81%,-57.30%,265.41%,194.28%,277.99%,-,-36.86%,-17.38%,8169.43%,-,-,-,-
41,Net Cash Per Share,0.80,0.80,1.76,1.57,4.44,4.66,5.39,5.97,8.42,13.35,1.99,2.59,2.61,-,4.07,4.07,0.04
42,Filing Date Shares Outstanding,156.8,156.8,161.25,159.78,161.25,161.25,161.25,161.25,161.25,161.25,120.94,121.03,120.94,120.94,120.94,120.94,87.08
43,Total Common Shares Outstanding,156.8,156.8,161.25,159.78,161.25,161.25,161.25,161.25,161.25,161.25,120.94,121.03,120.94,120.94,120.94,120.94,87.08
44,Working Capital,-,686.42,524.38,663.27,973.92,1350,1359,1531,1696,2287,651.71,-,638.86,-,764.82,764.82,225.27
45,Book Value Per Share,16.04,16.04,16.39,18.27,18.49,19.21,19.19,19.41,19.37,19.11,12.00,11.43,11.43,-,11.08,11.08,6.87
46,Tangible Book Value,2367,2367,2494,2771,2832,2947,2943,2977,2972,2980,1354,1330,1330,-,1287,1287,544.82
47,Tangible Book Value Per Share,15.09,15.09,15.47,17.34,17.56,18.28,18.25,18.46,18.43,18.48,11.20,11.00,11.00,-,10.64,10.64,6.26
48,Buildings,-,-,501.65,-,494.25,-,285.29,-,261.82,-,262.04,-,234.35,-,151.66,151.66,151.66
49,Machinery,-,-,1023,-,861.73,-,592.67,-,543.94,-,588.71,-,399.14,-,160.94,160.94,158.68
50,Construction In Progress,-,-,128.55,-,336.8,-,583.49,-,242.33,-,6,-,177.94,-,374.31,374.31,135.24
