,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,2144,2150,2330,1962,2853,3138,3509,4201,4885,4667,4788,-,-,-,-,-,-,-
1,Market Cap Growth,-31.49%,-31.49%,-33.59%,-53.28%,-41.60%,-32.76%,-26.71%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2018,2024,2046,1712,2037,2322,2634,3279,2974,2757,4549,-,-,-,-,-,-,-
3,Last Close Price,13.87,13.71,14.45,12.17,17.69,19.46,21.76,25.78,29.98,28.64,29.39,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,56.99,45.58,46.60,32.01,36.98,-,-,-,-,-,-,-
5,Forward PE,63.05,-,-,15.07,24.92,15.38,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.12,2.07,1.81,1.38,2.16,2.68,3.15,3.39,3.28,2.82,2.98,-,-,-,-,-,-,-
7,PB Ratio,0.86,0.85,0.93,0.74,0.98,1.05,1.13,1.36,1.56,1.49,1.55,-,-,-,-,-,-,-
8,P/TBV Ratio,0.91,0.91,0.98,0.79,1.03,1.11,1.19,1.43,1.64,1.57,1.61,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-100.26,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,21.18,51.39,-381.56,-,-,36.46,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.95,1.95,1.59,1.21,1.54,1.98,2.36,2.64,2.00,1.66,2.83,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-7.56,-,-,-,41.32,36.58,27.65,-,25.44,-,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-5.66,-,-,-,-689.51,107.88,-,-,32.53,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-95.25,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.04,0.04,0.04,0.01,0.01,0.00,0.00,0.00,0.00,0.00,-,0.00,-,-,-,0.08,0.08,0.11
16,Debt / EBITDA Ratio,-,-,0.20,-,-,-,0.04,0.05,0.05,-,-,0.02,-,-,-,1.12,1.12,1.65
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-0.01,-,-,-,-,-,-
18,Asset Turnover,-,0.19,0.32,0.38,0.39,0.30,0.22,0.25,0.33,0.53,-,-,-,-,0.40,0.51,-,
19,Inventory Turnover,-,-,0.30,2.62,1.98,2.45,1.26,1.03,1.28,1.88,2.32,-,-,-,-,2.55,2.89,-
20,Quick Ratio,-,-,0.72,0.77,0.59,1.14,1.18,1.64,1.96,2.05,2.43,1.07,-,1.31,-,2.57,2.57,1.16
21,Current Ratio,-,-,1.78,1.47,1.58,1.94,2.41,2.57,3.30,2.83,3.17,1.71,-,2.10,-,3.44,3.44,1.76
22,Return on Equity (ROE),-110.86%,-15.95%,-36.80%,-5.63%,-15.40%,0.49%,1.21%,0.82%,5.40%,6.07%,6.22%,13.72%,-,-,6.14%,8.49%,-,
23,Return on Assets (ROA),-,6.45%,-16.29%,-2.76%,-9.23%,0.71%,0.15%,-0.08%,-1.00%,3.47%,-,-,-,-,3.24%,4.17%,-,
24,Return on Capital (ROIC),-83.99%,8.87%,-23.05%,-3.81%,-12.42%,0.94%,0.19%,-0.10%,-1.33%,5.05%,4.23%,9.57%,-,-,3.95%,5.42%,-,
25,Return on Capital Employed (ROCE),-,-,-14.08%,-,-,-,-0.12%,0.96%,-,-,4.46%,7.18%,-,5.36%,-,3.49%,1.91%,0.72%
26,Earnings Yield,-51.17%,-51.04%,-22.20%,-20.92%,-5.10%,-3.10%,1.75%,2.19%,2.15%,3.12%,2.70%,-,-,-,-,-,-,-
27,FCF Yield,-,-32.42%,-21.42%,-16.99%,-15.61%,-21.15%,-14.16%,-8.95%,-8.04%,-1.00%,-,-,-,-,-,-,-,
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,0.96%,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,-,1157.71%,-,-,0.09%,-,0.05%,0.01%,0.05%,0.55%,3.60%,3.60%,-
30,Buyback Yield / Dilution,2.16%,0.57%,10.34%,0.31%,-3.54%,-12.13%,-22.18%,-34.56%,-27.51%,-17.43%,-18.71%,-29.41%,-29.91%,-37.55%,-,-,-,-
31,Total Shareholder Return,2.16%,0.57%,10.34%,0.31%,-3.54%,-12.13%,-22.18%,-34.56%,-27.51%,-16.47%,-18.71%,-29.41%,-29.91%,-37.55%,-,-,-,-
