,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,107.05,128.47,90.31,123.22,119.15,125.4,96.01,121.22,126.05,122.51,94.33
1,Other Revenue,-1.88,1.88,-,4.19,-1.97,1.97,-,3.39,-2.06,2.06,-
2,Revenue,105.17,130.35,90.31,127.41,117.17,127.37,96.01,124.62,124,124.57,94.33
3,Revenue Growth (YoY),-10.24%,2.34%,-5.94%,2.24%,-5.50%,2.25%,1.78%,-,-,-,-
4,Cost of Revenue,75.38,99.67,65.39,97.63,84.19,90.86,68.19,90.46,84.54,87.75,64.77
5,Gross Profit,29.79,30.68,24.92,29.78,32.99,36.51,27.82,34.16,39.46,36.82,29.56
6,"Selling, General & Admin",7.89,9.61,6.02,9.57,7.34,10.44,7.77,11.98,6.7,6.83,5.6
7,Research & Development,5.15,5.32,4.45,6.65,4.78,5.49,4.43,5.88,4.94,5.54,3.99
8,Other Operating Expenses,0.93,1.28,-0.71,-0.21,-0.74,0.74,-0.72,1.42,0.97,0.73,1.04
9,Operating Expenses,14.42,18.72,10.31,14.83,12.03,17.39,12.89,18.92,13.04,14.12,11.7
10,Operating Income,15.37,11.96,14.61,14.96,20.95,19.12,14.93,15.24,26.42,22.7,17.86
11,Interest Expense,-0.12,-0.17,-0.1,-,-0.17,-0.19,-0.01,-0.18,-0.05,-0.17,-0.06
12,Interest & Investment Income,3.43,3.75,4.12,15.72,3.53,4.52,4.53,0.97,1.11,0.64,0.39
13,Currency Exchange Gain (Loss),0.28,-0.28,-,-0.82,0.11,-0.11,-,0.06,-0.23,0.23,-
14,Other Non Operating Income (Expenses),-0.48,0.05,-0.12,-10.42,1.62,3.28,0.59,-9.58,0.79,3.86,4.83
15,EBT Excluding Unusual Items,18.47,15.31,18.52,19.44,26.06,26.62,20.04,6.51,28.05,27.26,23.03
16,Gain (Loss) on Sale of Investments,-0.41,0.59,0.43,0.27,-,-,-,-,-,-,-
