,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,209.89,207.14,403.14,440.71,433.82,563.51,617.06,711.59,-,76.72,-
1,Trading Asset Securities,310.02,360.88,205.66,212.49,198.98,82.42,82.05,41.68,-,30.94,-
2,Cash & Short-Term Investments,519.9,568.02,608.8,653.2,632.79,645.93,699.11,753.27,-,107.66,73.96
3,Cash Growth,-17.84%,-12.06%,-12.92%,-13.28%,-,499.98%,845.30%,-,-,-,-
4,Accounts Receivable,153.08,141.71,139.09,136.33,152.59,143.03,131.48,121.58,-,124.55,-
5,Other Receivables,0.85,0.99,1.78,0.96,2.99,0.34,0.14,3.1,-,0.22,-
6,Receivables,153.93,142.7,140.87,137.3,155.58,143.37,131.62,124.68,-,124.77,-
7,Inventory,133.64,135.65,140.09,130.1,134.42,135.01,136.45,127.99,-,126.45,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,6.42,-
9,Other Current Assets,19.15,10.95,8.57,5.45,1.49,2.03,1.26,0.94,-,1.38,-
10,Total Current Assets,826.63,857.33,898.33,926.05,924.29,926.34,968.43,1007,-,366.68,-
11,"Property, Plant & Equipment",392.56,321.62,300.65,268.22,221.27,209.07,203.32,207.7,-,185.42,-
12,Long-Term Investments,10,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,96.43,97.23,98.03,98.83,88.5,89.04,56.64,57.01,-,57.66,-
14,Long-Term Deferred Tax Assets,0.21,0.2,0.1,0.09,-,-,-,-,-,2.45,-
15,Long-Term Deferred Charges,-,-,-,-,0.68,0.75,-,-,-,-,-
16,Other Long-Term Assets,28.24,25.48,26.42,28.83,22.21,8.49,39.93,8.81,-,9.84,-
17,Total Assets,1354,1302,1324,1322,1257,1234,1268,1280,-,622.04,-
18,Accounts Payable,238.76,209.97,199.58,204.37,171.99,161.09,156.88,184.56,-,150.15,-
19,Accrued Expenses,8.75,13.81,6.71,13,7.67,9.84,5.9,13.16,-,15.56,-
20,Short-Term Debt,24.02,10,9.01,9,2.84,8.84,8.84,8.84,-,6.01,-
21,Current Portion of Long-Term Debt,0.46,0.46,0.24,0.46,-,-,-,-,-,-,-
22,Current Income Taxes Payable,6.66,2.96,4.01,4.29,5.5,5.11,1.96,0.91,-,9.83,-
23,Current Unearned Revenue,9.09,10.49,10.99,12.33,11.06,11.01,14.05,12.73,-,15.67,-
24,Other Current Liabilities,2.58,3.68,2.08,2.49,3.54,4.17,2.6,2.17,-,2.27,-
25,Total Current Liabilities,290.32,251.37,232.63,245.95,202.59,200.07,190.23,222.37,-,199.5,-
26,Long-Term Debt,24.76,24.98,25.21,25.21,25.67,25.89,25.89,22.71,-,-,-
27,Long-Term Leases,-,-,0,0.03,0.03,0.07,0.04,0.04,-,0.09,-
28,Long-Term Unearned Revenue,7.06,7.34,7.62,7.9,3.32,3.49,3.6,3.81,-,4.14,-
29,Long-Term Deferred Tax Liabilities,0.71,0.81,0.93,0.99,1.35,1.69,1.93,2.26,-,-,-
30,Total Liabilities,322.85,284.51,266.39,280.07,232.96,231.21,221.7,251.19,-,203.73,-
31,Common Stock,108.8,108.8,108.8,108.8,108.8,108.8,68,68,-,51,-
32,Additional Paid-In Capital,555.43,555.43,555.43,555.43,555.43,555.43,596.23,596.23,-,54.58,-
33,Retained Earnings,366.93,353.05,392.87,377.69,359.63,338.16,382.32,364.93,-,312.74,-
34,Comprehensive Income & Other,0.07,0.08,0.05,0.04,0.13,0.09,0.08,0.04,-,-,-
35,Shareholders' Equity,1031,1017,1057,1042,1024,1002,1047,1029,-,418.32,373.76
36,Total Liabilities & Equity,1354,1302,1324,1322,1257,1234,1268,1280,-,622.04,-
37,Total Debt,49.24,35.45,34.46,34.7,28.53,34.8,34.78,31.6,-,6.09,6.14
38,Net Cash (Debt),470.66,532.58,574.35,618.5,604.27,611.13,664.33,721.67,-,101.56,67.82
39,Net Cash Growth,-22.11%,-12.85%,-13.54%,-14.30%,-,501.72%,879.57%,-,-,-,-
40,Net Cash Per Share,4.40,4.76,5.30,5.68,5.55,5.60,6.21,4.18,-,1.22,0.84
41,Filing Date Shares Outstanding,108.8,108.8,108.8,108.8,108.8,108.8,108.8,108.8,50.87,81.6,80.6
42,Total Common Shares Outstanding,108.8,108.8,108.8,108.8,108.8,108.8,108.8,108.8,50.87,81.6,80.6
43,Working Capital,536.31,605.96,665.7,680.11,721.69,726.26,778.2,784.51,-,167.18,-
44,Book Value Per Share,9.48,9.35,9.72,9.58,9.41,9.21,9.62,9.46,-,5.13,4.58
45,Tangible Book Value,934.79,920.12,959.11,943.13,935.49,913.44,989.99,972.2,-,360.66,315.39
46,Tangible Book Value Per Share,8.59,8.46,8.82,8.67,8.60,8.40,9.10,8.94,-,4.42,3.87
47,Buildings,-,143.96,-,146.1,-,129.97,-,129.97,-,129.97,-
48,Machinery,-,275.91,-,276.99,-,279,-,279.85,-,245.63,-
49,Construction In Progress,-,138.54,-,73.1,-,11.25,-,0.5,-,16.1,-
