,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,5225,3557,3392,3871,4571,5030,4945,2398,2329,-,-,-
1,Market Cap Growth,-29.29%,-29.29%,-31.40%,61.41%,96.25%,-,-,-,-,-,-,-
2,Enterprise Value,4754,3024,2818,3267,3966,4419,4281,2297,2227,-,-,-
3,Last Close Price,48.02,32.69,31.18,35.08,41.42,45.58,44.81,21.20,20.58,-,-,-
4,PE Ratio,84.68,57.65,48.96,49.28,56.60,58.00,52.93,25.51,24.07,-,-,-
5,PS Ratio,11.53,7.85,7.29,8.37,9.77,10.81,10.48,5.11,4.98,-,-,-
6,PB Ratio,5.07,3.45,3.33,3.66,4.39,4.91,4.93,2.29,2.26,-,-,-
7,P/TBV Ratio,3.80,3.80,3.69,4.04,4.85,5.38,5.41,2.42,2.40,-,-,-
8,P/FCF Ratio,-,-,-43.58,-,-,-,232.63,-,35.86,-,-,-
9,P/OCF Ratio,58.37,-,41.46,-,57.36,73.16,53.65,-,21.80,-,-,-
10,EV/Sales Ratio,10.49,6.67,6.06,7.07,8.48,9.50,9.07,4.90,4.76,-,-,-
11,EV/EBITDA Ratio,59.22,37.69,33.19,35.40,43.26,48.53,44.34,23.16,21.81,-,-,-
12,EV/EBIT Ratio,88.12,53.15,45.10,46.91,56.69,62.90,56.53,28.97,27.09,-,-,-
13,EV/FCF Ratio,-36.83,-,-36.20,-,-,-,201.38,-,34.30,-,-,-
14,Debt / Equity Ratio,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,-,0.01,0.02
15,Debt / EBITDA Ratio,0.61,0.58,0.50,0.42,0.41,0.28,0.35,0.44,0.39,-,0.05,0.07
16,Debt / FCF Ratio,-,-,-0.46,-,-,-,1.64,-,0.49,-,0.32,-
17,Asset Turnover,0.32,0.40,0.27,0.40,0.38,0.41,0.30,-,-,-,-,
18,Inventory Turnover,2.52,2.24,2.89,1.94,2.95,2.50,2.68,2.06,-,-,-,-
19,Quick Ratio,2.32,2.32,2.83,3.22,3.21,3.89,3.95,4.37,3.95,-,1.17,-
20,Current Ratio,2.85,2.85,3.41,3.86,3.77,4.56,4.63,5.09,4.53,-,1.84,-
21,Return on Equity (ROE),5.42%,5.62%,5.79%,6.99%,8.48%,9.31%,6.70%,-,-,24.65%,-,
22,Return on Assets (ROA),2.89%,2.28%,2.76%,2.90%,4.21%,3.82%,2.93%,-,-,-,-,
23,Return on Capital (ROIC),3.60%,2.79%,3.37%,3.51%,5.01%,4.51%,3.48%,-,-,14.11%,-,
24,Return on Capital Employed (ROCE),5.07%,5.35%,5.95%,6.38%,6.50%,6.66%,7.33%,7.35%,7.77%,-,9.60%,-
25,Earnings Yield,1.18%,1.73%,2.04%,2.03%,1.77%,1.72%,1.89%,3.92%,4.15%,-,-,-
26,FCF Yield,-2.47%,-3.63%,-2.29%,-1.61%,-0.96%,-0.59%,0.43%,1.37%,2.79%,-,-,-
27,Dividend Yield,0.96%,-,-,-,1.21%,-,-,-,3.04%,-,-,-
28,Payout Ratio,90.99%,10.34%,365.72%,0.61%,7.18%,0.55%,278.57%,1.28%,0.36%,-,0.26%,0.31%
29,Buyback Yield / Dilution,1.78%,-2.53%,-1.33%,36.99%,-113.89%,-31.15%,-32.77%,-,-,-,-,
30,Total Shareholder Return,0.96%,1.78%,-2.53%,-1.33%,38.19%,-113.89%,-31.15%,-32.77%,3.04%,-,-,-
