,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,644.23,514.42,719.17,690.93,599.26,536.37,502.01,608.93,559,664.98,581.53,490.25,271.28,584.1,70.53,109.31,-,-,-
1,Short-Term Investments,-,-,20,-,-,-,-,-,-,-,-,-,-,-,0.1,35.09,-,-,-,-
2,Trading Asset Securities,-,50,-,30,30,30.11,30.11,30.11,13.11,33.1,8.1,54.1,157.6,-,27,-,-,-,-,-
3,Cash & Short-Term Investments,694.23,694.23,534.42,749.17,720.93,629.37,566.47,532.12,622.04,592.1,673.08,635.63,647.85,271.28,611.2,105.62,109.31,-,-,76.49
4,Cash Growth,-3.70%,10.31%,-5.66%,40.79%,15.90%,6.29%,-15.84%,-16.28%,-3.98%,118.26%,10.13%,501.78%,492.70%,-,-,38.09%,-,-,-,-
5,Accounts Receivable,-,779.03,773.94,636.26,555.83,546.08,498.73,447.95,362.73,322.14,267.12,254.05,239.2,181.67,145.95,138.9,112.78,-,-,-
6,Other Receivables,-,17.05,12.12,17.38,17.68,11.52,10.88,12.71,16.17,15.06,12.91,12.5,12,6.47,5.05,3.85,2.37,-,-,-
7,Receivables,-,796.07,786.06,653.64,573.51,557.61,509.61,460.66,378.9,337.2,280.02,266.55,251.21,188.13,151,142.75,115.15,-,-,-
8,Inventory,-,15.38,14.4,16.58,14.41,14.67,13.3,13.16,12.54,11.23,11.33,11.63,7.84,7.04,6.8,6.88,6.29,-,-,-
9,Prepaid Expenses,-,-,-,-,-,-,5.14,-,-,-,1.69,-,1.9,-,2.57,-,-,-,-,-
10,Other Current Assets,-,79.95,83.86,84.16,48.29,67.57,50.24,42.24,26.48,37.43,30.96,45.97,32.99,328.36,28.67,44.64,32.13,-,-,-
11,Total Current Assets,-,1586,1419,1504,1357,1269,1145,1048,1040,977.97,997.09,959.78,941.79,794.81,800.24,299.89,262.87,-,-,-
12,"Property, Plant & Equipment",-,215.16,213.47,213.06,220.26,189.5,189.15,193.05,197.02,191.52,184.84,170.51,161.05,122.11,103.59,72.55,74.64,-,-,-
13,Long-Term Investments,-,61,109.75,50,100.75,100.75,100.75,100.75,94.75,60,40,30,40,40,-,-,-,-,-,-
14,Goodwill,-,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,26.06,-,-,-
15,Other Intangible Assets,-,4.57,4.93,5.23,5.39,5.6,3.7,3.98,4.2,4.48,5.99,6.04,3.32,3.49,3.73,3.93,4.04,-,-,-
16,Long-Term Deferred Tax Assets,-,58.18,54.98,46.32,38.93,30.63,27.15,21.44,16.69,15.84,8.36,7.06,5.03,2.42,2.26,2.23,2.65,-,-,-
17,Long-Term Deferred Charges,-,52.59,56.75,60.37,64.19,64.74,69.12,73.76,76.25,70.11,63.09,53.68,33.41,14.05,11.67,12.05,13.16,-,-,-
18,Other Long-Term Assets,-,74.95,16.3,80.92,50.31,41.09,31.95,31.37,8.78,15.74,20.9,33.7,31.99,13.46,2.09,4.85,1.43,-,-,-
19,Total Assets,-,2078,1901,1986,1863,1728,1593,1499,1464,1362,1346,1287,1243,1016,949.63,421.56,384.86,-,-,-
20,Accounts Payable,-,90.01,7.25,37.45,49.12,42.11,36.53,45.39,22.13,19.32,12.19,20.06,12.52,12.56,11.44,8.1,9.55,-,-,-
21,Accrued Expenses,-,23.77,48.37,22.97,47.44,21.41,24.3,18.81,37.29,16.66,19.66,15.83,27.33,12.46,20.52,15.03,22.51,-,-,-
22,Short-Term Debt,-,354.8,325.03,439.68,383.93,315.89,300.36,241.91,201.17,221.92,225.51,167.01,138.01,35,30,25,23.5,-,-,-
23,Current Portion of Long-Term Debt,-,44.82,19.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Current Portion of Leases,-,-,22.69,22.38,22.1,16.51,17.75,19.92,22.54,21.18,20.39,20.2,18.98,14.93,11.7,-,-,-,-,-
25,Current Income Taxes Payable,-,40.47,21.82,39.81,24.92,26.15,19.95,26.42,16.93,16.83,13.77,17.09,11.42,15.77,8.71,5.55,2.82,-,-,-
26,Current Unearned Revenue,-,282.54,255.33,270.3,220.83,230.82,176.31,152.51,205.85,138.58,159.08,188.7,199.85,150.93,130.49,147.39,128.29,-,-,-
27,Other Current Liabilities,-,8.07,10.55,8.49,12.88,6.97,9.46,4.71,12.27,5.53,13.01,6.48,9.72,4.16,6.5,6.3,5.27,-,-,-
28,Total Current Liabilities,-,844.49,710.23,841.08,761.21,659.87,584.65,509.67,518.19,440.03,463.61,435.37,417.83,245.82,219.36,207.37,191.94,-,-,-
29,Long-Term Debt,-,67.2,76.8,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Long-Term Leases,-,33.11,31.48,38,40.62,25.52,26.62,29.95,33.84,36.09,42.16,41.91,49.72,22.79,9.86,-,-,-,-,-
