,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,161.04,353.94,310.48,252.26,238.98,231.3,228.27,232.43,181.15,171.42,175.86,147.96,151.76,117.68,127.64,95.77,112.29,79.06,81.7,73.77
1,Other Revenue,-,-0.12,0.12,-,1.14,-0.35,0.35,-,0.21,-0.48,0.48,-,0.79,-0.7,0.7,-,0.54,-0.23,0.23,-
2,Revenue,161.04,353.82,310.6,252.26,240.12,230.96,228.61,232.43,181.37,170.93,176.35,147.96,152.55,116.98,128.34,95.77,112.83,78.83,81.93,73.77
3,Revenue Growth (YoY),-32.93%,53.20%,35.86%,8.53%,32.39%,35.12%,29.64%,57.09%,18.89%,46.12%,37.40%,54.49%,35.21%,48.40%,56.65%,29.82%,-,-,-,-
4,Cost of Revenue,-438.66,190.93,145.77,101.97,99.94,105.25,80.71,117.88,87.76,78.37,70.8,64.22,81.32,49.26,55.83,43.56,58.5,41.28,34.93,40.31
5,Gross Profit,599.7,162.89,164.83,150.3,140.18,125.71,147.9,114.56,93.61,92.56,105.55,83.74,71.23,67.72,72.51,52.21,54.33,37.55,47,33.46
6,"Selling, General & Admin",-103.11,36.74,33.2,33.17,59.03,31.62,29.43,33.16,31.16,27.81,26.55,25.29,33.16,21.32,15.97,15.18,16.33,15.62,11.25,9.67
7,Research & Development,-119.51,50.41,34.13,34.97,40.56,29.76,34.03,19.33,32.99,20.57,19.34,16.79,11.9,15.9,10.12,9.66,14.26,7.19,8.76,3.98
8,Other Operating Expenses,908.12,-8.2,7.24,-7.16,4.65,-0.37,-2.87,-1.22,7.42,-3.11,-3.49,-0.66,3.27,0.11,-2.63,-0.71,0.47,-0.5,0.03,0.04
9,Operating Expenses,651.32,86.66,87.96,74.06,133.07,70.37,69.95,61.49,75.95,51.67,46.06,45.64,51.74,38.76,25.81,27.42,32.29,23.82,20.04,14.01
10,Operating Income,-51.61,76.23,76.87,76.23,7.11,55.34,77.95,53.06,17.66,40.89,59.49,38.09,19.5,28.97,46.71,24.8,22.04,13.72,26.96,19.45
11,Interest Expense,-463.7,-3.78,-4.22,-4.13,-3.93,-3.03,-2.88,-2.34,-2.52,-2.55,-3.18,-1.45,-1.84,-0.67,-0.81,-0.25,-0.19,-0.22,-0.38,-0.25
12,Interest & Investment Income,12.13,459.8,1.56,2.34,3.12,1.96,1.68,1.77,1.58,1.9,2.63,2.66,1.39,0.63,0.28,0.22,0.46,0.07,0.06,0.04
13,Other Non Operating Income (Expenses),457.09,-458.34,-0.44,-0.02,-2.43,0.15,-0.61,-0.07,-0.75,0.22,0.2,-0.64,-0.43,0.13,-0.39,-0.03,0.89,-0.39,-0.24,-0.01
14,EBT Excluding Unusual Items,-46.09,73.91,73.77,74.43,3.88,54.42,76.14,52.42,15.97,40.47,59.14,38.67,18.62,29.07,45.79,24.74,23.2,13.19,26.4,19.23
15,Gain (Loss) on Sale of Assets,0.12,-0,0.01,-0.12,-0.21,0.06,-0.06,-,-0.25,0.01,-0,-,-0.51,0.24,-0.24,0,-0.08,0.06,-0.06,-
16,Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06,-0.06
17,Other Unusual Items,1.46,-8.19,6.74,0,6.75,-,-,-,15.14,-0.01,0.01,-,4.4,-0,0,-,0.34,-,0.21,-0.21
18,Pretax Income,-44.51,65.71,80.51,74.31,10.42,54.48,76.07,52.42,30.86,40.47,59.14,38.67,22.51,29.3,45.55,24.74,23.46,13.25,26.61,18.96
19,Income Tax Expense,-21,3.26,7.9,5.57,0.17,1.14,4.66,4.52,2.51,-2.83,6.92,3.84,0.67,2.66,6.51,3.47,1.19,1.53,3,2.4
20,Earnings From Continuing Operations,-23.51,62.45,72.61,68.74,10.25,53.34,71.41,47.9,28.35,43.3,52.22,34.84,21.84,26.64,39.04,21.28,22.28,11.72,23.61,16.56
21,Minority Interest in Earnings,-3.89,-3.33,3.21,4.01,3.44,-0.26,-1.35,0.04,-0.78,-1.78,1.76,-1.44,-1.31,-0.47,-0.61,-0.74,-0.79,-1.59,-0.01,0.69
22,Net Income,-27.4,59.12,75.82,72.75,13.68,53.08,70.06,47.94,27.57,41.52,53.98,33.4,20.53,26.17,38.43,20.53,21.49,10.13,23.59,17.25
23,Net Income to Common,-27.4,59.12,75.82,72.75,13.68,53.08,70.06,47.94,27.57,41.52,53.98,33.4,20.53,26.17,38.43,20.53,21.49,10.13,23.59,17.25
24,Net Income Growth,-,11.37%,8.22%,51.77%,-50.37%,27.84%,29.78%,43.52%,34.28%,58.68%,40.47%,62.65%,-4.47%,158.41%,62.88%,19.01%,-,-,-,-
25,Shares Outstanding (Basic),111,113,111,112,112,111,113,111,111,112,113,111,140,83,84,85,83,84,85,83
26,Shares Outstanding (Diluted),111,113,111,112,112,111,113,111,111,112,113,111,140,83,84,85,83,84,85,83
27,Shares Change (YoY),-1.18%,2.43%,-1.57%,0.40%,1.50%,-1.36%,0.48%,0.13%,-20.89%,34.67%,34.30%,31.69%,67.78%,-0.43%,-1.13%,1.47%,-,-,-,-
28,EPS (Basic),-0.25,0.52,0.68,0.65,0.12,0.48,0.62,0.43,0.25,0.37,0.48,0.30,0.15,0.31,0.46,0.24,0.26,0.12,0.28,0.21
29,EPS (Diluted),-0.25,0.52,0.68,0.65,0.12,0.48,0.62,0.43,0.25,0.37,0.48,0.30,0.15,0.31,0.46,0.24,0.26,0.12,0.28,0.21
30,EPS Growth,-,8.73%,9.95%,51.16%,-51.11%,29.60%,29.15%,43.33%,69.75%,17.83%,4.59%,23.51%,-43.06%,159.54%,64.74%,17.29%,-,-,-,-
31,Free Cash Flow,-,171.99,-90.1,-12.64,57.46,45.93,31.47,-114.96,82.11,-54.05,3.93,-31.9,-9.36,-17.43,39.2,-9.12,10.52,-2.84,15.15,13.13
32,Free Cash Flow Per Share,-,1.52,-0.81,-0.11,0.51,0.41,0.28,-1.03,0.74,-0.48,0.03,-0.29,-0.07,-0.21,0.47,-0.11,0.13,-0.03,0.18,0.16
33,Dividend Per Share,-,-,-,-,0.165,-,-,-,0.429,-,-,-,0.189,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-,-61.50%,-,-,-,126.41%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,372.39%,46.04%,53.07%,59.58%,58.38%,54.43%,64.69%,49.29%,51.61%,54.15%,59.85%,56.59%,46.69%,57.89%,56.50%,54.52%,48.15%,47.63%,57.37%,45.35%
36,Operating Margin,-32.05%,21.54%,24.75%,30.22%,2.96%,23.96%,34.10%,22.83%,9.74%,23.92%,33.73%,25.75%,12.78%,24.76%,36.39%,25.89%,19.53%,17.41%,32.91%,26.37%
37,Profit Margin,-17.01%,16.71%,24.41%,28.84%,5.70%,22.98%,30.64%,20.62%,15.20%,24.29%,30.61%,22.57%,13.46%,22.37%,29.94%,21.44%,19.05%,12.85%,28.80%,23.39%
38,Free Cash Flow Margin,-,48.61%,-29.01%,-5.01%,23.93%,19.89%,13.77%,-49.46%,45.27%,-31.62%,2.23%,-21.56%,-6.14%,-14.90%,30.54%,-9.52%,9.32%,-3.60%,18.49%,17.80%
39,EBITDA,-46.11,81.73,83.07,81.73,12.61,59.6,83.27,57.33,21.92,43.77,63.52,40.97,22.37,31.69,49.43,27.51,24.44,15.97,29.21,21.58
40,EBITDA Margin,-28.63%,23.10%,26.75%,32.40%,5.25%,25.81%,36.42%,24.66%,12.09%,25.61%,36.02%,27.69%,14.67%,27.09%,38.51%,28.72%,21.66%,20.26%,35.65%,29.25%
41,D&A For EBITDA,5.5,5.5,6.2,5.5,5.5,4.26,5.32,4.26,4.26,2.88,4.03,2.88,2.88,2.72,2.72,2.71,2.4,2.25,2.25,2.13
42,EBIT,-51.61,76.23,76.87,76.23,7.11,55.34,77.95,53.06,17.66,40.89,59.49,38.09,19.5,28.97,46.71,24.8,22.04,13.72,26.96,19.45
43,EBIT Margin,-32.05%,21.54%,24.75%,30.22%,2.96%,23.96%,34.10%,22.83%,9.74%,23.92%,33.73%,25.75%,12.78%,24.76%,36.39%,25.89%,19.53%,17.41%,32.91%,26.37%
44,Effective Tax Rate,-,4.96%,9.82%,7.49%,1.65%,2.10%,6.13%,8.63%,8.14%,-,11.70%,9.92%,2.97%,9.09%,14.29%,14.01%,5.06%,11.58%,11.28%,12.65%
45,Revenue as Reported,-,353.82,310.6,252.26,240.12,230.96,228.61,232.43,181.37,170.93,176.35,147.96,152.55,116.98,128.34,95.77,112.83,78.83,155.7,-
46,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03
