,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4825,4222,4878,4782,6968,7812,7175,6588,8952,8192,6368,8752,8504,9728,14602,7104,-,-,-,-,-
1,Market Cap Growth,-45.95%,-45.95%,-32.02%,-27.41%,-22.17%,-4.64%,12.67%,-24.73%,5.27%,-15.79%,-56.39%,23.20%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4629,4027,4807,4621,6716,7561,6966,6359,8599,7889,5990,8355,8071,9536,14047,7028,-,-,-,-,-
3,Last Close Price,43.08,37.70,43.55,42.53,61.96,69.47,63.80,58.59,79.06,72.35,56.24,77.29,74.88,85.66,128.58,62.56,-,-,-,-,-
4,PE Ratio,26.76,-,22.03,22.21,33.25,42.28,36.12,35.21,52.35,52.35,42.61,65.27,71.75,92.07,136.95,78.43,-,-,-,-,-
5,Forward PE,13.00,12.14,15.04,17.20,31.74,31.74,31.74,31.74,42.23,41.58,35.03,52.56,69.80,79.34,128.08,73.39,-,-,-,-,-
6,PS Ratio,4.48,3.92,4.22,4.63,7.32,8.38,8.21,8.10,11.76,12.11,9.83,14.74,15.58,19.71,32.17,17.09,-,-,-,-,-
7,PB Ratio,4.27,3.74,4.32,4.43,6.93,7.39,6.90,6.73,9.36,9.02,7.24,10.48,10.57,12.64,19.53,9.86,-,-,-,-,-
8,P/TBV Ratio,3.84,3.84,4.43,4.51,7.09,7.75,7.26,7.03,9.79,9.45,7.59,10.99,11.14,13.28,20.51,10.36,-,-,-,-,-
9,P/FCF Ratio,-,-,38.49,-,-,392.53,161.05,-118.86,-,89126.79,-,-159.82,-,-,-,188.10,-,-,-,-,-
10,P/OCF Ratio,-,-,28.02,-,38.23,84.13,58.44,276.56,-,78.80,-,104.34,99.03,110.23,238.67,109.46,-,-,-,-,-
11,EV/Sales Ratio,4.30,3.74,4.16,4.47,7.06,8.11,7.98,7.82,11.30,11.66,9.25,14.07,14.79,19.32,30.95,16.90,-,-,-,-,-
12,EV/EBITDA Ratio,23.18,-,18.55,19.50,28.31,35.53,31.36,30.83,46.10,46.36,35.11,52.69,55.87,72.79,105.57,59.89,-,-,-,-,-
13,EV/EBIT Ratio,26.05,-,20.33,21.44,31.00,39.08,34.14,33.55,50.26,50.53,37.92,57.20,60.56,79.49,114.67,65.52,-,-,-,-,-
14,EV/FCF Ratio,-,-,37.93,-,-,379.91,156.36,-114.73,-,85835.42,-,-152.57,-,-,-,186.08,-,-,-,-,-
15,Debt / Equity Ratio,0.44,0.44,0.44,0.44,0.59,0.42,0.34,0.35,0.31,0.28,0.32,0.34,0.28,0.27,0.10,0.07,0.12,0.12,-,-,0.10
16,Debt / EBITDA Ratio,2.50,-,1.53,1.27,1.82,3.27,1.50,0.92,1.27,1.47,1.59,0.97,1.40,1.35,0.57,0.24,0.23,0.24,-,-,0.14
17,Debt / FCF Ratio,-,-,3.95,-,-,22.44,8.03,-6.22,-,2802.12,-,-5.26,-,-,-,1.37,-,0.65,-,-,0.91
18,Asset Turnover,-,0.71,0.64,0.52,0.53,0.56,0.59,0.63,0.51,0.50,0.54,0.47,0.54,0.48,0.75,0.95,-,-,-,-,
19,Inventory Turnover,-,-,51.29,37.65,26.33,27.49,30.10,24.40,36.70,29.54,27.79,24.67,26.39,43.72,28.47,32.64,26.46,-,-,-,-
20,Quick Ratio,-,-,1.76,1.86,1.67,1.70,1.80,1.84,1.95,1.93,2.11,2.06,2.07,2.15,1.87,3.47,1.20,1.17,-,-,-
