,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,253,355,505,420,555,525,700,850,475,245,260
1,Market Cap Growth,-15.46%,-15.46%,-9.01%,-20.00%,-20.71%,-38.24%,47.37%,246.94%,82.69%,-9.26%,8.33%
2,Enterprise Value,282,432,420,296,389,421,518,767,443,148,192
3,Last Close Price,0.48,0.68,1.01,0.84,1.11,1.05,1.40,1.70,0.95,0.49,0.52
4,PE Ratio,-,-165.38,-,-,-,-,-,-,73.02,29.00,11.44
5,PS Ratio,0.39,0.56,0.78,0.76,1.23,0.99,1.35,1.91,1.17,0.56,0.48
6,PB Ratio,2.59,2.02,3.65,3.55,6.06,4.42,5.00,6.55,3.57,1.87,2.05
7,P/TBV Ratio,-,-,-,-,6.33,4.67,5.33,6.65,3.57,1.87,2.05
8,P/FCF Ratio,-,-,-,-24.88,-,-,-,5.68,-36.80,-,10.70
9,P/OCF Ratio,-,-,-,-33.18,-,-,-,5.68,-38.36,-,10.55
10,EV/Sales Ratio,0.45,0.68,0.65,0.54,0.86,0.79,1.00,1.72,1.09,0.34,0.36
11,EV/EBITDA Ratio,82.52,-39.42,-,-,-,-,-,-,60.45,11.31,5.65
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,69.74,12.21,5.83
13,EV/FCF Ratio,-6.32,-,-,-17.51,-,-,-,5.13,-34.35,-,7.89
14,Debt / Equity Ratio,0.30,0.30,0.98,0.09,0.80,0.03,0.07,0.01,0.02,0.02,0.03
15,Debt / FCF Ratio,-,-,-,-0.66,-,-,-,0.00,-0.19,-,0.13
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,4.77%,9.22%,25.69%
17,Earnings Yield,-0.85%,-0.60%,-4.37%,-7.63%,-8.24%,-6.88%,-3.23%,-0.40%,1.37%,3.45%,8.74%
18,FCF Yield,-17.63%,-12.57%,-6.65%,-4.02%,-7.30%,-21.96%,0.53%,17.60%,-2.72%,-14.17%,9.35%
19,Buyback Yield / Dilution,-1.96%,-3.93%,-,-,-,-,-,-,-,-,-
20,Total Shareholder Return,-1.96%,-3.93%,-,-,-,-,-,-,-,-,-
