,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,275.17,329.08,146.65,234.7,213.15,542.38,367.5,519.98,887.28,940.35,948.29,969.79,-,140.95,-
1,Short-Term Investments,-,-,-,218.01,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,486.2,405.18,571.8,337.47,604.93,277.29,405.55,306.38,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,761.37,734.26,718.45,790.18,818.08,819.67,773.04,826.36,887.28,940.35,948.29,969.79,-,140.95,96.25
4,Cash Growth,-6.93%,-10.42%,-7.06%,-4.38%,-7.80%,-12.83%,-18.48%,-14.79%,-,567.18%,885.25%,-,-,-,-
5,Accounts Receivable,726.17,793.6,839.9,779.63,815.17,683.14,666.26,734.55,584.95,588.13,707.48,781.17,-,657.63,-
6,Other Receivables,9.24,7.65,15.47,18,25.12,22.38,31.06,14.29,18.43,23.06,30.62,19.18,-,0.05,-
7,Receivables,735.41,801.26,855.37,797.63,840.28,705.52,697.32,748.84,603.38,611.19,738.1,800.36,-,657.68,-
8,Inventory,1021,1106,1128,1219,1247,1352,1335,1113,1030,876.61,873.81,769.98,-,534.87,-
9,Prepaid Expenses,-,-,-,-,2.99,2.08,-,-,0.9,-,0.51,0.45,-,0.12,-
10,Other Current Assets,94.34,52.8,147.8,175.45,183.52,191.41,160.41,111.52,106.5,100.86,77.8,51.27,-,102.57,-
11,Total Current Assets,2612,2694,2849,2983,3092,3071,2966,2799,2628,2529,2639,2592,-,1436,-
12,"Property, Plant & Equipment",236.38,232.31,226.53,219.72,197.26,195.96,174.62,169.75,152.11,124.29,125.02,127.41,-,127.78,-
13,Other Intangible Assets,55.82,56.33,56.58,57.09,57.61,58.01,58.43,58.66,58.97,59.46,59.84,60.33,-,61.24,-
14,Long-Term Deferred Tax Assets,28.11,28.19,25.97,25.39,21.74,21.98,21.55,21.12,16.85,17.18,15.7,14.74,-,10.93,-
15,Long-Term Deferred Charges,4.31,3.87,3.24,3.02,1.91,1.59,1.77,1.04,0.31,0.34,0.35,0.28,-,8.05,-
16,Other Long-Term Assets,1.69,0.54,2.32,1.27,1.97,3.43,1.3,0.75,0.22,0.28,0.23,0.31,-,0.67,-
17,Total Assets,2938,3015,3164,3289,3372,3352,3224,3051,2857,2731,2840,2795,-,1645,-
18,Accounts Payable,266.53,305.7,350.63,363.88,463.54,548.82,537.33,580.26,499.56,476.49,582.55,586.99,-,372.48,-
19,Accrued Expenses,8.08,29.82,7.32,14.93,7.91,15.51,7.92,11.29,7.59,10.32,7.22,8.07,-,10.72,-
20,Current Income Taxes Payable,8.44,0,2.13,0,4.32,-,11.43,3.64,2.97,1.48,4.22,6.44,-,8.92,-
21,Current Unearned Revenue,789.97,835.97,962.52,1094,1086,988.19,856.51,652.44,552.68,450.94,462.7,399.93,-,368.42,-
22,Other Current Liabilities,10.46,13.98,13.32,17.16,13.2,14.37,15.71,17.69,14.73,17.02,11.23,14.12,-,13.37,-
23,Total Current Liabilities,1083,1185,1336,1490,1575,1567,1429,1265,1078,956.26,1068,1016,-,773.91,-
24,Long-Term Leases,0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Long-Term Unearned Revenue,23.32,24.37,25.55,26.79,25.29,26.7,28.42,31.75,34.38,36.96,36.58,38.45,-,38.16,-
26,Long-Term Deferred Tax Liabilities,10.91,10.66,10.66,10.12,9.11,8.38,7.96,7.81,7.39,7.06,7.12,6.98,-,6.53,-
27,Total Liabilities,1118,1220,1372,1526,1609,1602,1465,1305,1119,1000,1112,1061,-,818.6,-
28,Common Stock,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,133.34,-,100,-
29,Additional Paid-In Capital,1009,1009,1009,1009,1009,992.05,1009,1009,1009,1009,1009,1009,-,158.44,-
30,Retained Earnings,675.07,649.02,646.18,617.4,615.84,603.02,611.44,598.46,590.24,583.23,581.33,587.63,-,563.79,-
