,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,255.5,269.81,374.37,176.2,343.49,317.36,130.36,272.87,99.71,217.11,104.78,319.3,162.67,216,104.36
1,Other Revenue,-0.71,0.71,-,7.47,-1.69,1.69,-,7.93,-3.97,3.97,-,8.77,-4.16,4.16,-
2,Revenue,254.79,270.51,374.37,183.67,341.8,319.05,130.36,280.8,95.74,221.08,104.78,328.08,158.52,220.16,104.36
3,Revenue Growth (YoY),-25.46%,-15.21%,187.19%,-34.59%,257.01%,44.32%,24.41%,-14.41%,-39.60%,0.42%,0.40%,-,-,-,-
4,Cost of Revenue,199.59,202.28,316.81,169.36,292.53,265.64,95.94,239.15,65.61,198.29,97.39,281.67,129.13,157.62,81.98
5,Gross Profit,55.2,68.23,57.56,14.32,49.28,53.41,34.42,41.65,30.13,22.78,7.39,46.4,29.38,62.54,22.38
6,"Selling, General & Admin",16.38,27.24,14.36,16.57,15.83,15.53,12.25,14.38,13.67,13.87,13.72,15.6,11.06,13.22,11.59
7,Research & Development,10.6,15.31,15.54,10.05,9.19,7.71,6.26,7.95,8.07,6.49,4.77,6.23,9.3,5.19,4.95
8,Other Operating Expenses,-2.77,3.59,0.01,-5.55,-0.26,-0.76,-1.27,0.57,-1.79,-5.21,-5.58,21.74,-5.38,-8.33,-2.66
9,Operating Expenses,16.72,65.2,29.62,23.82,32.88,58.95,22.25,50.4,18.88,24.52,11.35,60.64,17.94,14.28,12.1
10,Operating Income,38.48,3.03,27.93,-9.5,16.39,-5.54,12.16,-8.75,11.24,-1.73,-3.96,-14.24,11.44,48.25,10.27
11,Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.03
12,Interest & Investment Income,3.34,2.4,2.73,0.38,2.97,4.08,4.21,6.44,4.35,6.05,6.54,1.29,0.16,0.51,0.29
13,Other Non Operating Income (Expenses),-7.83,0.5,-0.04,-0.13,0.43,0.15,-0.19,0.66,1.05,-1.36,-0.22,-1.71,1.12,-1.43,-0.05
