,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,2379,1364,2138,2304,2112,2400,1971,1831,3404,2217,Upgrade
1,Short-Term Investments,4.32,84.33,83.54,4.07,5.32,6.15,1.84,1.28,1.49,2.01,Upgrade
2,Trading Asset Securities,50,-,-,-,-,-,0.44,-,-,-,Upgrade
3,Cash & Short-Term Investments,2433,1449,2221,2308,2117,2406,1974,1832,3406,2219,Upgrade
4,Cash Growth,9.55%,-37.23%,4.92%,-4.09%,7.27%,31.33%,-42.05%,-17.45%,65.27%,15.84%,Upgrade
5,Accounts Receivable,1054,1060,951.21,769.05,687.9,739.26,677.14,795.56,661.88,1107,Upgrade
6,Other Receivables,106.66,106.41,78.59,56.27,128.7,95.94,122.28,107.21,107.87,153.16,Upgrade
7,Receivables,1161,1167,1030,825.32,816.6,835.19,799.41,902.77,775.22,1265,Upgrade
8,Inventory,1879,2375,2683,2588,1908,2088,2033,1958,2001,1550,Upgrade
9,Prepaid Expenses,180.98,133.66,128.76,105.73,102.39,177.59,203.51,232.12,174.23,151.32,Upgrade
10,Other Current Assets,65.75,9.66,93.1,32.95,10.9,6.74,36.69,43.46,38.14,11.3,Upgrade
11,Total Current Assets,5720,5133,6156,5859,4955,5513,5046,4969,6394,5198,Upgrade
12,"Property, Plant & Equipment",486.31,510.75,517.63,531.1,563.76,589.3,617.81,603.49,632.82,678.92,Upgrade
13,Long-Term Investments,322.66,337.31,352.46,421.38,447.62,475.69,599.8,673.65,522.51,402.68,Upgrade
14,Goodwill,7748,7821,7881,7684,7582,7472,6461,6004,5447,5467,Upgrade
15,Other Intangible Assets,5470,5582,5692,5639,5594,5572,3431,4225,3546,3611,Upgrade
16,Long-Term Deferred Tax Assets,548.84,580.62,589.57,637.8,659.52,602.85,526.42,587.54,523.69,407.08,Upgrade
17,Other Long-Term Assets,36.75,76.96,186.3,189.92,106.72,56.02,108.24,156.83,138,96.52,Upgrade
18,Total Assets,20332,20042,21375,20963,19908,20282,16791,17218,17204,15861,Upgrade
19,Accounts Payable,996.51,1041,986.89,1341,792.65,881.46,738.95,637.82,958.93,837.75,Upgrade
20,Current Portion of Long-Term Debt,5707,4722,1468,986.65,394.59,3145,19.62,20.23,21.52,21.53,Upgrade
21,Current Portion of Leases,30.08,37.42,23.74,21.96,19.65,23.53,45.28,42.85,32,47.43,Upgrade
22,Current Income Taxes Payable,127.5,120.51,234.57,319.43,220.83,331.78,216.01,224.44,270.32,203.12,Upgrade
23,Current Unearned Revenue,55.66,200.46,72.08,266.61,52.6,264.22,138.83,168.03,178.61,134.61,Upgrade
24,Other Current Liabilities,2292,2320,2317,2199,2273,2175,1792,2184,2288,1959,Upgrade
25,Total Current Liabilities,9209,8441,5103,5135,3753,6822,2951,3278,3750,3203,Upgrade
26,Long-Term Debt,3796,4393,8624,8582,8964,6230,6335,6521,6539,5917,Upgrade
27,Long-Term Leases,58.86,69.64,76.21,79.18,69.33,79.05,75.6,106.26,106.46,114.93,Upgrade
28,Long-Term Deferred Tax Liabilities,790.3,785.8,838.76,836.43,800.35,826.13,846.85,938.04,919.27,966.23,Upgrade
29,Other Long-Term Liabilities,18.3,56.77,70.11,189.04,195.87,439.65,191.88,173.18,14.93,66.25,Upgrade
30,Total Liabilities,13873,13747,14712,14821,13783,14397,10401,11016,11329,10268,Upgrade
31,Common Stock,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.51,5.51,5.5,Upgrade
32,Additional Paid-In Capital,722.08,722.08,722.08,722.08,716.08,716.08,713.6,700.68,700.27,680.13,Upgrade
33,Retained Earnings,7403,7191,7474,7077,7069,6673,6856,6558,6500,6284,Upgrade
34,Comprehensive Income & Other,-1671,-1623,-1539,-1663,-1665,-1510,-1185,-1061,-1331,-1376,Upgrade
35,Total Common Equity,6460,6295,6662,6142,6126,5885,6391,6203,5875,5594,Upgrade
36,Shareholders' Equity,6460,6295,6662,6142,6126,5885,6391,6203,5875,5594,Upgrade
37,Total Liabilities & Equity,20332,20042,21375,20963,19908,20282,16791,17218,17204,15861,Upgrade
38,Total Debt,9592,9223,10193,9669,9447,9478,6476,6690,6699,6101,Upgrade
