,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,6223,5771,7811,6507,10755,6671,7794,20999,18495,22577,20747,Upgrade
1,Market Cap Growth,-11.31%,-11.31%,-27.37%,-2.46%,37.99%,-68.23%,-57.86%,-6.99%,-10.85%,-20.68%,-27.51%,Upgrade
2,Enterprise Value,13915,14336,16425,14830,19342,15604,13209,26768,22108,26919,25491,Upgrade
3,Last Close Price,9.64,8.62,11.47,9.14,14.64,8.85,10.14,26.90,23.39,28.02,25.17,Upgrade
4,PE Ratio,20.82,19.21,-,8.09,15.55,11.81,12.49,18.98,13.70,20.37,18.45,Upgrade
5,Forward PE,8.47,5.84,7.49,6.85,10.26,5.96,5.26,12.79,11.96,16.41,13.07,Upgrade
6,PS Ratio,0.42,0.39,0.51,0.44,0.74,0.47,0.55,1.52,1.39,1.87,1.70,Upgrade
7,PB Ratio,0.90,0.83,1.13,0.90,1.55,0.93,1.08,2.73,2.51,3.50,3.32,Upgrade
8,P/FCF Ratio,2.79,2.59,6.83,-,6.68,2.79,3.46,18.57,10.73,11.49,13.90,Upgrade
9,P/OCF Ratio,2.52,2.52,6.46,6.44,6.47,2.72,3.36,16.96,10.16,11.12,12.89,Upgrade
10,PEG Ratio,-,-,-,0.87,0.29,0.28,0.37,0.95,0.72,0.93,0.61,Upgrade
11,EV/Sales Ratio,0.95,0.98,1.07,0.99,1.34,1.10,0.93,1.94,1.66,2.23,2.09,Upgrade
12,EV/EBITDA Ratio,7.02,7.28,7.29,6.73,9.50,8.15,6.91,12.74,9.60,12.26,11.14,Upgrade
13,EV/EBIT Ratio,8.26,8.36,8.27,7.65,11.00,9.67,8.12,14.40,10.70,13.64,12.32,Upgrade
14,EV/FCF Ratio,6.24,6.43,14.35,-,12.01,6.53,5.86,23.67,12.83,13.70,17.08,Upgrade
15,Debt / Equity Ratio,1.48,1.48,1.47,1.53,1.57,1.54,1.61,1.01,1.08,1.14,1.09,Upgrade
16,Debt / FCF Ratio,4.62,4.62,8.88,-,6.79,4.63,5.16,6.89,4.61,3.74,4.57,Upgrade
17,Return on Capital Employed (ROCE),14.37%,14.34%,15.55%,11.03%,9.82%,8.53%,9.85%,11.17%,12.48%,13.37%,14.62%,Upgrade
18,Earnings Yield,4.83%,5.21%,8.21%,12.37%,6.43%,8.47%,8.01%,5.27%,7.30%,4.91%,5.42%,Upgrade
19,FCF Yield,35.84%,38.65%,14.65%,14.75%,14.97%,35.84%,28.93%,5.39%,9.32%,8.70%,7.19%,Upgrade
20,Dividend Yield,4.98%,5.42%,5.40%,8.87%,4.30%,4.58%,5.32%,2.65%,4.36%,2.25%,-,Upgrade
21,Buyback Yield / Dilution,-0.14%,0.05%,-0.33%,0.16%,0.12%,0.30%,0.23%,0.05%,0.09%,0.37%,0.52%,Upgrade
22,Total Shareholder Return,4.84%,5.47%,5.07%,9.04%,4.42%,4.87%,5.55%,2.70%,4.45%,2.62%,0.52%,Upgrade
