,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Market Capitalization,283,302,643,575,756,708,1067,1163,895,1007,1203,Upgrade
1,Market Cap Growth,-47.48%,-47.48%,-14.91%,-18.74%,-29.12%,-39.15%,19.25%,15.55%,-25.63%,25.06%,-23.79%,Upgrade
2,Enterprise Value,178,163,521,361,772,822,983,1122,532,479,731,Upgrade
3,Last Close Price,0.87,0.93,1.97,1.78,2.33,2.18,3.27,3.58,2.74,3.10,3.69,Upgrade
4,PE Ratio,-,-,-,1.18,1.70,-,13.90,-,-31.12,-,14.57,Upgrade
5,PS Ratio,1.82,1.94,3.66,2.96,3.30,2.47,3.77,4.27,3.05,3.36,4.05,Upgrade
6,PB Ratio,0.24,0.25,0.48,0.40,0.52,0.70,0.99,1.19,0.91,1.12,1.25,Upgrade
7,P/TBV Ratio,0.30,0.30,0.58,0.48,0.63,1.06,1.51,1.75,1.36,1.21,1.34,Upgrade
8,P/FCF Ratio,-,-,-,-,4.32,30.15,-,29.85,-,-,5.36,Upgrade
9,P/OCF Ratio,-,-,-,-,3.63,9.60,-,13.80,-,-,4.84,Upgrade
10,EV/Sales Ratio,1.15,1.05,2.97,1.86,3.37,2.86,3.48,4.12,1.82,1.59,2.46,Upgrade
11,EV/EBITDA Ratio,-,-1.84,-,-36.17,-,26.90,39.58,-,-43.99,-,-,Upgrade
12,EV/FCF Ratio,-6.00,-,-,-,4.41,34.99,-,28.80,-,-,3.25,Upgrade
13,Debt / Equity Ratio,0.01,0.01,0.01,0.03,0.10,0.27,0.22,0.25,0.31,0.06,0.01,Upgrade
14,Debt / FCF Ratio,-,-,-,-,0.83,11.44,-,6.20,-,-,0.04,Upgrade
15,Earnings Yield,-80.74%,-75.54%,-16.87%,84.81%,58.97%,7.77%,7.20%,0.55%,-3.21%,5.26%,6.87%,Upgrade
16,FCF Yield,-10.49%,-9.81%,-15.78%,-5.51%,23.16%,3.32%,2.35%,3.35%,-13.37%,5.63%,18.67%,Upgrade
17,Buyback Yield / Dilution,-0.11%,-0.56%,0.34%,-0.86%,0.43%,-0.26%,-2.30%,-0.39%,0.17%,-0.38%,1.23%,Upgrade
18,Total Shareholder Return,0.78%,-0.56%,0.34%,-0.86%,0.43%,-0.26%,-2.30%,-0.39%,0.17%,-0.38%,1.23%,Upgrade
