,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Interest and Dividend Income,68.01,68.01,63,63
1,Total Interest Expense,7.44,7.44,5.91,5.91
2,Net Interest Income,60.57,60.57,57.09,57.09
3,Revenue Before Loan Losses,60.57,60.57,57.09,57.09
4,Provision for Loan Losses,18.2,18.2,14.83,14.83
5,Revenue,42.37,42.37,42.25,42.25
6,Cost of Services Provided,23.79,23.79,26.13,26.13
7,Other Operating Expenses,-1.91,-1.91,-0.75,-0.75
8,Total Operating Expenses,21.88,21.88,25.38,25.38
9,Operating Income,20.5,20.5,16.87,16.87
10,EBT Excluding Unusual Items,20.5,20.5,16.87,16.87
11,Other Unusual Items,-,-,0.33,0.33
12,Pretax Income,20.64,20.64,17.2,17.2
13,Income Tax Expense,3.49,3.49,4.11,4.11
14,Net Income,17.15,17.15,13.09,13.09
15,Net Income to Common,17.15,17.15,13.09,13.09
16,Shares Outstanding (Basic),500,500,375,375
17,Shares Outstanding (Diluted),500,500,375,375
18,EPS (Basic),0.03,0.03,0.03,0.03
19,EPS (Diluted),0.03,0.03,0.03,0.03
20,Free Cash Flow,-30.01,-30.01,-6.59,-6.59
21,Free Cash Flow Per Share,-0.06,-0.06,-0.02,-0.02
22,Dividend Per Share,0.017,0.017,-,-
23,Operating Margin,48.37%,48.37%,39.93%,39.93%
24,Profit Margin,40.48%,40.48%,30.98%,30.98%
25,Free Cash Flow Margin,-70.84%,-70.84%,-15.60%,-15.60%
26,Effective Tax Rate,16.90%,16.90%,23.90%,23.90%
