,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,519.43,519.33,487.26,587.04,825.6,781.14,733.25,804.47,578.61,579.4,Upgrade
1,Trading Asset Securities,44.55,41.56,65.58,33.64,95.6,63.72,23.85,0,117.62,75.19,Upgrade
2,Accounts Receivable,188.62,248.83,236.61,255.29,387.88,340.82,904.4,521.57,415.4,395.73,Upgrade
3,Other Receivables,32.24,33.67,45.34,72.09,67.09,47.99,40.66,33.49,77.27,117.83,Upgrade
4,"Property, Plant & Equipment",25.19,34.48,43.6,56.71,69.59,35.06,46.12,51.58,58.92,52.02,Upgrade
5,Other Intangible Assets,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,Upgrade
6,Investments in Debt & Equity Securities,441.02,143.84,213.13,85.64,288.59,18.99,458.51,637.42,628.92,369.41,Upgrade
7,Restricted Cash,12.59,12.45,12.3,12.17,12.14,12.14,12.14,12.14,12.13,12.13,Upgrade
8,Other Current Assets,30.61,149.8,59.99,116.46,44.73,334.2,59.97,54.51,33.73,12.86,Upgrade
9,Long-Term Deferred Tax Assets,0.21,0.14,0.06,0.04,0.07,0.05,0.18,0.1,0.09,0.19,Upgrade
10,Other Long-Term Assets,473.8,460.95,453.99,445.18,451.49,470.9,459.31,435.06,396.96,386.64,Upgrade
11,Total Assets,1770,1646,1619,1666,2244,2106,2740,2552,2321,2003,Upgrade
12,Accounts Payable,93.71,123.09,125.23,126.37,241.87,160.71,272.15,359.09,263.47,164.2,Upgrade
13,Accrued Expenses,24.41,33.09,39.17,35.63,43.31,62.94,90.99,96.8,59.93,83.17,Upgrade
14,Short-Term Debt,31.57,98.39,127.83,69.09,172.67,214.17,131.89,209.41,101.72,242.43,Upgrade
15,Current Portion of Long-Term Debt,625.38,386.42,309.6,388.3,725.6,10,587,227,412.8,40,Upgrade
16,Current Portion of Leases,17.31,18.36,18.27,21.49,22.99,15.58,24.44,24.77,23.28,19.89,Upgrade
17,Other Current Liabilities,20.59,24.58,31.83,43.01,40.65,46.37,37.61,46.45,8.02,6.83,Upgrade
18,Long-Term Debt,-,-,-,-,-,548.8,558.8,558.8,479.2,492,Upgrade
19,Long-Term Leases,2.24,10.28,19.55,28.65,37.84,10.33,14.44,20.87,29.42,24.73,Upgrade
20,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,0.43,Upgrade
21,Total Liabilities,830.38,706.34,679.23,717.6,1291,1084,1729,1563,1402,1118,Upgrade
22,Common Stock,64.12,64.12,64.12,64.12,64.12,64.12,64.12,64.12,64.12,64.12,Upgrade
23,Additional Paid-In Capital,421.42,421.42,421.42,421.42,421.42,421.42,421.42,421.42,421.42,421.42,Upgrade
24,Retained Earnings,446.4,433.27,446.39,446.12,429.06,481.35,476.88,442.79,385.67,359.12,Upgrade
25,Comprehensive Income & Other,7.37,21.32,8.15,16.46,38.72,55.75,48.47,60.77,38.85,32.6,Upgrade
26,Total Common Equity,939.31,940.13,940.08,948.11,953.32,1023,1011,989.1,910.05,877.26,Upgrade
27,Minority Interest,-,-,-,-,-,-,-,-,8.78,7.74,Upgrade
28,Shareholders' Equity,939.31,940.13,940.08,948.11,953.32,1023,1011,989.1,918.84,885,Upgrade
29,Total Liabilities & Equity,1770,1646,1619,1666,2244,2106,2740,2552,2321,2003,Upgrade
30,Total Debt,676.49,513.45,475.25,507.52,959.1,798.87,1317,1041,1046,819.05,Upgrade
31,Net Cash (Debt),-112.52,47.44,77.6,113.16,-37.89,45.99,-559.47,-236.38,-350.19,-164.47,Upgrade
32,Net Cash Growth,-,-58.08%,-,146.04%,-,-,-,-,-,-,Upgrade
33,Net Cash Per Share,-0.18,0.07,0.12,0.18,-0.06,0.07,-0.87,-0.37,-0.55,-0.26,Upgrade
34,Filing Date Shares Outstanding,641.21,641.21,641.21,641.21,641.21,641.21,641.21,641.21,641.21,641.21,Upgrade
35,Total Common Shares Outstanding,641.21,641.21,641.21,641.21,641.21,641.21,641.21,641.21,641.21,641.21,Upgrade
36,Working Capital,-0.1,309.58,247.41,387.75,179.98,1055,618.57,443.17,341.12,592.47,Upgrade
37,Book Value Per Share,1.46,1.47,1.47,1.48,1.49,1.59,1.58,1.54,1.42,1.37,Upgrade
38,Tangible Book Value,937.87,938.69,938.64,946.67,951.88,1021,1009,987.66,908.62,875.82,Upgrade
39,Tangible Book Value Per Share,1.46,1.46,1.46,1.48,1.48,1.59,1.57,1.54,1.42,1.37,Upgrade
