,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,949.22,2690,3028,3649,3520,3627,3165,877.58,-
1,Short-Term Investments,1861,-,505.81,-,-,-,-,-,-
2,Trading Asset Securities,651.82,750.09,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,3462,3440,3534,3649,3520,3627,3165,877.58,-
4,Cash Growth,-2.04%,-5.75%,0.40%,0.62%,11.22%,313.29%,-,-,-
5,Accounts Receivable,141.54,114.39,88.73,62.42,46.92,35.47,44.39,70.4,-
6,Other Receivables,44.88,16.54,10.08,0.71,4.32,0.41,1.45,7.08,-
7,Receivables,209.08,130.93,98.81,76.44,51.23,35.88,45.83,77.48,-
8,Inventory,123.68,95.29,116.55,113.16,57.4,28.25,29.13,19.91,-
9,Prepaid Expenses,19.29,11.09,16.16,4.01,2.7,2.09,1.61,3.17,-
10,Other Current Assets,122,41.87,46.74,27.82,49.51,40.04,29.64,25.57,-
11,Total Current Assets,3936,3719,3812,3871,3681,3733,3271,1004,-
12,"Property, Plant & Equipment",612.72,528.08,462.63,429.28,407.68,333.96,239.27,176.06,-
13,Long-Term Investments,306.76,270.95,143.82,135.68,84.49,14.63,15.64,13.85,-
14,Goodwill,53.08,58.56,59.27,2.96,-,0.03,-,0.03,-
15,Other Intangible Assets,87.72,101.08,96.89,13.24,11.98,8.28,6.41,6.16,-
16,Long-Term Accounts Receivable,2.43,3.1,-,-,-,-,-,-,-
17,Long-Term Deferred Tax Assets,53.53,37.74,25.71,19.1,24.5,14.04,6.22,9.57,-
18,Other Long-Term Assets,12.47,7.63,26.46,15.15,19.31,36.67,8.74,0.76,-
19,Total Assets,5094,4757,4689,4486,4229,4141,3547,1210,-
20,Accounts Payable,84.82,70.04,62.01,92.63,98.44,79.55,76.13,34.02,-
21,Accrued Expenses,274.88,257.13,221.29,214.68,200.77,185.02,175.2,173.43,-
22,Short-Term Debt,-,-,-,-,-,-,-,5.94,-
23,Current Portion of Long-Term Debt,319.94,11.08,7.76,-,-,-,-,-,-
24,Current Portion of Leases,29.64,17.58,14.39,13.35,12.63,14.74,8.79,8.63,-
25,Current Income Taxes Payable,18.18,24.62,19.06,40.62,27.81,12.31,21.04,22.27,-
26,Current Unearned Revenue,411.45,450.59,351.24,361.91,312.49,372.23,355.49,400.29,-
27,Other Current Liabilities,209.86,48.06,154.94,58.3,89.48,34.62,27.54,31.13,-
28,Total Current Liabilities,1349,879.1,830.7,781.49,741.62,698.47,664.18,675.72,-
29,Long-Term Debt,4.09,6.27,8.88,-,-,-,-,-,-
30,Long-Term Leases,41.45,30.34,12.07,14.86,10.94,15.54,7.76,5.54,-
31,Long-Term Unearned Revenue,92.9,105.2,86.3,86.93,131.95,112.1,48.99,25.2,-
32,Long-Term Deferred Tax Liabilities,22.74,27.27,29.87,0.73,-,-,-,6,-
33,Other Long-Term Liabilities,295.8,300.86,292.42,-,-,-,-,-,-
34,Total Liabilities,1806,1349,1260,884.01,884.5,826.11,720.93,712.47,-
35,Common Stock,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,-
36,Additional Paid-In Capital,2632,2803,2839,2942,2942,3118,2771,486.57,-
37,Retained Earnings,477.02,557.74,460.37,504.26,307.29,290.48,63.24,104.25,-
38,Comprehensive Income & Other,122.74,-20.64,59.33,160.52,100.2,-89.44,-2.83,-89.22,-
39,Total Common Equity,3232,3340,3359,3607,3349,3319,2831,501.7,-
40,Minority Interest,56.56,67.31,69.79,-4.57,-5.2,-4.34,-4.56,-4.03,-
41,Shareholders' Equity,3289,3408,3429,3602,3344,3315,2827,497.67,-
42,Total Liabilities & Equity,5094,4757,4689,4486,4229,4141,3547,1210,-
43,Total Debt,395.12,65.28,43.11,28.2,23.57,30.29,16.56,20.11,-
44,Net Cash (Debt),3067,3374,3491,3621,3496,3597,3148,857.47,-
45,Net Cash Growth,-12.15%,-6.82%,-0.15%,0.68%,11.05%,319.45%,-,-,-
46,Net Cash Per Share,18.16,20.02,20.67,21.43,20.73,21.33,20.92,5.84,-
47,Filing Date Shares Outstanding,169.22,169.1,169.74,168.76,168.76,168.33,168.33,165.81,117.62
48,Total Common Shares Outstanding,169.22,169.1,169.74,168.76,168.76,168.33,165.81,148.98,117.62
49,Working Capital,2587,2840,2982,3089,2939,3035,2607,327.99,-
50,Book Value Per Share,19.10,19.75,19.79,21.37,19.85,19.72,17.07,3.37,-
51,Tangible Book Value,3091,3181,3203,3591,3337,3311,2825,495.52,-
52,Tangible Book Value Per Share,18.27,18.81,18.87,21.28,19.78,19.67,17.04,3.33,-
53,Buildings,198.78,198.78,192.44,189.72,188.37,6.64,6.64,6.64,-
54,Machinery,298.16,278.64,225.23,201.56,171.42,139.78,105.69,83.33,-
55,Construction In Progress,75.82,48.98,34.43,2.91,5.74,122.43,66.46,23.97,-
56,Leasehold Improvements,86.86,62.19,64.22,63.16,52.23,47.08,44.09,39.66,-
