,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,11171,9603,9562,12400,20758,26529,41982,66422,-,-
1,Market Cap Growth,-22.55%,-22.55%,-53.93%,-53.26%,-50.56%,-60.06%,-,-,-,-
2,Enterprise Value,7936,5960,5866,8301,16656,22109,38190,65399,-,-
3,Last Close Price,65.70,55.73,55.54,71.08,119.68,152.95,240.26,385.91,-,-
4,PE Ratio,235.47,204.77,162.32,66.80,85.89,85.79,119.65,298.41,-,-
5,Forward PE,80.44,90.92,59.98,39.19,67.73,59.22,98.23,-,-,-
6,PS Ratio,5.97,5.19,5.88,8.73,14.46,17.81,26.89,51.19,-,-
7,PB Ratio,3.20,2.72,2.55,3.35,5.10,6.77,10.32,19.54,-,-
8,P/TBV Ratio,2.89,2.89,2.73,3.58,5.11,6.79,10.33,19.55,-,-
9,P/FCF Ratio,-,-,127.83,-,321.64,147.18,138.94,151.06,-,-
10,P/OCF Ratio,68.91,-,52.33,-,125.02,75.70,77.43,114.92,-,-
11,PEG Ratio,1.11,1.25,-,2.03,23.41,3.98,2.98,-,-,-
12,EV/Sales Ratio,4.29,3.22,3.61,5.84,11.60,14.84,24.47,50.40,-,-
13,EV/EBITDA Ratio,76.10,80.86,116.18,-,66.50,81.16,94.74,191.08,-,-
14,EV/EBIT Ratio,1379.46,-,-310.64,-,83.63,95.24,102.20,205.11,-,-
15,EV/FCF Ratio,-285.21,-,78.41,-,258.09,122.66,126.39,148.73,-,-
16,Debt / Equity Ratio,0.12,0.12,0.02,0.01,0.01,0.01,0.01,0.01,0.04,-
17,Debt / FCF Ratio,-,-,0.96,-,0.49,0.15,0.12,0.05,0.05,-
18,Return on Capital Employed (ROCE),0.11%,-,-0.44%,-,4.76%,5.68%,8.84%,9.19%,34.61%,-
19,Earnings Yield,0.42%,0.49%,0.62%,1.50%,1.16%,1.17%,0.84%,0.34%,-,-
20,FCF Yield,-0.25%,-0.29%,0.78%,-0.75%,0.31%,0.68%,0.72%,0.66%,-,-
21,Buyback Yield / Dilution,0.13%,0.00%,0.26%,-0.15%,-0.20%,-12.04%,-14.89%,-4.46%,-,-
22,Total Shareholder Return,1.81%,0.00%,0.26%,-0.15%,-0.20%,-12.04%,-14.89%,-4.46%,-,-
