,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,861.5,859.63,616.33,698.77,570.94,700.63,571.05,507.88,308.65
1,Revenue Growth (YoY),39.78%,23.02%,7.95%,-0.27%,-0.02%,37.95%,85.01%,-,-
2,Cost of Revenue,323.63,304.65,250.6,244.48,239.54,251.61,193.42,144.58,96.9
3,Gross Profit,537.87,554.98,365.73,454.3,331.4,449.01,377.63,363.3,211.75
4,"Selling, General & Admin",501.05,447.99,324.75,271.42,211.61,247.47,172.23,197.64,105.62
5,Research & Development,74.87,87.49,86.12,72.24,75.44,63.48,59.61,55.22,38.26
6,Other Operating Expenses,-12.36,-12.19,-0.65,-25.98,-4.04,-11.96,-8.86,-10.16,-6.63
7,Operating Expenses,563.56,527.64,410.22,326.5,283.01,299.23,222.98,252.84,137.25
8,Operating Income,-25.69,27.35,-44.49,127.8,48.39,149.79,154.65,110.46,74.5
9,Interest Expense,-6.51,-7.04,-0.98,-0.8,-0.87,-0.69,-0.54,-0.52,-0.64
10,Interest & Investment Income,58.15,59.76,54.33,31.5,10.79,12.05,4.84,2.01,2.14
11,Earnings From Equity Investments,-0.5,0.61,-0.15,-0.11,-0.07,-1.01,-0.84,0.57,-0.22
12,Currency Exchange Gain (Loss),-7.84,-3.43,14.79,-9.74,16.87,13.4,-1.27,-1.86,0.81
13,Other Non Operating Income (Expenses),-,-0.25,-,-0.2,-,-0.01,-,-0.01,-
14,EBT Excluding Unusual Items,17.61,76.99,23.51,148.43,75.1,173.52,156.85,110.66,76.6
15,Merger & Restructuring Charges,-,-,-,-0.17,-,-,-,-,-
16,Gain (Loss) on Sale of Investments,0.03,-50.48,12.1,21.2,7.47,1.82,-,5.56,-1.32
17,Gain (Loss) on Sale of Assets,-0.11,-0.93,-0.05,-0.24,-0.04,0.35,-0.44,-0.13,-0.14
18,Other Unusual Items,-,-,-,-,-,35.43,-35.43,-,-
19,Pretax Income,17.53,25.59,35.57,169.22,82.53,211.11,120.97,116.09,75.15
20,Income Tax Expense,2.8,6.24,6.27,29.33,9.26,21.2,25.31,26.55,13.75
21,Earnings From Continuing Operations,14.73,19.35,29.3,139.89,73.27,189.91,95.66,89.54,61.39
22,Minority Interest in Earnings,7.75,1.82,3.01,-0.41,1.04,-0.22,0.5,-0.62,0.37
23,Net Income,22.48,21.17,32.31,139.47,74.31,189.69,96.16,88.92,61.77
24,Net Income to Common,22.48,21.17,32.31,139.47,74.31,189.69,96.16,88.92,61.77
25,Net Income Growth,-30.42%,-84.82%,-56.52%,-26.47%,-22.72%,113.32%,55.68%,-,-
26,Shares Outstanding (Basic),168,168,168,168,167,167,129,121,118
27,Shares Outstanding (Diluted),169,169,169,169,169,169,151,147,144
28,Shares Change (YoY),-0.00%,-0.26%,0.15%,0.20%,12.04%,14.89%,4.46%,-,-
29,EPS (Basic),0.13,0.13,0.19,0.83,0.44,1.14,0.74,0.73,0.53
30,EPS (Diluted),0.13,0.13,0.19,0.83,0.44,1.12,0.64,0.61,0.43
31,EPS Growth,-31.58%,-84.81%,-56.82%,-26.10%,-31.25%,84.53%,48.84%,-,-
32,Free Cash Flow,-236.08,210.18,-142.28,56.27,0.81,153.06,93.1,272.51,94.49
33,Free Cash Flow Per Share,-1.40,1.25,-0.84,0.33,0.00,0.91,0.62,1.86,0.66
34,Operating Margin,-2.98%,3.18%,-7.22%,18.29%,8.47%,21.38%,27.08%,21.75%,24.14%
35,Profit Margin,2.61%,2.46%,5.24%,19.96%,13.01%,27.07%,16.84%,17.51%,20.01%
36,Free Cash Flow Margin,-27.40%,24.45%,-23.09%,8.05%,0.14%,21.85%,16.30%,53.66%,30.61%
37,EBITDA,11.1,57.5,-11.68,151.35,70.21,162.35,166.04,118.54,85.17
38,D&A For EBITDA,36.79,30.16,32.81,23.55,21.82,12.57,11.39,8.08,10.67
39,EBIT,-25.69,27.35,-44.49,127.8,48.39,149.79,154.65,110.46,74.5
40,Advertising Expenses,85.21,-,44.9,-,35.12,-,48.77,-,9.03
