,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,168,121,199,187,239,280,238,173,175,107,184
1,Market Cap Growth,-35.29%,-35.29%,-16.74%,-33.21%,0.42%,61.85%,36.00%,61.68%,-4.89%,-54.85%,-
2,Enterprise Value,270,260,256,231,288,290,210,164,168,48,127
3,Last Close Price,0.17,0.12,0.20,0.19,0.24,0.28,0.23,0.17,0.16,0.10,0.17
4,PE Ratio,5.79,4.17,13.68,-36.95,-,9.20,4.99,4.01,10.81,150.23,-
5,PS Ratio,0.06,0.04,0.09,0.10,0.10,0.10,0.09,0.07,0.10,0.07,0.10
6,PB Ratio,0.45,0.33,0.55,0.54,0.66,0.75,0.62,0.47,0.49,0.33,0.55
7,P/TBV Ratio,0.33,0.33,0.55,0.54,0.66,0.75,0.62,0.47,0.49,0.33,0.55
8,P/FCF Ratio,-,-3.56,-,-,-138.12,-,-,4.63,-5.59,-,-7.91
9,P/OCF Ratio,-,-7.69,-,-,19.80,-,-,4.08,-8.05,-,-11.30
10,EV/Sales Ratio,0.10,0.10,0.11,0.12,0.12,0.11,0.08,0.07,0.10,0.03,0.07
11,EV/EBITDA Ratio,4.10,4.20,6.30,27.73,-,5.40,2.73,2.29,5.09,3.54,4.43
12,EV/EBIT Ratio,5.35,5.17,8.45,-174.96,-,6.27,3.03,2.55,6.23,5.56,5.29
13,EV/FCF Ratio,-7.93,-7.67,-,-,-166.63,-,-,4.39,-5.37,-,-5.48
14,Debt / Equity Ratio,0.54,0.54,0.51,0.38,0.27,0.29,0.17,0.12,0.12,0.10,0.07
15,Debt / FCF Ratio,-,-5.81,-,-,-55.75,-,-,1.14,-1.32,-,-0.98
16,Return on Capital Employed (ROCE),12.45%,12.45%,7.67%,-0.35%,-,11.53%,17.46%,16.77%,7.34%,2.63%,6.94%
17,Earnings Yield,17.29%,24.00%,7.31%,-2.71%,1.77%,10.87%,20.04%,24.94%,9.25%,0.67%,6.90%
18,FCF Yield,-20.22%,-28.08%,-42.61%,2.11%,-0.72%,-17.37%,-4.73%,21.61%,-17.90%,-30.29%,-12.64%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.08%,-11.21%,-33.44%,
20,Total Shareholder Return,-,-,-,-,-,-,-,0.08%,-11.21%,-33.44%,
