,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,865.21,772.18,574.81,536.58,867.99,644.51,773.73,536.18,332.13,491.63
1,Revenue Growth (YoY),50.52%,43.91%,-33.78%,-16.75%,12.18%,20.20%,132.96%,9.06%,-33.44%,2.23%
2,Cost of Revenue,803.41,724.65,545.25,519.53,832.72,613.87,726.8,506.93,312.4,470.38
3,Gross Profit,61.8,47.52,29.56,17.06,35.27,30.64,46.93,29.25,19.73,21.25
4,"Selling, General & Admin",42.78,35.54,24.69,25.89,24.81,20.92,23.79,22.28,15.05,19.12
5,Other Operating Expenses,0.58,-0.07,-0.92,-2.28,-2.73,-3.07,-1.13,-3.19,0.83,1.16
6,Operating Expenses,43.36,35.5,23.77,23.63,22.08,17.85,22.66,19.09,15.88,20.28
7,Operating Income,18.44,12.02,5.79,-6.58,13.19,12.79,24.27,10.16,3.85,0.97
8,Interest Expense,-3.05,-2.57,-1.63,-1.33,-1.11,-0.87,-0.74,-0.49,-0.36,-0.33
9,Interest & Investment Income,0.22,0.43,0.23,0.11,0.14,0.12,0.12,0.18,0.33,0.4
10,Earnings From Equity Investments,-,-,-,-,-,0.01,-,-0.44,-1.04,-0.74
11,Currency Exchange Gain (Loss),0.18,-0.09,0.07,-0,-0.1,-0.17,-0.05,0.03,-0,-0.01
12,EBT Excluding Unusual Items,15.79,9.8,4.46,-7.8,12.12,11.87,23.61,9.45,2.78,0.28
13,Gain (Loss) on Sale of Investments,-,-,-,-0.01,-,-,-,-,-,-
14,Gain (Loss) on Sale of Assets,0.27,0.18,-0.02,0.04,0.03,-,0.1,0.06,-,0.13
15,Asset Writedown,-,-0.08,-,-0.1,-,-,-0.03,-0.01,-0,-
16,Other Unusual Items,-,-,-,-,-,-,-,0.4,-,-
17,Pretax Income,16.07,9.9,4.45,-7.87,12.14,11.87,23.67,9.9,2.78,0.42
18,Income Tax Expense,5.95,4.12,2,-1.65,4.45,2.67,7.46,3.06,1.22,1.58
19,Earnings From Continuing Operations,10.11,5.79,2.45,-6.22,7.69,9.2,16.22,6.84,1.55,-1.16
20,Minority Interest in Earnings,1.34,0.3,-,0.75,0.16,0.05,0.03,-,-,-
21,Net Income,11.46,6.09,2.45,-5.47,7.85,9.24,16.24,6.84,1.55,-1.16
22,Net Income to Common,11.46,6.09,2.45,-5.47,7.85,9.24,16.24,6.84,1.55,-1.16
23,Net Income Growth,367.21%,-,-68.75%,-,-51.68%,35.15%,946.46%,-,-80.18%,-
24,Shares Outstanding (Basic),1000,1000,1000,1000,1000,1000,1000,1000,1000,1001
25,Shares Outstanding (Diluted),1000,1000,1000,1000,1000,1000,1000,1000,1000,1001
26,Shares Change (YoY),-,-,-,-,-,-,-,-0.08%,11.21%,33.44%
27,EPS (Basic),0.01,0.01,0.00,-0.01,0.01,0.01,0.02,0.01,0.00,-0.00
28,EPS (Diluted),0.01,0.01,0.00,-0.01,0.01,0.01,0.02,0.01,0.00,-0.00
29,EPS Growth,367.21%,-,-68.75%,-,-51.56%,36.10%,943.81%,-,-82.16%,-
30,Free Cash Flow,22.22,-42.75,-7.05,9.4,-10.37,-16.94,10.93,9.08,-25.31,7.38
31,Free Cash Flow Per Share,0.02,-0.04,-0.01,0.01,-0.01,-0.02,0.01,0.01,-0.03,0.01
32,Operating Margin,2.13%,1.56%,1.01%,-1.23%,1.52%,1.98%,3.14%,1.89%,1.16%,0.20%
33,Profit Margin,1.32%,0.79%,0.43%,-1.02%,0.90%,1.43%,2.10%,1.28%,0.47%,-0.24%
34,Free Cash Flow Margin,2.57%,-5.54%,-1.23%,1.75%,-1.20%,-2.63%,1.41%,1.69%,-7.62%,1.50%
35,EBITDA,22.09,15.4,8.49,-3.52,15.44,14.7,26.38,11.85,5.29,2.29
36,D&A For EBITDA,3.66,3.37,2.71,3.05,2.25,1.91,2.11,1.69,1.44,1.32
37,EBIT,18.44,12.02,5.79,-6.58,13.19,12.79,24.27,10.16,3.85,0.97
