,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4576,3563,3279,3538,3881,4317,4538,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-17.45%,-17.45%,-27.73%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3714,3118,2830,2068,2411,2895,4039,-,-,-,-,-,-,-,-,-
3,Last Close Price,44.19,34.32,31.58,33.30,36.53,40.63,42.71,-,-,-,-,-,-,-,-,-
4,PE Ratio,33.03,25.42,21.71,24.21,28.10,32.76,37.37,-,-,-,-,-,-,-,-,-
5,PS Ratio,5.34,4.14,3.93,4.44,5.03,5.97,6.52,-,-,-,-,-,-,-,-,-
6,PB Ratio,2.24,1.73,1.62,1.75,1.93,2.18,2.35,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.80,1.80,1.68,1.82,2.00,2.27,2.45,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-110.84,-,-,56.76,46.15,46.44,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,26.05,26.05,24.48,28.58,32.78,35.46,34.14,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.32,3.63,3.39,2.59,3.13,4.00,5.80,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,25.52,22.11,19.33,14.47,16.65,21.34,32.08,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,31.13,25.77,22.30,16.71,19.11,24.64,37.48,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-115.53,-96.99,-,-,35.26,30.95,41.33,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,0.01,0.01,0.01,0.01,0.02,0.02
15,Debt / EBITDA Ratio,0.15,0.12,0.16,0.19,0.22,0.06,0.14,0.06,0.11,-,0.07,0.07,0.06,0.06,0.09,0.09
16,Debt / FCF Ratio,-,-0.68,-,-,0.41,0.13,0.18,-,0.06,-,0.06,0.07,0.09,0.18,2.09,4.17
17,Asset Turnover,0.43,0.42,0.35,0.39,0.40,-,-,-,-,0.78,0.78,0.88,0.93,0.86,-,
18,Inventory Turnover,4.14,4.23,4.23,3.60,4.43,3.86,-,-,-,-,3.88,3.95,4.29,4.32,3.92,-
19,Quick Ratio,8.22,8.22,5.36,7.03,5.24,14.58,15.02,-,5.92,-,5.50,5.50,4.41,4.41,4.08,4.08
20,Current Ratio,9.32,9.32,6.51,8.50,6.23,15.73,16.33,-,7.13,-,6.79,6.79,5.47,5.47,5.20,5.20
21,Return on Equity (ROE),6.50%,7.51%,7.19%,6.71%,9.09%,9.35%,12.69%,-,-,15.96%,16.34%,19.14%,20.16%,15.59%,-,
22,Return on Assets (ROA),4.52%,3.21%,3.68%,2.53%,5.45%,-,-,-,-,8.60%,8.67%,10.85%,11.39%,9.61%,-,
23,Return on Capital (ROIC),4.80%,3.38%,3.89%,2.69%,5.77%,4.29%,9.33%,-,-,9.65%,9.87%,12.52%,13.16%,11.11%,-,
24,Return on Capital Employed (ROCE),5.74%,5.82%,6.20%,6.05%,6.18%,5.88%,5.52%,-,12.51%,-,17.28%,17.25%,18.02%,13.02%,8.89%,4.45%
25,Earnings Yield,3.06%,3.93%,4.61%,4.13%,3.56%,3.05%,2.68%,-,-,-,-,-,-,-,-,-
26,FCF Yield,-0.70%,-0.90%,-0.02%,1.37%,1.76%,2.17%,2.15%,-,-,-,-,-,-,-,-,-
27,Dividend Yield,0.90%,-,-,-,1.10%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,29.62%,0.39%,110.35%,-,-,-,-,-,-,-,46.77%,46.77%,5.13%,5.13%,20.91%,20.91%
29,Buyback Yield / Dilution,-20.31%,0.99%,-28.71%,-32.05%,-35.46%,-30.43%,-12.57%,-0.33%,1.65%,-1.65%,0.54%,0.54%,-,-,-,-
30,Total Shareholder Return,-19.41%,0.99%,-28.71%,-32.05%,-34.36%,-30.43%,-12.57%,-0.33%,1.65%,-1.65%,0.54%,0.54%,-,-,-,-
