,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,237.48,224.87,190.18,205.69,210.83,188.59,164.29,155.94,185.01,185.12,185.12,206.35,206.35,182.66,182.66
1,Other Revenue,-1.39,1.39,-,1.78,-0.76,0.76,-,3.68,-1.89,0.95,0.95,1.22,1.22,1.09,1.09
2,Revenue,236.09,226.26,190.18,207.47,210.08,189.34,164.29,159.62,183.12,186.07,186.07,207.57,207.57,183.75,183.75
3,Revenue Growth (YoY),12.38%,19.50%,15.75%,29.98%,14.72%,1.76%,-11.70%,-23.10%,-11.78%,1.26%,1.26%,-,-,-,-
4,Cost of Revenue,147.91,143.63,117.01,143.01,125.62,125.49,102.32,107.71,117.46,123.41,123.41,131.79,131.79,118.81,118.81
5,Gross Profit,88.18,82.64,73.17,64.46,84.46,63.85,61.97,51.91,65.66,62.66,62.66,75.78,75.78,64.94,64.94
6,"Selling, General & Admin",28.97,32.74,25.18,28.26,25.61,24.93,17.01,21.85,18.61,22.85,22.85,25.23,25.23,23.05,23.05
7,Research & Development,20.47,18.19,16.82,16.36,11.57,11.38,9.2,10.78,10.39,8.35,8.35,8.87,8.87,7.63,7.63
8,Other Operating Expenses,-1.05,1.84,-0.3,-0.76,0.78,0.93,0.67,7.04,1.41,-1.55,-1.55,1.09,1.09,1.21,1.21
9,Operating Expenses,48.5,54.9,41.33,42.72,38.91,39.21,27.74,38.83,29.83,29.71,29.71,34.92,34.92,32.23,32.23
10,Operating Income,39.68,27.74,31.84,21.74,45.55,24.64,34.23,13.07,35.83,32.95,32.95,40.85,40.85,32.71,32.71
11,Interest Expense,-0.12,-0.13,-0.14,-0.7,-0.06,-,-0.2,-0.13,-0.13,-0.12,-0.12,-0.15,-0.15,-0.15,-0.15
12,Interest & Investment Income,5.46,7.33,10.24,13.8,6.05,1.3,2.84,2.76,2.66,2.27,2.27,2.34,2.34,0.85,0.85
13,Currency Exchange Gain (Loss),-3.67,3.67,-,3.65,-2.66,2.66,-,12.35,-5.66,2.83,2.83,-1.06,-1.06,-0.84,-0.84
14,Other Non Operating Income (Expenses),0.98,-1.48,0.99,-3.65,2.89,4.79,-2.95,-14.32,12.86,0.47,0.47,0.9,0.9,0.41,0.41
15,EBT Excluding Unusual Items,42.33,37.13,42.93,34.84,51.76,33.39,33.91,13.73,45.55,38.4,38.4,42.89,42.89,32.99,32.99
16,Impairment of Goodwill,-,-,-,-1.06,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,2.08,1.86,-,-3.59,1.5,2.09,-,-,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,-,0.03,-,-0.02,0.02,0,0.13,0.02,-,0,0,0.01,0.01,-0,-0
19,Asset Writedown,-6.89,2.4,-2.41,2.96,-3.1,2.03,-2.34,6.58,-6.58,-,-,-0.03,-0.03,-,-
20,Legal Settlements,-,-,-,-0.71,-,-,-,-,-,-,-,-,-,-,-
21,Other Unusual Items,-1.11,1.11,-,6.18,-,-,-,8.42,-0.06,-,-,-,-,-,-
