,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,282.69,330.5,292.33,398.21,1324,1089,-,109.92,-,91.85,91.85,104.74,104.74,63.5,63.5
1,Trading Asset Securities,618.96,155.51,202.2,139.02,175.7,365.91,-,397.88,-,324.5,324.5,281.34,281.34,219.09,219.09
2,Cash & Short-Term Investments,901.65,486.01,494.53,537.23,1499,1455,507.81,507.81,-,416.35,416.35,386.08,386.08,282.59,282.59
3,Cash Growth,-39.87%,-66.59%,-2.61%,5.79%,-,249.36%,21.97%,31.53%,-,47.33%,47.33%,-,-,-,-
4,Accounts Receivable,210.53,204.87,156.49,182.91,186.37,174.99,-,123.24,-,152.89,152.89,163.92,163.92,184.64,184.64
5,Other Receivables,3.08,4.63,3.39,5.27,10.25,4.15,-,2.19,-,3.31,3.31,2.25,2.25,3.09,3.09
6,Receivables,213.61,209.5,159.88,188.19,196.62,179.14,-,125.43,-,156.2,156.2,166.17,166.17,187.72,187.72
7,Inventory,137.91,141.88,130.06,130.07,128.45,131.84,-,123.68,-,127.18,127.18,122.89,122.89,121.21,121.21
8,Other Current Assets,10.08,8.1,6.63,7.18,5.95,9.75,-,6.33,-,6.78,6.78,10.11,10.11,8.76,8.76
9,Total Current Assets,1263,845.49,791.11,862.66,1830,1775,-,763.24,-,706.51,706.51,685.26,685.26,600.29,600.29
10,"Property, Plant & Equipment",346.08,329.11,280.76,249.12,207.79,210.54,-,193.96,-,186.35,186.35,190.1,190.1,192.07,192.07
11,Long-Term Investments,-,922.92,-,997.63,-,-,-,5,-,-,-,-,-,-,-
12,Goodwill,13.62,13.62,13.62,13.62,14.68,14.68,-,7.32,-,7.32,7.32,7.32,7.32,-,-
13,Other Intangible Assets,47.64,48.01,48.38,48.75,49.12,49.51,-,49.29,-,50.12,50.12,50.96,50.96,51.77,51.77
14,Long-Term Deferred Tax Assets,7.19,5.37,3.3,3.21,6.25,6.49,-,2.29,-,3.05,3.05,2.77,2.77,3.19,3.19
15,Long-Term Deferred Charges,3.76,3.53,3.66,3.25,3.36,3.52,-,2.82,-,2.88,2.88,2.95,2.95,2.34,2.34
16,Other Long-Term Assets,534.07,9.37,998.99,1.96,3.34,2.83,-,0.5,-,1.88,1.88,2.36,2.36,1.49,1.49
17,Total Assets,2216,2177,2140,2180,2115,2063,-,1024,-,958.11,958.11,941.71,941.71,851.14,851.14
18,Accounts Payable,65.56,73.94,48.09,61.45,62,56.48,-,48.2,-,51.93,51.93,57.57,57.57,57.56,57.56
19,Accrued Expenses,42.75,27.74,20.02,42.79,35.53,20.77,-,37.18,-,25.33,25.33,39.83,39.83,22.13,22.13
20,Current Portion of Leases,6.02,5.03,4.73,5.42,-,4.02,-,3.07,-,3.16,3.16,3.04,3.04,3.06,3.06
21,Current Income Taxes Payable,-,6.28,6.66,8.54,-,5.28,-,7.08,-,7.3,7.3,5.51,5.51,3.21,3.21
22,Current Unearned Revenue,10.4,8.74,6.66,9.23,5.1,6.21,-,5.51,-,7.26,7.26,6.71,6.71,5.76,5.76
23,Other Current Liabilities,10.88,8.11,6.93,11.04,13.73,15.99,-,5.98,-,9.04,9.04,12.6,12.6,23.66,23.66
24,Total Current Liabilities,135.6,129.84,93.11,138.47,116.36,108.74,-,107.02,-,104.02,104.02,125.26,125.26,115.39,115.39
25,Long-Term Leases,15.84,18.12,22.8,22.92,12.37,13.12,-,6.04,-,7.26,7.26,8.49,8.49,9.86,9.86
26,Long-Term Unearned Revenue,2.76,2.43,2.55,2.67,2.79,3.01,-,3.25,-,3.5,3.5,3.75,3.75,2.91,2.91
27,Long-Term Deferred Tax Liabilities,0.18,0.19,0.21,0.22,3.11,3.35,-,-,-,-,-,-,-,-,-
28,Total Liabilities,154.37,150.58,118.66,164.27,134.63,128.22,-,116.31,-,114.78,114.78,137.5,137.5,128.17,128.17
29,Common Stock,104.92,104.92,104.92,104.92,104.92,104.92,-,78.69,-,78.69,78.69,78.69,78.69,78.69,78.69
30,Additional Paid-In Capital,1510,1502,1491,1489,1487,1485,-,561.57,-,557.54,557.54,553.51,553.51,549.48,549.48
31,Retained Earnings,473.45,440.41,444.42,408.13,374.83,330.84,-,270.03,-,209.43,209.43,173.65,173.65,96.68,96.68
32,Treasury Stock,-40.99,-33.26,-32.47,-,-,-,-,-,-,-,-,-,-,-,-
