,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3306,3752,2988,4059,5028,3765,3693,3727,2792,2915,3827,4651,6536,4347,3852,-,-,-,-,-
1,Market Cap Growth,-0.35%,-0.35%,-19.10%,8.91%,80.09%,29.19%,-3.48%,-19.87%,-57.28%,-32.94%,-0.66%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3887,4400,3423,4304,5273,4094,3997,3526,2592,2418,3363,4180,6066,3787,4072,-,-,-,-,-
3,Last Close Price,17.78,20.16,16.02,21.37,26.48,19.83,19.45,19.62,14.70,15.35,20.07,24.39,34.28,22.80,20.20,-,-,-,-,-
4,PE Ratio,36.49,-,18.11,35.83,89.40,-136.79,-,-,-,-,-462.79,-,-,53.12,28.07,-,-,-,-,-
5,PS Ratio,2.08,2.34,1.49,2.04,2.83,3.22,5.84,11.09,16.84,16.75,19.60,17.72,16.60,6.51,4.19,-,-,-,-,-
6,PB Ratio,2.73,3.08,2.40,3.23,4.05,3.17,3.24,3.17,2.36,2.38,3.09,3.72,5.08,3.34,2.94,-,-,-,-,-
7,P/TBV Ratio,3.41,3.41,2.66,3.58,4.50,3.53,3.64,3.54,2.64,2.65,3.35,4.01,5.62,3.69,3.25,-,-,-,-,-
8,P/FCF Ratio,-,-15.72,-,-,-53.55,-8.85,-,-,-,-,68.80,244.65,-60.61,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-26.98,-,-,68.60,-19.57,-11.96,-,-,14.16,20.84,31.73,118.48,33.23,31.72,-,-,-,-,-
10,EV/Sales Ratio,2.43,2.75,1.70,2.17,2.97,3.50,6.32,10.50,15.63,13.90,17.23,15.93,15.41,5.68,4.43,-,-,-,-,-
11,EV/EBITDA Ratio,15.17,18.62,12.23,20.54,36.64,-2643.66,-47.46,-,-,-,-228.16,-,-,31.89,20.06,-,-,-,-,-
12,EV/EBIT Ratio,22.70,25.70,15.34,25.53,47.39,-158.39,-36.83,-,-,-,-104.10,-,-,37.43,21.83,-,-,-,-,-
13,EV/FCF Ratio,-16.28,-18.43,-,-,-56.16,-9.62,-,-,-,-,60.46,219.91,-56.24,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.56,0.56,0.67,0.45,0.38,0.40,0.41,0.39,0.14,0.13,0.08,0.08,0.02,0.07,0.15,0.37,0.48,-,-,0.85
15,Debt / EBITDA Ratio,2.66,5.61,2.38,3.74,1.29,1.60,6.88,-,-,-,1.46,-,-,4.53,5.42,1.18,0.93,-,-,1.31
16,Debt / FCF Ratio,-,-2.86,-,-,-4.96,-1.11,-,-,-,-,1.76,5.40,-0.19,-,-,-,-70.64,-,-,-
17,Asset Turnover,0.24,0.54,0.63,1.05,1.07,0.76,0.50,0.07,0.08,0.16,0.13,0.10,0.13,0.39,0.73,-,-,-,-,
18,Inventory Turnover,2.08,0.66,1.56,1.91,3.24,3.75,3.38,2.88,1.06,0.50,0.95,0.79,0.88,0.68,1.72,1.79,-,-,-,-
19,Quick Ratio,0.71,0.71,0.87,0.48,0.68,0.69,1.07,1.56,0.82,1.63,2.83,3.80,5.53,5.88,3.19,0.87,1.06,-,-,0.64
20,Current Ratio,1.56,1.56,1.63,1.31,1.43,1.71,2.12,2.89,1.68,3.06,3.67,5.16,7.27,7.44,3.97,1.70,1.56,-,-,1.17
21,Return on Equity (ROE),-6.04%,14.22%,6.85%,14.54%,18.96%,-2.64%,-12.08%,-13.28%,-4.68%,2.11%,-1.27%,-3.92%,0.12%,1.38%,23.41%,-,-,-,-,
22,Return on Assets (ROA),1.59%,5.30%,2.22%,7.33%,8.07%,0.66%,-4.86%,-10.38%,-2.22%,1.02%,-1.39%,-5.22%,0.07%,0.81%,9.54%,-,-,-,-,
23,Return on Capital (ROIC),2.13%,7.66%,3.40%,10.52%,10.55%,0.77%,-5.60%,-12.15%,-2.54%,1.14%,-1.53%,-5.71%,0.07%,0.95%,12.74%,-,-,-,-,
24,Return on Capital Employed (ROCE),10.28%,10.28%,12.44%,10.35%,6.90%,-1.66%,-7.18%,-,-,-,-2.53%,-,-,7.60%,13.88%,55.45%,59.75%,-,-,13.75%
25,Earnings Yield,2.76%,2.43%,5.52%,2.79%,1.12%,-0.73%,-2.63%,-2.23%,-1.85%,-0.82%,-0.22%,-0.25%,0.30%,1.88%,3.56%,-,-,-,-,-
26,FCF Yield,-7.22%,-6.36%,-8.37%,-2.45%,-1.87%,-11.30%,-21.05%,-19.68%,-14.67%,-4.30%,1.45%,0.41%,-1.65%,-0.37%,1.08%,-,-,-,-,-
27,Dividend Yield,1.61%,-,-,-,1.08%,-,-,-,-,-,-,-,0.25%,-,-,-,-,-,-,-
28,Payout Ratio,113.04%,-,-,10.33%,55.64%,1.67%,-,-,-,-,9.68%,-,-,1697.75%,-,4.60%,7.90%,6.24%,5.13%,10.29%
29,Buyback Yield / Dilution,-1.20%,0.22%,-0.08%,0.09%,-5.17%,-0.43%,-0.68%,0.98%,-1.37%,0.31%,-7.73%,-35.26%,-26.99%,-33.35%,-23.02%,0.67%,-,-,-,-
30,Total Shareholder Return,0.40%,0.22%,-0.08%,0.09%,-4.09%,-0.43%,-0.68%,0.98%,-1.37%,0.31%,-7.73%,-35.26%,-26.74%,-33.35%,-23.02%,0.67%,-,-,-,-
