,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,256.12,287.78,424.13,475.42,654.39,271.97,216.09,17.82,43.63,47.92,45.92,15.98,60.06,120,177.08,297.98,316.18,484.71,208.72
1,Other Revenue,-94.54,94.54,-,158.9,-85.67,85.67,-,10.55,-13.3,13.3,-,20.52,-8.5,8.5,-,12.11,-11.84,11.84,-
2,Revenue,161.58,382.32,424.13,634.32,568.73,357.63,216.09,28.37,30.33,61.22,45.92,36.51,51.56,128.5,177.08,310.09,304.33,496.56,208.72
3,Revenue Growth (YoY),-71.59%,6.90%,96.27%,2136.13%,1775.14%,484.19%,370.55%,-22.30%,-41.18%,-52.36%,-74.07%,-88.23%,-83.06%,-74.12%,-15.16%,-,-,-,-
4,Cost of Revenue,104.34,285.63,349.75,492.44,463.93,323.54,221.88,67.99,27.07,49.3,42.57,48.91,40.28,114.47,111.51,226.29,169.74,328.85,132.44
5,Gross Profit,57.2,96.74,74.38,141.88,104.8,34.1,-5.79,-39.63,3.26,11.91,3.36,-12.41,11.28,14.02,65.57,83.8,134.59,167.71,76.28
6,"Selling, General & Admin",31.9,30.52,32.61,46.57,26.83,13.4,18.01,11.04,14.32,9.29,8.28,13.22,10.69,3.88,24.8,1.54,41.83,18.33,22.79
7,Research & Development,19.67,3.81,4.83,20.05,13.37,9.07,3.49,4.75,3.06,4.59,2.48,4.82,4.27,8.18,3.49,25.77,6.91,6.36,4.9
8,Other Operating Expenses,-6.03,1.34,-0.09,4.01,1.48,1.68,-0.4,12.12,0.02,-9.64,-0.06,2.88,-0.07,0.61,0.26,2.94,1.91,3.34,0.85
9,Operating Expenses,40.29,37.18,50.44,71.08,35.96,29.12,27.55,26.69,17.11,5.77,11.5,18.32,10.86,9.79,28.6,24.23,48.81,36.23,32.8
10,Operating Income,16.91,59.56,23.94,70.8,68.84,4.98,-33.34,-66.32,-13.85,6.15,-8.15,-30.73,0.43,4.24,36.96,59.56,85.78,131.48,43.48
11,Interest Expense,-9.16,-9.36,-7.13,-19.06,-,-7.64,-1.08,-1.43,-0.93,-1.71,-,-0.44,-1.04,-3.67,-1.38,-3.61,-4.14,-4.89,-3.71
12,Interest & Investment Income,0.12,0.12,0.22,0.8,5.16,0.2,1.46,2.24,3.1,4.56,3.99,5.06,4.84,4.91,-,0.03,0.02,0.02,0.03
13,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,0.01,-0.01,0.01,-,-0.04,0.04,-0.04,-,0,-,-,-
14,Other Non Operating Income (Expenses),-2.53,4.47,4.41,13.74,-14.93,-3.51,0.66,-1.17,0.93,-0.96,0,-1.79,0.28,1.02,0.1,-3.77,-1.09,-3.94,-0.24
15,EBT Excluding Unusual Items,5.34,54.8,21.43,66.28,59.07,-5.98,-32.31,-66.65,-10.75,8.05,-4.16,-27.94,4.54,6.46,35.67,52.22,80.56,122.67,39.56
16,Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-13.42,13.42,-13.42,-
17,Gain (Loss) on Sale of Investments,-1.2,-1.83,-0.67,-2.91,-1.35,-1.1,-0.54,-0.56,-0.53,-1.37,-,0.2,-0.4,-0.68,-1.16,-1.42,-2.15,-0.24,-0.86
