,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Other Revenue,-6.22,2.86,3.36,-7.04,3.49,3.54
1,Revenue,147.06,320.83,310.27,315.61,415.59,460.64
2,Revenue Growth (YoY),-64.62%,-30.35%,-,-,-,-
3,Cost of Revenue,123.97,207.62,190.47,181.59,214.84,223.87
4,Gross Profit,23.09,113.21,119.79,134.02,200.75,236.78
5,"Selling, General & Admin",20.82,11.75,10.8,18.66,16.44,15.38
6,Research & Development,8.5,12.18,11.05,13.46,15.25,15.62
7,Other Operating Expenses,-8.19,2.47,2.4,-2.83,-1.26,-0.49
8,Operating Expenses,14.15,28.51,27.41,26.15,31.18,35.7
9,Operating Income,8.94,84.7,92.38,107.87,169.57,201.08
10,Interest Expense,-1.81,-1.27,-0.37,-0.17,-0.37,-0.44
11,Interest & Investment Income,2.3,13.47,10.16,9.98,10.24,1.69
12,Earnings From Equity Investments,3.09,-,-,-1.39,-,-
13,Currency Exchange Gain (Loss),-4.06,2.08,1.98,-9.01,12.88,-3.87
14,Other Non Operating Income (Expenses),-4.44,-0.05,-0.2,7.58,-1.07,-1.63
15,EBT Excluding Unusual Items,4.03,98.93,103.94,114.86,191.25,196.82
16,Gain (Loss) on Sale of Investments,1.89,1.21,-0.14,0.55,-8.46,6.79
17,Gain (Loss) on Sale of Assets,4.77,-4.77,-,-0.01,0.01,-
18,Asset Writedown,-,-0.15,0.15,-,0.09,-0.09
19,Other Unusual Items,-4.84,3.11,1.73,-,-,-
20,Pretax Income,5.85,98.33,105.68,115.4,182.88,203.53
21,Income Tax Expense,0.36,12.97,14.8,15.39,28.43,29.08
22,Earnings From Continuing Operations,5.48,85.36,90.88,100.01,154.45,174.45
23,Minority Interest in Earnings,2.12,-0.04,0.04,0.04,-0.07,0.07
24,Net Income,7.6,85.33,90.92,100.05,154.38,174.52
25,Net Income to Common,7.6,85.33,90.92,100.05,154.38,174.52
26,Net Income Growth,-95.08%,-51.11%,-,-,-,-
27,Shares Outstanding (Basic),293,259,259,257,259,259
28,Shares Outstanding (Diluted),293,259,259,257,259,259
29,Shares Change (YoY),13.04%,0.14%,-,-,-,-
30,EPS (Basic),0.03,0.33,0.35,0.39,0.60,0.67
31,EPS (Diluted),0.03,0.33,0.35,0.39,0.60,0.67
32,EPS Growth,-95.64%,-50.90%,-,-,-,-
33,Free Cash Flow,-27.08,-34.11,-49.25,23.71,107.32,77.91
34,Free Cash Flow Per Share,-0.09,-0.13,-0.19,0.09,0.41,0.30
35,Dividend Per Share,-,0.400,-,-,-,-
36,Gross Margin,15.70%,35.29%,38.61%,42.46%,48.30%,51.40%
37,Operating Margin,6.08%,26.40%,29.77%,34.18%,40.80%,43.65%
38,Profit Margin,5.17%,26.60%,29.30%,31.70%,37.15%,37.89%
39,Free Cash Flow Margin,-18.42%,-10.63%,-15.87%,7.51%,25.82%,16.91%
40,EBITDA,27.71,103.48,111.35,126.3,187.99,219.28
41,EBITDA Margin,18.85%,32.25%,35.89%,40.02%,45.23%,47.60%
42,D&A For EBITDA,18.77,18.77,18.97,18.42,18.42,18.21
43,EBIT,8.94,84.7,92.38,107.87,169.57,201.08
44,EBIT Margin,6.08%,26.40%,29.77%,34.18%,40.80%,43.65%
45,Effective Tax Rate,6.22%,13.19%,14.00%,13.34%,15.55%,14.29%
46,Revenue as Reported,147.06,320.83,310.27,315.61,415.59,460.64
