,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,2569,1155,1354,-,-,-
1,Trading Asset Securities,223.35,223.63,52.73,-,-,-
2,Cash & Short-Term Investments,2792,1378,1406,-,-,1065
3,Cash Growth,-,29.37%,-,-,-,-
4,Accounts Receivable,289.16,469.85,370.48,-,-,-
5,Other Receivables,0.65,0.51,0.5,-,-,-
6,Receivables,289.81,470.36,370.98,-,-,-
7,Inventory,210.33,172.9,171.91,-,-,-
8,Other Current Assets,36.38,30.17,26.65,-,-,-
9,Total Current Assets,3329,2052,1976,-,-,-
10,"Property, Plant & Equipment",907.53,847.25,755.48,-,-,-
11,Long-Term Investments,33.31,33.78,33.64,-,-,-
12,Other Intangible Assets,179.59,175.63,177.17,-,-,-
13,Long-Term Deferred Tax Assets,10.24,10.11,10.81,-,-,-
14,Long-Term Deferred Charges,0.28,0.32,0.35,-,-,-
15,Other Long-Term Assets,34.35,24.11,21.38,-,-,-
16,Total Assets,4494,3143,2975,-,-,-
17,Accounts Payable,136.65,119.14,107.33,-,-,-
18,Accrued Expenses,15.34,24.38,18.02,-,-,-
19,Current Portion of Leases,0.13,0.13,0.26,-,-,-
20,Current Income Taxes Payable,3.73,11.45,16.71,-,-,-
21,Current Unearned Revenue,2.19,1.24,2.48,-,-,-
22,Other Current Liabilities,16.21,80.97,9.83,-,-,-
23,Total Current Liabilities,174.25,237.32,154.63,-,-,-
24,Long-Term Debt,124.84,124.28,123.21,-,-,-
25,Long-Term Leases,0.11,0.11,0.13,-,-,-
26,Long-Term Unearned Revenue,40.8,42.54,44.27,-,-,-
27,Long-Term Deferred Tax Liabilities,3.68,3.86,3.85,-,-,-
28,Total Liabilities,343.69,408.1,326.09,-,-,-
29,Common Stock,345.34,259,259,-,-,-
30,Additional Paid-In Capital,1911,585.7,585.7,-,-,-
31,Retained Earnings,1770,1765,1679,-,-,-
32,Comprehensive Income & Other,4.99,4.18,3.67,-,-,-
33,Total Common Equity,4031,2614,2527,-,-,2016
34,Minority Interest,119.28,121.05,121.36,-,-,-
35,Shareholders' Equity,4150,2735,2649,-,-,2056
36,Total Liabilities & Equity,4494,3143,2975,-,-,-
37,Total Debt,125.08,124.52,123.6,-,-,19.31
38,Net Cash (Debt),2667,1254,1283,-,-,1046
39,Net Cash Growth,-,19.86%,-,-,-,-
40,Net Cash Per Share,9.11,4.83,4.95,-,-,4.04
41,Filing Date Shares Outstanding,345.34,345.34,259,257.25,258.96,259
42,Total Common Shares Outstanding,345.34,259,259,257.25,258.96,259
43,Working Capital,3155,1814,1821,-,-,-
44,Book Value Per Share,11.67,10.09,9.76,-,-,7.78
45,Tangible Book Value,3852,2438,2350,-,-,1887
46,Tangible Book Value Per Share,11.15,9.41,9.07,-,-,7.29
47,Buildings,-,250.98,256.36,-,-,-
48,Machinery,-,634.9,592.7,-,-,-
49,Construction In Progress,-,241.15,171.67,-,-,-
