,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,6465,6389,-,-,-,-,-
1,Enterprise Value,3917,5256,-,-,-,-,-
2,Last Close Price,18.72,18.09,-,-,-,-,-
3,PE Ratio,19.70,22.50,-,-,-,-,-
4,PS Ratio,4.68,5.84,-,-,-,-,-
5,PB Ratio,1.60,1.54,-,-,-,-,-
6,P/TBV Ratio,1.66,1.66,-,-,-,-,-
7,P/OCF Ratio,26.64,29.39,-,-,-,-,-
8,EV/Sales Ratio,3.65,4.81,-,-,-,-,-
9,EV/EBITDA Ratio,14.51,14.25,-,-,-,-,-
10,EV/EBIT Ratio,15.58,17.88,-,-,-,-,-
11,Debt / Equity Ratio,0.03,0.03,0.05,0.05,-,-,0.01
12,Debt / EBITDA Ratio,0.47,1.13,0.30,0.28,-,-,0.02
13,Debt / FCF Ratio,-,-,-,-,-,-,0.25
14,Asset Turnover,0.15,0.42,-,-,-,-,
15,Inventory Turnover,-,2.59,4.82,-,-,-,-
16,Quick Ratio,17.69,17.69,7.79,11.49,-,-,-
17,Current Ratio,19.10,19.10,8.64,12.78,-,-,-
18,Return on Equity (ROE),0.64%,12.68%,-,-,-,-,
19,Return on Assets (ROA),0.59%,6.92%,-,-,-,-,
20,Return on Capital (ROIC),0.63%,7.52%,-,-,-,-,
21,Return on Capital Employed (ROCE),5.72%,6.80%,15.64%,20.24%,-,-,-
22,Earnings Yield,3.94%,4.44%,-,-,-,-,-
23,FCF Yield,-0.76%,-1.36%,-,-,-,-,-
24,Payout Ratio,0.25%,1.09%,0.24%,0.17%,0.16%,2.73%,53.69%
25,Buyback Yield / Dilution,-3.59%,-13.04%,-0.14%,-,-,-,-
26,Total Shareholder Return,0.61%,-13.04%,-0.14%,-,-,-,-
