,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,5.25,10.69,17.51,71.66,57.03,123.34,65.34,45.84,51.16,29.38,Upgrade
1,Trading Asset Securities,-,-,6.65,6.52,6.46,6.35,8.16,8.03,7.89,7.74,Upgrade
2,Cash & Short-Term Investments,5.25,10.69,24.16,78.18,63.49,129.68,73.5,53.87,59.04,37.13,Upgrade
3,Cash Growth,-78.26%,-86.33%,-61.95%,-39.72%,-13.62%,140.72%,24.48%,45.11%,-4.91%,-50.60%,Upgrade
4,Accounts Receivable,1033,1048,1349,1400,1335,1232,1465,1431,1537,2379,Upgrade
5,Other Receivables,5.64,13.93,13.66,12.36,24.25,15.93,11.22,8.09,16.99,13.92,Upgrade
6,Receivables,1038,1062,1362,1412,1360,1248,1476,1439,1554,2393,Upgrade
7,Inventory,18.9,21.26,24.28,22,26.37,18.75,21.68,20.14,19.67,19.61,Upgrade
8,Prepaid Expenses,1574,1577,1409,1359,1333,1150,968.44,1143,931.61,583,Upgrade
9,Other Current Assets,0.02,0.02,73.01,315.58,89.01,94.04,87.3,87.29,268.53,557,Upgrade
10,Total Current Assets,2637,2671,2892,3187,2871,2641,2627,2743,2833,3589,Upgrade
11,"Property, Plant & Equipment",337.79,411.25,425.01,449.41,609.15,626.78,636.72,654.93,677.27,701.7,Upgrade
12,Long-Term Investments,177.76,166.21,151.66,133.61,117.25,123.44,122.82,116.76,113.44,112.32,Upgrade
13,Goodwill,34.07,34.07,34.07,34.07,34.07,34.07,34.07,34.07,34.07,34.07,Upgrade
14,Other Intangible Assets,-,-,-,-,6,6.2,6.39,6.59,6.79,6.99,Upgrade
15,Long-Term Deferred Tax Assets,0.92,1.1,0.3,0.3,0.63,0.63,0.63,0.63,0.63,0.66,Upgrade
16,Other Long-Term Assets,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,Upgrade
17,Total Assets,3190,3286,3506,3807,3641,3435,3430,3558,3668,4448,Upgrade
18,Accounts Payable,177.8,180.29,407.49,544.94,432.45,448.59,400.22,533.85,512.25,941.21,Upgrade
19,Accrued Expenses,51.45,51.38,31.09,37.7,22.53,27.61,25.14,23.45,20.99,22.42,Upgrade
20,Short-Term Debt,-,-,-,-,-,-,-,-,-,36.6,Upgrade
21,Current Portion of Long-Term Debt,1280,1357,1253,1129,923.85,1063,1101,1034,1001,1486,Upgrade
22,Current Portion of Leases,0.23,0.5,0.67,0.71,0.98,0.83,0.14,0.72,0.93,1.75,Upgrade
23,Current Income Taxes Payable,76.9,76.5,76.71,86.45,94.82,93.14,86.28,91.95,83.29,86.54,Upgrade
24,Current Unearned Revenue,155.8,178.05,184.74,280.45,237.44,146.62,187.24,191.3,334.08,346.98,Upgrade
25,Other Current Liabilities,213.33,110.28,26.76,81.23,85,65.36,122.88,68.21,52.87,31.8,Upgrade
26,Total Current Liabilities,1955,1954,1981,2161,1797,1845,1923,1944,2006,2953,Upgrade
27,Long-Term Debt,20,8.5,-,147.19,210.15,57,-,177.45,241.1,37,Upgrade
28,Long-Term Leases,-,-,0.26,0.52,0.94,1.1,0.04,0.16,0.46,0.79,Upgrade
