,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,366.01,453.62,453.62,236.12,326.84,328.54,364.12,341.58,549.4,-,-,64.25,63.02,31.58
1,Trading Asset Securities,129.65,99.97,99.97,157.16,182.09,159.09,212.14,236.56,14.4,-,-,14.4,14.4,14.4
2,Cash & Short-Term Investments,495.66,553.59,553.59,393.28,508.93,487.63,576.26,578.14,563.8,-,78.65,78.65,77.42,45.98
3,Cash Growth,-2.61%,13.53%,-3.93%,-31.97%,-9.73%,-,632.68%,635.07%,628.24%,-,-,-,-,-
4,Accounts Receivable,226.91,214.4,214.4,265,224.13,241.36,270.54,245.28,224.84,-,-,192.91,220.59,179.52
5,Other Receivables,5.65,4.7,4.7,3.99,23.66,22.13,4.42,4.17,4.4,-,-,3.98,3.43,4.63
6,Receivables,232.56,219.09,219.09,268.98,247.79,263.49,274.95,249.45,229.24,-,-,196.89,224.02,184.15
7,Inventory,107.49,127.73,127.73,107.37,114.62,123.48,123.88,104.65,93.77,-,-,110.01,78.34,95.89
8,Other Current Assets,28.83,15.92,15.92,17.23,13.07,14.09,12.11,25.06,12.96,-,-,28.21,29.01,12.03
9,Total Current Assets,864.54,916.33,916.33,786.86,884.41,888.68,987.19,957.29,899.77,-,-,413.77,408.79,338.05
10,"Property, Plant & Equipment",247.26,233.9,233.9,231.12,231.16,236.84,239.87,240,240.43,-,-,241.77,224.15,198.04
11,Long-Term Investments,0.33,0.38,0.38,0.37,0.36,0.36,0.35,0.35,0.32,-,-,0.42,0.85,0.6
12,Goodwill,100.55,100.55,100.55,100.55,100.55,100.55,100.55,100.55,100.55,-,-,100.55,100.55,100.55
13,Other Intangible Assets,137.4,139.99,139.99,148.04,38.05,39.4,40.74,42.08,43.47,-,-,47.45,52.26,58.65
14,Long-Term Deferred Tax Assets,6.48,5.66,5.66,3.05,1.95,1.93,1.88,1.8,1.91,-,-,1.74,1.83,2.11
15,Long-Term Deferred Charges,7.31,8.66,8.66,10.68,30.22,13.84,15.48,16.83,18.5,-,-,18.28,19.76,16.86
16,Other Long-Term Assets,59.02,65.86,65.86,56.81,31.73,50.19,45.61,47.18,42.75,-,-,45.11,40.68,43.84
17,Total Assets,1423,1471,1471,1337,1318,1332,1432,1406,1348,-,-,869.09,848.86,758.7
18,Accounts Payable,30.39,44.64,44.64,30.94,27.93,37.44,42.87,36.88,29.48,-,-,33.64,45.95,50.26
19,Accrued Expenses,32.6,131.53,131.53,141.69,37.48,125.11,39.52,141.02,41.22,-,-,128.52,147.3,151.15
20,Current Portion of Leases,1.34,1.3,1.3,0.88,-,-,-,-,-,-,-,-,-,-
21,Current Income Taxes Payable,11.84,5.56,5.56,10.21,12.49,7.74,15.76,11.23,12.67,-,-,8.19,12.69,8.94
22,Current Unearned Revenue,17.67,19.94,19.94,14.01,13.84,19.63,23.5,28.15,24.24,-,-,16.15,13.89,10.66
23,Other Current Liabilities,84.18,11.85,11.85,12.04,88.29,11.81,103.81,10.31,79.41,-,-,12.73,14.35,13.58
24,Total Current Liabilities,178.02,214.83,214.83,209.77,180.03,201.74,225.46,227.58,187.03,-,-,199.22,234.18,234.58
25,Long-Term Debt,200,220,220,-,-,-,-,-,-,-,-,-,-,-
26,Long-Term Leases,0.62,-,-,0.46,-,-,-,-,-,-,-,-,-,-
27,Long-Term Unearned Revenue,10.21,10.78,10.78,11.92,12.36,12.93,13.49,14.05,14.25,-,-,15.88,18.06,19.71
28,Long-Term Deferred Tax Liabilities,12.08,12.16,12.16,12.17,12.32,12.38,12.06,11.45,11.76,-,-,11.74,10.1,8.57
29,Total Liabilities,400.93,457.77,457.77,234.31,204.71,227.04,251,253.08,213.03,-,-,226.84,262.34,262.87
30,Common Stock,102.89,102.89,102.89,70.14,70.14,70.14,70.14,70.14,70.14,-,-,52.6,52.6,52.6
31,Additional Paid-In Capital,661.06,654.54,654.54,671.51,664.63,664.63,664.63,664.63,664.63,-,-,239.22,239.22,156.54
32,Retained Earnings,359.77,355.68,355.68,392.32,378.94,369.97,445.9,418.23,399.88,-,-,350.43,294.7,205.2
33,Treasury Stock,-101.75,-99.55,-99.55,-30.78,-,-,-,-,-,-,-,-,-,-
34,Total Common Equity,1022,1014,1014,1103,1114,1105,1181,1153,1135,-,642.25,642.25,586.52,414.35
35,Minority Interest,-,-,-,-,-,-,-,-,-,-,-,-,-,81.49
36,Shareholders' Equity,1022,1014,1014,1103,1114,1105,1181,1153,1135,-,642.25,642.25,586.52,495.83
37,Total Liabilities & Equity,1423,1471,1471,1337,1318,1332,1432,1406,1348,-,-,869.09,848.86,758.7
38,Total Debt,201.96,221.3,221.3,1.34,-,-,-,-,-,-,-,-,-,-
39,Net Cash (Debt),293.7,332.3,332.3,391.94,508.93,487.63,576.26,578.14,563.8,-,78.65,78.65,77.42,45.98
40,Net Cash Growth,-42.29%,-31.85%,-42.34%,-32.21%,-9.73%,-,632.68%,635.07%,628.24%,-,-,-,-,-
41,Net Cash Per Share,2.91,3.26,3.26,3.79,4.95,4.78,5.55,5.57,7.24,-,1.01,1.01,1.32,0.59
42,Filing Date Shares Outstanding,99.87,99.88,99.88,100.99,103.8,103.8,103.8,103.8,103.8,77.83,77.86,77.85,77.85,77.85
43,Total Common Shares Outstanding,99.87,99.88,99.88,102.76,103.8,103.8,103.8,103.8,103.8,77.83,77.86,77.85,77.85,77.85
44,Working Capital,686.51,701.5,701.5,577.09,704.38,686.95,761.74,729.7,712.74,-,-,214.55,174.61,103.47
45,Book Value Per Share,10.23,10.15,10.15,10.74,10.73,10.64,11.37,11.11,10.93,-,8.25,8.25,7.53,5.32
46,Tangible Book Value,784.02,773.02,773.02,854.59,975.11,964.8,1039,1010,990.63,-,494.25,494.25,433.71,255.14
47,Tangible Book Value Per Share,7.85,7.74,7.74,8.32,9.39,9.29,10.01,9.73,9.54,-,6.35,6.35,5.57,3.28
48,Buildings,-,304.91,304.91,287.63,-,287.61,-,275.1,-,-,-,274.06,239.09,239.09
49,Machinery,-,286.79,286.79,302.77,-,293.43,-,271.99,-,-,-,263.51,237.07,224.04
50,Construction In Progress,-,21.29,21.29,8.82,-,9.26,-,35.68,-,-,-,23.84,46.75,17.56
