,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,174.59,192.88,192.88,211.32,176.54,192.54,200.8,204.26,150.42,175.22,157.6,189.06,187.89,136.49
1,Other Revenue,-2.4,1.2,1.2,3.99,-1.9,1.9,-,4.07,-1.95,1.95,-,3.91,0.63,-
2,Revenue,172.19,194.07,194.07,215.31,174.64,194.45,200.8,208.33,148.46,177.18,157.6,192.97,188.53,136.49
3,Revenue Growth (YoY),-1.40%,-0.19%,-3.35%,3.35%,17.63%,9.75%,27.41%,7.96%,-21.25%,29.81%,-,-,-,-
4,Cost of Revenue,86.41,94.21,94.21,102.81,88.24,99.16,94.15,98.61,83.85,88.29,75.46,81.75,69.81,54.76
5,Gross Profit,85.78,99.86,99.86,112.5,86.39,95.29,106.65,109.72,64.61,88.89,82.15,111.22,118.72,81.73
6,"Selling, General & Admin",76.94,84.45,84.45,94.19,69.17,58.51,70.97,84,54.25,64.95,54.97,77.48,80.18,63.95
7,Research & Development,2.4,1.68,1.68,1.85,6.9,5.94,2.13,3.05,2.46,1.06,0.95,1.1,1.24,1.71
8,Other Operating Expenses,2.98,3.23,3.23,3.29,1.74,-7.92,2.76,11.83,-5.39,1.29,2.16,13.35,15.34,1.18
9,Operating Expenses,81.56,90,90,97.63,79.51,55.75,76.55,98.35,52.08,67.79,58.84,91.47,96.09,66.86
10,Operating Income,4.22,9.86,9.86,14.87,6.89,39.54,30.1,11.36,12.54,21.11,23.31,19.75,22.63,14.87
11,Interest Expense,-0.91,-0.28,-0.28,-,-,-,-,-,-,-,-,-,-,-0.06
12,Interest & Investment Income,2.15,1.54,1.54,1.9,2.58,2.82,3,1.57,0.23,0.11,0.08,0.08,0.11,0.06
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,0.5,0.21,-0.25
14,Other Non Operating Income (Expenses),0.37,-0.35,-0.35,-0.53,1.56,-1.37,-0.06,-0.23,-0.14,0.12,-0.01,-0.09,-1.21,-0.46
15,EBT Excluding Unusual Items,5.83,10.76,10.76,16.24,11.03,40.99,33.04,12.7,12.62,21.34,23.37,20.23,21.75,14.16
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,0.1,-0.02,-0.09,-,-0.44,-,-
17,Gain (Loss) on Sale of Assets,-0.1,-0.06,-0.06,0,-,-,-0.04,-,-,-,-,-,-,-
