,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2020,Q1 2020
,Period Ending,"Feb '25 Feb 28, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2412,2724,2189,2492,2911,3071,2672,2767,2789,3514,-,-,-,-,-
1,Market Cap Growth,-11.30%,-11.30%,-18.10%,-9.94%,4.40%,-12.61%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2118,2391,1797,1983,2403,2583,2096,2203,2225,3435,-,-,-,-,-
3,Last Close Price,24.15,27.27,21.87,23.54,27.51,29.01,25.25,25.18,25.38,31.98,-,-,-,-,-
4,PE Ratio,70.07,76.94,54.33,36.86,33.73,33.64,28.87,36.79,41.13,41.00,-,-,-,-,-
5,PS Ratio,3.18,3.51,2.81,3.20,3.71,3.95,3.55,3.77,4.03,5.20,-,-,-,-,-
6,PB Ratio,2.36,2.67,2.16,2.46,2.64,2.76,2.42,2.34,2.42,3.10,-,-,-,-,-
7,P/TBV Ratio,3.47,3.47,2.83,3.22,3.41,3.15,2.77,2.66,2.76,3.55,-,-,-,-,-
8,P/FCF Ratio,-,-,-409.41,-167.41,-,64.87,68.34,-,71.88,105.93,-,-,-,-,-
9,P/OCF Ratio,25.88,-,15.15,19.37,34.66,43.92,43.33,41.14,44.72,52.45,-,-,-,-,-
10,EV/Sales Ratio,2.73,3.08,2.31,2.55,3.06,3.32,2.79,3.00,3.22,5.08,-,-,-,-,-
11,EV/EBITDA Ratio,29.13,29.51,22.40,18.58,19.57,21.82,16.99,21.06,22.75,32.56,-,-,-,-,-
12,EV/EBIT Ratio,76.22,61.62,43.32,27.87,26.29,29.39,22.41,29.33,32.57,44.79,-,-,-,-,-
13,EV/FCF Ratio,-35.72,-,-336.09,-133.22,-,54.57,53.60,-,57.35,103.56,-,-,-,-,-
14,Debt / Equity Ratio,0.20,0.20,0.22,0.22,0.00,-,-,-,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,2.78,3.27,2.59,2.59,0.01,-,-,-,-,-,-,-,-,-,-
16,Debt / FCF Ratio,-,-,-41.40,-14.87,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,0.48,0.53,0.55,0.65,0.53,0.56,0.57,0.61,-,-,-,-,-,-,
18,Inventory Turnover,3.40,2.94,2.95,3.21,3.70,2.96,3.21,3.30,3.98,-,-,-,-,-,-
19,Quick Ratio,4.09,4.09,3.60,3.60,3.16,4.20,3.72,3.78,3.64,4.24,-,-,1.38,1.29,0.98
20,Current Ratio,4.86,4.86,4.27,4.27,3.75,4.91,4.41,4.38,4.21,4.81,-,-,2.08,1.75,1.44
21,Return on Equity (ROE),1.61%,3.54%,3.39%,4.83%,3.24%,12.70%,9.49%,6.42%,-,-,12.62%,-,-,-,
22,Return on Assets (ROA),0.73%,1.68%,1.76%,2.80%,1.30%,7.15%,5.30%,2.06%,-,-,-,-,-,-,
23,Return on Capital (ROIC),0.86%,2.00%,2.11%,3.35%,1.55%,8.65%,6.45%,2.48%,-,-,9.07%,-,-,-,
24,Return on Capital Employed (ROCE),2.23%,3.12%,3.30%,5.66%,8.10%,7.72%,8.28%,6.23%,5.80%,6.61%,-,-,8.55%,6.10%,2.84%
25,Earnings Yield,1.47%,1.30%,1.84%,2.71%,2.96%,2.97%,3.46%,2.72%,2.43%,2.44%,-,-,-,-,-
26,FCF Yield,-2.46%,-2.18%,-0.24%,-0.60%,-1.72%,1.54%,1.46%,1.79%,1.39%,0.94%,-,-,-,-,-
27,Dividend Yield,2.23%,-,-,-,1.96%,-,-,-,4.26%,-,-,-,-,-,-
28,Payout Ratio,158.47%,22.20%,307.73%,307.73%,-,-,309.21%,-,-,-,-,-,-,-,17.05%
29,Buyback Yield / Dilution,0.40%,2.01%,0.11%,1.82%,0.33%,-32.15%,-31.06%,-33.31%,-33.41%,-32.52%,-0.03%,-,-,-,-
30,Total Shareholder Return,2.63%,2.01%,0.11%,1.82%,2.30%,-32.15%,-31.06%,-33.31%,-29.15%,-32.52%,-0.03%,-,-,-,-
