,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,805.49,964.77,1934,1955,-,1961,103.21,213.38,213.38,-,-,120.06,120.06
1,Trading Asset Securities,1281,1049,82.42,82.42,-,-,159.17,55.01,55.01,-,-,-,-
2,Cash & Short-Term Investments,2086,2014,2016,2037,-,1961,262.38,268.4,268.4,-,205.62,120.06,120.06
3,Cash Growth,-,2.72%,668.47%,659.01%,-,-,27.60%,123.55%,123.55%,-,-,-,-
4,Accounts Receivable,47.76,58.5,62.14,58.51,-,20.2,17.95,18.83,18.83,-,-,11.4,11.4
5,Other Receivables,1.26,0.8,1.12,1.18,-,4.46,2.31,2.11,2.11,-,-,2.08,2.08
6,Receivables,49.02,59.3,63.26,59.68,-,24.66,20.26,20.95,20.95,-,-,13.48,13.48
7,Inventory,56.52,49.51,52.11,46.8,-,43.19,41.62,38.57,38.57,-,-,29.19,29.19
8,Prepaid Expenses,-,-,-,0.05,-,-,-,0.1,0.1,-,-,0.15,0.15
9,Other Current Assets,22.16,7.68,3.81,2.45,-,7.71,6.99,3.88,3.88,-,-,1.55,1.55
10,Total Current Assets,2214,2131,2135,2146,-,2036,331.24,331.89,331.89,-,-,164.43,164.43
11,"Property, Plant & Equipment",169.26,162.68,169.55,159.7,-,136.21,122.57,117.67,117.67,-,-,36.54,36.54
12,Other Intangible Assets,18.45,18.64,18.82,19,-,19.39,19.59,19.72,19.72,-,-,20.17,20.17
13,Long-Term Deferred Tax Assets,1.12,1.16,1.67,1.9,-,0.67,0.56,0.36,0.36,-,-,0.29,0.29
14,Long-Term Deferred Charges,3.04,1.91,2.09,2.35,-,3.03,3.23,3.3,3.3,-,-,4.07,4.07
15,Other Long-Term Assets,2.02,2.22,1.82,1.99,-,0.56,0.72,0.19,0.19,-,-,1.84,1.84
16,Total Assets,2408,2317,2329,2331,-,2196,477.91,473.13,473.13,-,-,227.33,227.33
17,Accounts Payable,43.46,37.63,49.14,48.37,-,39.5,28.2,32.05,32.05,-,-,22.35,22.35
18,Accrued Expenses,31.89,28.09,17.22,34.79,-,18.77,10.45,24.29,24.29,-,-,7.59,7.59
19,Current Portion of Leases,-,-,0.6,0.57,-,1.11,1.11,1.08,1.08,-,-,-,-
20,Current Income Taxes Payable,15.41,10.67,11.54,14.95,-,5.34,9.83,15.7,15.7,-,-,1.49,1.49
21,Current Unearned Revenue,17.25,12.44,3.83,5.14,-,8.41,9.63,7.15,7.15,-,-,3.43,3.43
