,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5516,5126,3939,4335,7223,6713,7089,-,-,-,-,-,-,-
1,Market Cap Growth,-23.64%,-23.64%,-44.44%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3429,3112,1923,403,5252,4753,6827,-,-,-,-,-,-,-
3,Last Close Price,68.45,63.71,48.93,52.49,87.47,81.29,85.28,-,-,-,-,-,-,-
4,PE Ratio,18.75,18.88,14.98,18.38,33.25,35.65,41.92,-,-,-,-,-,-,-
5,Forward PE,16.38,16.93,14.27,16.25,29.08,-,-,-,-,-,-,-,-,-
6,PS Ratio,8.68,8.69,6.94,8.18,14.20,14.83,16.90,-,-,-,-,-,-,-
7,PB Ratio,2.40,2.23,1.77,1.93,3.27,-,3.43,-,-,-,-,-,-,-
8,P/TBV Ratio,2.25,2.25,1.79,1.95,3.30,-,3.46,-,-,-,-,-,-,-
9,P/FCF Ratio,20.73,20.73,18.23,-,42.52,45.10,52.28,-,-,-,-,-,-,-
10,P/OCF Ratio,17.42,17.42,14.72,19.27,32.62,33.64,38.99,-,-,-,-,-,-,-
11,EV/Sales Ratio,5.39,5.27,3.39,0.76,10.32,10.50,16.28,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,9.79,11.48,7.73,1.74,23.67,24.34,38.25,-,-,-,-,-,-,-
13,EV/EBIT Ratio,9.94,11.73,7.90,1.78,24.22,24.97,39.35,-,-,-,-,-,-,-
14,EV/FCF Ratio,12.59,12.59,8.90,-,30.92,31.93,50.36,-,-,-,-,-,-,-
15,Debt / Equity Ratio,-,-,-,0.00,0.00,-,0.00,0.00,0.00,0.00,-,0.01,-,-
16,Debt / EBITDA Ratio,-,-,-,0.00,0.00,-,0.01,0.01,0.01,0.01,-,0.02,-,-
17,Debt / FCF Ratio,-,-,-,-,0.00,-,0.01,-,0.02,0.04,-,-0.14,-,-
18,Asset Turnover,0.28,0.26,-,0.28,-,0.34,0.76,0.90,-,-,-,0.56,-,
19,Inventory Turnover,-,3.27,3.48,-,3.74,-,3.60,2.66,3.32,-,-,-,1.63,-
20,Quick Ratio,19.36,19.36,22.00,24.40,17.37,-,15.46,4.57,3.18,3.18,-,-,3.53,3.53
21,Current Ratio,20.07,20.07,22.61,25.06,17.78,-,15.85,5.36,3.65,3.65,-,-,4.34,4.34
22,Return on Equity (ROE),12.93%,12.85%,-,13.42%,-,14.36%,34.34%,47.34%,-,-,-,18.70%,-,
23,Return on Assets (ROA),8.99%,6.40%,-,7.77%,-,7.96%,20.51%,24.29%,-,-,-,8.44%,-,
24,Return on Capital (ROIC),9.40%,6.66%,-,8.20%,-,8.56%,24.38%,30.00%,-,-,-,10.13%,-,
25,Return on Capital Employed (ROCE),11.63%,11.55%,10.94%,10.09%,9.81%,-,8.39%,38.08%,39.28%,29.26%,-,-,8.10%,4.05%
26,Earnings Yield,5.34%,5.30%,6.67%,5.44%,3.01%,2.81%,2.39%,-,-,-,-,-,-,-
27,FCF Yield,4.82%,4.82%,5.49%,4.03%,2.35%,2.22%,1.91%,-,-,-,-,-,-,-
28,Dividend Yield,1.50%,-,-,-,1.18%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,30.89%,-,116.27%,-,0.72%,67.49%,-,-,-,-,132.18%,-,-,-
30,Buyback Yield / Dilution,-19.61%,0.41%,-18.52%,-33.89%,-33.54%,-33.57%,-11.79%,0.63%,0.00%,0.00%,-,-,-,-
31,Total Shareholder Return,-18.11%,0.41%,-18.52%,-33.89%,-32.35%,-33.57%,-11.79%,0.63%,0.00%,0.00%,-,-,-,-
