,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,164.79,150.9,111.56,160.21,141.8,113.64,90.45,106.48,106.48,78.45,77.5,31.55,31.55
1,Other Revenue,-1.54,1.54,-,2.65,-1.47,1.47,-,0.44,0.44,1.32,-,0.11,0.11
2,Revenue,163.26,152.44,111.56,162.87,140.32,115.11,90.45,106.92,106.92,79.77,77.5,31.65,31.65
3,Revenue Growth (YoY),16.34%,32.43%,23.35%,52.33%,31.24%,44.30%,16.70%,237.81%,237.81%,-,-,-,-
4,Cost of Revenue,43.34,44.24,31.49,43.72,41.3,38.16,26.68,32.01,32.01,29.01,26.35,11.89,11.89
5,Gross Profit,119.92,108.2,80.08,119.15,99.03,76.95,63.76,74.91,74.91,50.76,51.15,19.76,19.76
6,"Selling, General & Admin",26.68,26.81,25.17,27.58,24.71,26.22,16.87,18.76,18.76,15.99,13.08,8.63,8.63
7,Research & Development,15.58,14.36,11.49,13.02,10.23,11.01,6.99,8.5,8.5,7.96,6.5,4.07,4.07
8,Other Operating Expenses,-5.38,6.38,-3.92,3.96,-0.51,-2.96,0.89,1.55,1.55,-0.85,1.04,-0.5,-0.5
9,Operating Expenses,34.98,48.72,31.56,46.71,36.19,34.4,24.75,28.93,28.93,23.3,20.46,12.09,12.09
10,Operating Income,84.93,59.48,48.52,72.44,62.84,42.56,39.01,45.98,45.98,27.46,30.69,7.67,7.67
11,Interest Expense,-0.01,-,-0.01,-,-0.04,-,-,-,-,-,-0.08,-,-
12,Interest & Investment Income,11.36,17.5,12.2,28.91,11.16,7.72,0.78,0.96,0.96,0.76,-,0.7,0.7
13,Currency Exchange Gain (Loss),-0.87,0.87,-,0.69,-0.37,0.37,-,1.21,1.21,8.69,-,0.3,0.3
14,Other Non Operating Income (Expenses),-3.59,0.57,0.6,-19.28,0.74,0.32,-0.56,-0.11,-0.11,-0.69,0.05,1.21,1.21
15,EBT Excluding Unusual Items,91.83,78.41,61.31,82.75,74.33,50.96,39.23,48.03,48.03,36.22,30.66,9.89,9.89
16,Gain (Loss) on Sale of Investments,-,-,-,0.41,-,-,-,-1.36,-1.36,-5.19,0.71,-,-
17,Gain (Loss) on Sale of Assets,-0.1,-0.08,0.01,-0.06,-0.04,-0.25,-,-0.02,-0.02,-0.1,-,-,-
18,Asset Writedown,-1.15,0.25,-0.25,-0.26,-0.2,0.02,-0.02,-0,-0,-,-,-,-
19,Other Unusual Items,-5.45,5.45,-,4.78,-,-,-,4.97,4.97,-,-,-,-
20,Pretax Income,85.13,84.03,61.07,87.63,74.09,50.74,39.21,51.63,51.63,30.93,31.38,9.89,9.89
21,Income Tax Expense,12.13,12.36,8.29,13.57,9.71,6.16,4.99,6.47,6.47,3.73,3.91,1.04,1.04
22,Net Income,73,71.67,52.78,74.06,64.37,44.58,34.22,45.15,45.15,27.2,27.46,8.85,8.85
23,Net Income to Common,73,71.67,52.78,74.06,64.37,44.58,34.22,45.15,45.15,27.2,27.46,8.85,8.85
24,Net Income Growth,13.40%,60.78%,54.22%,64.04%,42.57%,63.89%,24.62%,410.15%,410.15%,-,-,-,-
25,Shares Outstanding (Basic),80,80,81,81,81,68,61,61,61,60,61,61,61
26,Shares Outstanding (Diluted),81,80,81,81,81,68,61,61,61,60,61,61,61
27,Shares Change (YoY),-0.41%,18.52%,33.89%,33.54%,33.57%,11.79%,-0.63%,-0.00%,-0.00%,-,-,-,-
28,EPS (Basic),0.91,0.89,0.65,0.91,0.79,0.66,0.56,0.74,0.74,0.45,0.45,0.15,0.15
29,EPS (Diluted),0.90,0.89,0.65,0.91,0.79,0.66,0.56,0.74,0.74,0.45,0.45,0.15,0.15
30,EPS Growth,13.87%,35.66%,15.19%,22.84%,6.74%,46.61%,25.40%,410.18%,410.18%,-,-,-,-
31,Free Cash Flow,89.9,91.75,-0.85,66.44,58.7,50.25,-5.51,45.42,45.42,4.8,0.62,-8.87,-8.87
32,Free Cash Flow Per Share,1.11,1.14,-0.01,0.82,0.72,0.74,-0.09,0.75,0.75,0.08,0.01,-0.15,-0.15
33,Dividend Per Share,-,-,-,1.036,-,-,-,-,-,-,-,-,-
34,Gross Margin,73.45%,70.98%,71.78%,73.16%,70.57%,66.85%,70.50%,70.06%,70.06%,63.63%,66.00%,62.43%,62.43%
35,Operating Margin,52.03%,39.02%,43.49%,44.48%,44.78%,36.97%,43.13%,43.00%,43.00%,34.42%,39.60%,24.23%,24.23%
36,Profit Margin,44.72%,47.02%,47.31%,45.47%,45.88%,38.72%,37.84%,42.23%,42.23%,34.10%,35.44%,27.96%,27.96%
37,Free Cash Flow Margin,55.07%,60.19%,-0.76%,40.80%,41.83%,43.65%,-6.09%,42.48%,42.48%,6.02%,0.80%,-28.02%,-28.02%
38,EBITDA,86.21,61.29,49.79,73.72,64.02,43.94,40.19,47.18,47.18,28.62,31.71,8.46,8.46
39,EBITDA Margin,52.81%,40.20%,44.63%,45.26%,45.62%,38.18%,44.43%,44.13%,44.13%,35.87%,40.91%,26.74%,26.74%
40,D&A For EBITDA,1.28,1.81,1.28,1.28,1.18,1.39,1.18,1.2,1.2,1.16,1.02,0.79,0.79
41,EBIT,84.93,59.48,48.52,72.44,62.84,42.56,39.01,45.98,45.98,27.46,30.69,7.67,7.67
42,EBIT Margin,52.03%,39.02%,43.49%,44.48%,44.78%,36.97%,43.13%,43.00%,43.00%,34.42%,39.60%,24.23%,24.23%
43,Effective Tax Rate,14.25%,14.71%,13.57%,15.48%,13.11%,12.14%,12.71%,12.54%,12.54%,12.07%,12.47%,10.50%,10.50%
44,Revenue as Reported,163.26,152.44,111.56,508.75,140.32,115.11,90.45,106.92,106.92,79.77,77.5,-,-
