,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1342,-25188,-19217,-130169,-36995,-554.74,330.53,709.81,46825,6831,12949,126568,69758,124181,90327,37016,197329,731992,393026,66093,Upgrade
1,Revenue Growth (YoY),-,-,-,-,-,-,-97.45%,-99.44%,-32.88%,-94.50%,-85.66%,241.93%,-64.65%,-83.04%,-77.02%,-43.99%,86.38%,125.89%,854.48%,-78.92%,Upgrade
2,Cost of Revenue,1361,-392.08,77211,-61137,78662,-45.2,137.49,721.26,36605,7007,6500,67998,31925,56171,44510,5866,130845,558940,297573,30020,Upgrade
3,Gross Profit,-18.96,-24796,-96428,-69033,-115656,-509.54,193.03,-11.45,10220,-176.02,6449,58569,37833,68010,45817,31150,66484,173052,95453,36073,Upgrade
4,"Selling, General & Admin",311850,8981,135041,11373,198115,16799,19753,25346,33474,33326,28959,29336,43140,16469,31918,18115,40293,157421,90293,30171,Upgrade
5,Operating Expenses,311850,8981,135041,11373,198115,16799,19753,25346,33474,33326,28959,29336,43140,16469,31918,18115,40293,157421,90293,30171,Upgrade
6,Operating Income,-311869,-33778,-231469,-80405,-313772,-17309,-19560,-25357,-23254,-33502,-22511,29233,-5306,51542,13899,13035,26191,15631,5160,5901,Upgrade
7,Interest Expense,-38372,-13978,-,-45049,-,-16904,-,-46990,-11334,-34295,-32399,-26653,-18869,-9587,-10969,-11724,-7994,-4208,-4239,-4221,Upgrade
8,Interest & Investment Income,3.31,3.27,17861,1.38,92327,46.7,14630,26.33,54.1,942.02,454.19,776.74,900.78,1713,3080,3589,3085,27.97,30.15,30.86,Upgrade
