,Fiscal Quarter,Q4 2023
,Period Ending,"Dec '23 Dec 31, 2023"
0,Revenue,2105
1,Cost of Revenue,1428
2,Gross Profit,676.92
3,"Selling, General & Admin",199.45
4,Research & Development,69.68
5,Other Operating Expenses,-20.27
6,Operating Expenses,248.86
7,Operating Income,428.06
8,Interest Expense,-0.93
9,Interest & Investment Income,18.15
10,Currency Exchange Gain (Loss),4.32
11,Other Non Operating Income (Expenses),21.67
12,EBT Excluding Unusual Items,471.26
13,Gain (Loss) on Sale of Investments,-294.03
14,Pretax Income,177.23
15,Income Tax Expense,82.92
16,Earnings From Continuing Operations,94.32
17,Minority Interest in Earnings,-4.72
18,Net Income,89.6
19,Net Income to Common,89.6
20,Shares Outstanding (Basic),1887
21,Shares Outstanding (Diluted),1887
22,EPS (Basic),0.05
23,EPS (Diluted),0.05
24,Free Cash Flow,226.04
25,Free Cash Flow Per Share,0.12
26,Gross Margin,32.16%
27,Operating Margin,20.34%
28,Profit Margin,4.26%
29,Free Cash Flow Margin,10.74%
30,EBITDA,445.12
31,EBITDA Margin,21.15%
32,D&A For EBITDA,17.06
33,EBIT,428.06
34,EBIT Margin,20.34%
35,Effective Tax Rate,46.78%
