,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,266.55,278.83,151.39,219.14,125.02
1,Revenue Growth (YoY),76.07%,27.24%,21.09%,-,-
2,Cost of Revenue,132.59,92.89,58.68,68.59,50.73
3,Gross Profit,133.95,185.94,92.71,150.55,74.29
4,"Selling, General & Admin",100.93,145.05,73.9,84.81,51.73
5,Other Operating Expenses,-1.04,3.63,-3.92,1.6,0.53
6,Operating Expenses,99.88,151.18,69.98,87.15,52.26
7,Operating Income,34.07,34.76,22.73,63.4,22.03
8,Interest Expense,-0.64,-0.58,-0.67,-0.68,-0.67
9,Interest & Investment Income,3.37,2.81,0.78,1.75,0.7
10,Currency Exchange Gain (Loss),-,-3.17,-,-9.86,-
11,Other Non Operating Income (Expenses),-,-0.69,-,-0.01,-
12,EBT Excluding Unusual Items,36.8,33.15,22.84,54.61,22.06
13,Gain (Loss) on Sale of Investments,-,3.23,-,-,-
14,Other Unusual Items,-,7.64,-,16.47,-
15,Pretax Income,36.8,44.02,22.84,71.08,22.06
16,Income Tax Expense,11.35,19.04,6.41,22.53,5.71
17,Earnings From Continuing Operations,25.45,24.98,16.43,48.55,16.34
18,Minority Interest in Earnings,-0.49,-3.49,-3.4,-2.68,-1.83
19,Net Income,24.96,21.49,13.03,45.88,14.51
20,Net Income to Common,24.96,21.49,13.03,45.88,14.51
21,Net Income Growth,91.63%,-53.16%,-10.23%,-,-
22,Shares Outstanding (Basic),812,1005,721,929,513
23,Shares Outstanding (Diluted),841,1031,721,929,513
24,Shares Change (YoY),16.52%,10.96%,40.67%,-,-
25,EPS (Basic),0.03,0.02,0.02,0.05,0.03
26,EPS (Diluted),0.03,0.02,0.02,0.05,0.03
27,EPS Growth,66.13%,-62.74%,-36.19%,-,-
28,Free Cash Flow,-28.35,-108.71,-15.2,-10.89,10.05
29,Free Cash Flow Per Share,-0.03,-0.11,-0.02,-0.01,0.02
30,Operating Margin,12.78%,12.47%,15.02%,28.93%,17.62%
31,Profit Margin,9.37%,7.71%,8.61%,20.94%,11.61%
32,Free Cash Flow Margin,-10.64%,-38.99%,-10.04%,-4.97%,8.04%
33,EBITDA,38.63,37.32,25.63,65.38,23.65
34,D&A For EBITDA,4.56,2.56,2.9,1.98,1.63
35,EBIT,34.07,34.76,22.73,63.4,22.03
