,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,3492,10167,6054,-,-,-
1,Enterprise Value,3084,10005,6165,-,-,-
2,Last Close Price,4.19,12.20,7.55,-,-,-
3,PE Ratio,77.82,203.70,159.22,-,-,-
4,Forward PE,-,80.79,30.16,-,-,-
5,PS Ratio,5.75,17.35,12.77,-,-,-
6,PB Ratio,3.54,10.18,7.95,-,-,-
7,P/TBV Ratio,10.58,10.58,8.27,-,-,-
8,EV/Sales Ratio,5.26,17.07,13.01,-,-,-
9,EV/EBITDA Ratio,35.56,122.61,88.88,-,-,-
10,EV/EBIT Ratio,41.70,135.28,97.32,-,-,-
11,Debt / Equity Ratio,0.01,0.01,0.06,1.02,0.84,-
12,Return on Capital Employed (ROCE),7.37%,7.37%,8.23%,41.40%,34.96%,-
13,Earnings Yield,1.43%,0.49%,0.63%,-,-,-
14,FCF Yield,-4.22%,-1.45%,-2.25%,-,-,-
15,Buyback Yield / Dilution,-0.75%,-16.52%,-10.96%,-40.67%,-,-
16,Total Shareholder Return,-0.75%,-16.52%,-10.96%,-40.67%,-,-
