,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,362.68,145.82,100.42,182.63,-
1,Short-Term Investments,14.6,26.08,3.05,12.44,-
2,Trading Asset Securities,26.79,25.91,-,-,-
3,Cash & Short-Term Investments,404.07,197.82,103.47,195.08,-
4,Cash Growth,290.52%,1.40%,-,-,-
5,Accounts Receivable,224.14,175.74,57.43,39.07,-
6,Other Receivables,74.5,116.53,15.29,3.5,-
7,Receivables,298.64,292.28,72.72,42.57,-
8,Inventory,113.58,128.77,138.62,118.43,-
9,Other Current Assets,132.08,103.84,94.58,60.12,-
10,Total Current Assets,948.37,722.7,409.38,416.2,-
11,"Property, Plant & Equipment",135.64,89.05,74.19,70.96,-
12,Long-Term Investments,8.21,7.65,-,-,-
13,Other Intangible Assets,22.7,19.97,9.84,3.88,-
14,Long-Term Deferred Tax Assets,14.17,10.56,4.03,4.19,-
15,Other Long-Term Assets,15.09,52.64,54.68,59.64,-
16,Total Assets,1144,902.57,552.12,554.87,-
17,Accounts Payable,26.02,14.08,13.25,9.68,-
18,Accrued Expenses,47.35,24.05,8.16,24.26,-
19,Short-Term Debt,-,28.17,184.4,178.65,-
20,Current Portion of Long-Term Debt,5,5,5,5,-
21,Current Portion of Leases,3.12,3.7,3.11,1.87,-
22,Current Income Taxes Payable,51.15,44.28,27.59,24.58,-
23,Current Unearned Revenue,59.38,33.15,66.66,31.39,-
24,Other Current Liabilities,18.43,51.38,35.91,35.07,-
25,Total Current Liabilities,210.45,203.81,344.07,310.5,-
26,Long-Term Debt,2.5,5,7.5,10,-
27,Long-Term Leases,1.6,2.17,1.99,0.22,-
28,Long-Term Unearned Revenue,-,-,-,0.04,-
29,Total Liabilities,214.55,210.99,353.56,320.75,-
30,Common Stock,0.06,0.06,0.04,0.04,-
31,Additional Paid-In Capital,-,410.55,-,175.89,-
32,Retained Earnings,247.21,249.17,210.9,214.66,-
33,Treasury Stock,-,-,-,-158.18,-
34,Comprehensive Income & Other,669.62,24.44,-16.15,1.14,-
35,Total Common Equity,916.89,684.21,194.79,233.54,-
36,Minority Interest,12.75,7.38,3.78,0.57,-
37,Shareholders' Equity,929.64,691.59,198.56,234.11,-
38,Total Liabilities & Equity,1144,902.57,552.12,554.87,-
39,Total Debt,12.22,44.04,202,195.75,-
40,Net Cash (Debt),391.86,153.77,-98.52,-0.67,-
41,Net Cash Per Share,0.47,0.15,-0.14,-0.00,-
42,Filing Date Shares Outstanding,833.34,801.89,542.91,542.91,512.82
43,Total Common Shares Outstanding,833.34,801.89,542.91,542.91,512.82
44,Working Capital,737.92,518.89,65.32,105.7,-
45,Book Value Per Share,1.10,0.85,0.36,0.43,-
46,Tangible Book Value,894.18,664.25,184.95,229.66,-
47,Tangible Book Value Per Share,1.07,0.83,0.34,0.42,-
48,Machinery,-,65.22,-,62.38,-
49,Leasehold Improvements,-,10.79,-,12.55,-
