,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,217.11,226.7,268.25,307.77,406.45,347.73,405.77,591.2,399.56,432.03,Upgrade
1,Cash & Short-Term Investments,217.11,226.7,268.25,307.77,406.45,347.73,405.77,591.2,399.56,432.03,Upgrade
2,Cash Growth,-19.07%,-26.34%,-34.00%,-11.49%,0.17%,-41.18%,1.56%,36.84%,8.09%,-1.02%,Upgrade
3,Accounts Receivable,517.87,509.38,616.75,555.24,365.17,499.15,485.76,404.38,346.36,489.79,Upgrade
4,Other Receivables,-,6.97,-,10.26,0.93,-,-,-,-,-,Upgrade
5,Receivables,517.87,516.35,616.75,565.49,366.1,499.15,485.76,404.38,346.36,489.79,Upgrade
6,Inventory,940.16,823.98,925.68,969.47,1118,935.88,1075,739.22,773.9,718.68,Upgrade
7,Prepaid Expenses,124.16,100.25,133.91,139.77,156.96,133.17,94.7,77.6,77.4,75.44,Upgrade
8,Other Current Assets,-,0.24,-,-,-,-,-,-,-,-,Upgrade
9,Total Current Assets,1799,1668,1945,1982,2048,1916,2062,1812,1597,1716,Upgrade
10,"Property, Plant & Equipment",421.29,454.01,443.97,501.69,440.92,468.16,429.29,408.4,379.41,340.11,Upgrade
11,Long-Term Investments,34.34,26.28,24.35,11.68,12.51,12.14,24.13,18.36,9.55,10.04,Upgrade
12,Goodwill,111.25,111.55,111.53,111.77,111.78,111.56,36.42,36.42,36.42,36.42,Upgrade
13,Other Intangible Assets,317.06,60.13,300.86,26.42,250.77,26.19,-,-,-,-,Upgrade
14,Long-Term Deferred Tax Assets,21.49,22.34,23.3,23.41,13.86,14.21,14.23,14.09,26.35,26.07,Upgrade
15,Long-Term Deferred Charges,-,242.49,-,235.81,-,204.93,193.63,177.86,173.62,170.25,Upgrade
16,Other Long-Term Assets,22.98,36.63,64.06,47.45,41.16,46.85,30.28,20.1,34.07,29.69,Upgrade
17,Total Assets,2728,2621,2913,2941,2919,2800,2790,2488,2257,2329,Upgrade
18,Accounts Payable,828.58,745.35,976.52,1012,943.1,807.02,1004,771.14,709.12,715.43,Upgrade
19,Short-Term Debt,-,136.45,-,223.51,-,251.2,-,56.02,-,113.38,Upgrade
20,Current Portion of Long-Term Debt,147.01,-,195.9,-,341.96,34.73,90.24,27.44,116.8,25.72,Upgrade
21,Current Portion of Leases,49.66,44.67,60.75,48.13,29.15,46.45,44,36.76,32.26,41.54,Upgrade
22,Current Income Taxes Payable,10.96,2.71,0.99,-,-,2.14,5.33,5.14,6.84,4.59,Upgrade
23,Current Unearned Revenue,45.88,40.22,42.61,36.16,77.81,14.15,13.43,7.25,6.05,6.78,Upgrade
24,Other Current Liabilities,196.62,166.73,241.83,175.38,133,166.18,193.27,117.01,99.21,83.78,Upgrade
25,Total Current Liabilities,1279,1136,1519,1496,1525,1322,1350,1021,970.28,991.21,Upgrade
26,Long-Term Leases,38.2,52.98,40.01,78.1,36.95,48.39,38.65,39.8,38.28,51.19,Upgrade
27,Long-Term Deferred Tax Liabilities,50.95,47.4,44.16,44.26,39.49,39.83,28.64,28.64,27.19,27.19,Upgrade
28,Total Liabilities,1368,1236,1603,1618,1601,1410,1417,1089,1036,1070,Upgrade
29,Common Stock,84.25,84.25,84.25,84.25,84.25,84.25,84.25,83.97,83.97,83.97,Upgrade
30,Additional Paid-In Capital,398.02,398.02,398.02,398.02,398.02,398.02,398.02,396.81,396.81,396.81,Upgrade
31,Retained Earnings,907.76,921.08,874.02,854,861.51,865.59,815.52,828.43,748.51,753.87,Upgrade
