,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,3273,3308,4931,5473,5137,0.1,1539,1387,901.32,1278,1043,1392,1213,1085,552.19,1324,-,273.74,-
1,Short-Term Investments,-,-,-,-,100,-,4994,-,400,-,-,-,320,-,201.69,-,170,-,240,-
2,Trading Asset Securities,-,2040,2175,1550,1650,1746,1442,1868,2276,2207,1915,2455,2265,2095,2141,2683,2387,-,1295,-
3,Cash & Short-Term Investments,5312,5312,5483,6481,7223,6883,6436,3407,4063,3108,3193,3498,3977,3308,3428,3235,3881,-,1809,1594
4,Cash Growth,-26.45%,-22.82%,-14.81%,90.19%,77.78%,121.45%,101.56%,-2.58%,2.15%,-6.04%,-6.86%,8.11%,2.49%,-,89.53%,102.94%,-,-,-,-
5,Accounts Receivable,-,4569,4566,4210,4009,3828,3566,3465,3276,3028,2549,2382,2408,2169,1914,1835,1644,-,1257,-
6,Other Receivables,-,122.48,111.88,121.21,100.62,430.9,500.37,101.78,93.3,98.78,88.29,80.57,68.62,73.97,70.73,65.12,50.22,-,54.47,-
7,Receivables,-,4691,4678,4331,4109,4259,4066,3567,3369,3127,2637,2463,2477,2243,1985,1900,1694,-,1311,-
8,Inventory,-,3558,3621,3812,3943,4223,4096,4143,3722,4005,3631,3384,3035,2857,2427,2229,2071,-,1677,-
