,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,3014,2111,2487,1738,2886,2060,2173,1446,2370,1573,1673,981.49,1570,1100,1093,729.39,1066,869.23,903.52,296.18
1,Other Revenue,-,-26.32,26.32,-,55.19,-22.38,22.38,-,27.43,-12.52,12.52,-,26.56,-10.67,10.67,-,23.98,-11.98,11.98,-
2,Revenue,3014,2085,2514,1738,2941,2038,2195,1446,2397,1560,1685,981.49,1597,1090,1104,729.39,1090,857.25,915.51,296.18
3,Revenue Growth (YoY),2.50%,2.30%,14.49%,20.25%,22.68%,30.64%,30.27%,47.30%,50.10%,43.18%,52.72%,34.56%,46.54%,27.10%,20.54%,146.26%,-,-,-,-
4,Cost of Revenue,-4255,1409,1647,1199,1969,1349,1506,963.87,1575,1010,1091,597.37,978.5,668.16,647.43,462.79,645.19,470.19,471.82,165.46
5,Gross Profit,7270,675.31,867.01,539.48,971.49,688.87,689.3,481.84,821.76,549.63,593.86,384.11,618.48,421.37,456.1,266.6,444.61,387.06,443.69,130.72
6,"Selling, General & Admin",-809.6,274.31,273.12,262.17,378.21,308.96,293.04,249.6,273.63,260.92,246.59,213.06,239.81,216.93,200.66,170.02,212.24,195.1,187.66,138.33
7,Research & Development,-673.88,229.63,238.61,205.64,281.3,220.02,220.43,186.06,247.98,170,138.71,135.58,156.49,130.86,111.66,97.67,117.8,101.58,84.44,58.21
8,Other Operating Expenses,8276,-59.27,-36.39,-46.34,-8.48,-54.85,-72.78,-39.58,-14.14,-53.04,-51.29,-28.02,-6.89,-43.31,-37.79,-26.77,-3.31,-31.47,-27.16,-17.73
9,Operating Expenses,6695,448.35,540.97,450.39,714.94,471.05,502.38,393.73,547.43,389.07,356.24,324.71,415.44,315.12,307.14,234.72,322.49,277.34,268.28,172.46
10,Operating Income,574.83,226.96,326.03,89.09,256.55,217.82,186.92,88.11,274.33,160.56,237.62,59.4,203.03,106.25,148.96,31.88,122.12,109.72,175.41,-41.73
11,Interest Expense,-206.89,-4.95,-4.64,-3.74,-6.55,-8.77,-4.65,-5.81,-18.1,-5.38,-0.93,-1.57,-1.96,-0.76,-0.69,-0.36,-3.39,-1.14,-1.34,-0.51
12,Interest & Investment Income,13.33,55.09,77.71,74.1,135.13,71.66,66.2,29.47,25.41,39.68,32.81,14.85,33.84,33.54,29.78,15.51,18.71,14.8,13.21,6.9
