,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,43943,39158,39661,29705,36663,35595,37567,49340,51880,45126,38812,36149,33595,37491,41681,46518,37956,49227,-,-,-
1,Market Cap Growth,10.01%,10.01%,5.57%,-39.79%,-29.33%,-21.12%,-3.21%,36.49%,54.43%,20.37%,-6.88%,-22.29%,-11.49%,-23.84%,-,-,-,-,-,-,-
2,Enterprise Value,39363,34577,34879,23817,30916,29848,31934,46729,49352,42598,36222,32802,30379,34275,38324,43349,34128,47600,-,-,-
3,Last Close Price,55.74,49.67,50.31,37.70,45.76,44.60,47.00,61.73,69.86,61.10,52.55,48.94,45.28,50.81,56.49,63.05,51.29,66.90,-,-,-
4,PE Ratio,38.98,34.65,35.25,26.82,31.75,32.31,36.94,49.58,62.47,56.55,53.68,52.86,55.39,64.45,81.00,93.72,76.72,116.30,-,-,-
5,Forward PE,30.98,-,-,20.88,27.83,27.49,30.16,40.03,47.25,43.23,41.30,43.34,42.76,52.85,63.14,72.52,59.61,92.78,-,-,-
6,PS Ratio,4.71,4.19,4.27,3.22,4.11,4.13,4.65,6.49,7.32,6.81,6.66,6.75,7.04,8.30,10.39,12.31,10.57,15.58,-,-,-
7,PB Ratio,4.40,3.89,3.94,3.01,3.66,3.58,3.94,5.28,9.55,8.49,7.86,7.61,7.23,8.18,9.73,11.22,9.29,12.20,-,-,-
8,P/TBV Ratio,4.06,4.06,4.11,3.13,3.81,3.75,4.13,5.50,9.88,8.77,8.14,7.87,7.47,8.47,10.01,11.45,9.49,12.46,-,-,-
9,P/FCF Ratio,-,-,83.00,45.93,-,543.14,-6250.75,-,-,222.02,-,-,-,1693.52,335.99,325.83,-,77.06,-,-,-
10,P/OCF Ratio,-,-,67.81,39.35,-,185.94,372.28,-,-,125.26,-188.96,-,-,266.78,159.71,226.45,-,70.77,-,-,-
11,PEG Ratio,2.21,-,-,1.04,1.34,1.25,1.16,1.35,1.20,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/Sales Ratio,4.21,3.70,3.76,2.58,3.47,3.46,3.95,6.15,6.96,6.43,6.22,6.13,6.37,7.58,9.55,11.47,9.50,15.07,-,-,-
13,EV/EBITDA Ratio,30.74,26.94,36.14,24.96,37.96,36.76,38.56,60.95,60.75,54.65,51.45,50.59,54.52,64.88,85.93,96.74,72.19,119.67,-,-,-
14,EV/EBIT Ratio,32.35,28.41,38.81,26.78,41.20,39.83,41.62,65.82,64.88,58.20,54.83,54.10,58.69,69.93,93.65,105.04,77.72,130.23,-,-,-
15,EV/FCF Ratio,-,-,72.99,36.82,-,455.44,-5313.38,-,-,209.58,-,-,-,1548.23,308.93,303.64,-,74.51,-,-,-
16,Debt / Equity Ratio,0.06,0.06,0.06,0.06,0.05,0.05,0.11,0.08,0.13,0.12,0.11,0.12,0.02,0.02,0.01,0.01,0.00,0.00,-,0.07,0.03
17,Debt / EBITDA Ratio,0.50,0.27,0.66,0.45,1.27,0.47,1.11,0.83,1.78,0.52,0.77,0.54,0.37,0.11,0.09,0.03,0.10,0.01,-,0.20,-
18,Debt / FCF Ratio,-,-,1.33,0.97,-,8.28,-171.52,-,-,3.14,-,-,-,4.51,0.33,0.16,-,0.01,-,1.29,-
19,Asset Turnover,-,0.48,0.58,0.39,0.66,0.47,0.58,0.44,0.77,0.54,0.63,0.38,0.65,0.49,0.53,0.36,-,-,-,-,
20,Inventory Turnover,-,-,1.57,1.77,1.24,1.93,1.30,1.46,0.98,1.63,1.06,1.24,0.74,1.33,1.01,1.11,0.86,-,-,-,-
21,Quick Ratio,-,-,1.40,1.36,1.47,1.50,1.42,1.38,0.90,0.97,0.97,1.02,1.07,1.13,1.11,1.28,1.27,1.35,-,0.97,-
22,Current Ratio,-,-,1.96,1.91,2.04,2.07,2.01,1.99,1.52,1.51,1.66,1.72,1.74,1.71,1.77,1.89,1.92,1.89,-,1.52,-
23,Return on Equity (ROE),15.97%,8.18%,15.27%,5.78%,17.17%,7.84%,22.93%,7.16%,25.52%,13.23%,22.06%,5.29%,23.05%,11.67%,17.02%,3.51%,-,-,36.51%,-,
24,Return on Assets (ROA),-,3.27%,4.67%,1.26%,3.60%,3.13%,3.08%,1.67%,5.48%,3.49%,5.57%,1.44%,5.15%,2.98%,4.47%,0.97%,-,-,-,-,
25,Return on Capital (ROIC),13.42%,5.35%,7.75%,2.12%,6.09%,5.27%,5.75%,3.63%,12.02%,7.46%,11.83%,3.15%,11.27%,6.25%,9.01%,1.96%,-,-,21.53%,-,
26,Return on Capital Employed (ROCE),-,-,8.82%,8.92%,7.41%,7.25%,7.73%,7.51%,13.74%,13.56%,11.99%,11.38%,10.96%,10.55%,9.39%,9.77%,10.56%,8.93%,-,6.35%,-
27,Earnings Yield,2.57%,2.89%,2.84%,3.73%,3.15%,3.10%,2.71%,2.02%,1.60%,1.77%,1.86%,1.89%,1.81%,1.55%,1.23%,1.07%,1.30%,0.86%,-,-,-
28,FCF Yield,-,1.20%,2.18%,0.33%,0.18%,-0.02%,-0.45%,-0.16%,0.45%,-0.90%,-0.61%,-0.11%,0.06%,0.30%,0.31%,0.85%,1.30%,-,-,-,
29,Dividend Yield,1.22%,-,-,-,-,1.57%,-,-,-,0.85%,-,-,-,0.49%,-,-,-,0.27%,-,-,-
30,Payout Ratio,0.00%,-,1.72%,149.47%,2.36%,1.19%,10.89%,95.22%,4.64%,1.16%,5.52%,68.45%,12.61%,0.59%,4.27%,67.20%,0.09%,0.24%,1.29%,0.69%,-
