,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,2181,3980,3123,3878,3916,5304,8377,9369,1171,1090
1,Short-Term Investments,22.1,76,109.05,72.36,80,60,-,-,35.07,-
2,Trading Asset Securities,1160,277.38,900.02,720.8,58.47,378.3,328.68,200.83,225.18,-
3,Cash & Short-Term Investments,3363,4333,4132,4671,4055,5743,8706,9569,1432,1090
4,Cash Growth,-18.62%,-7.25%,1.92%,-18.65%,-53.43%,-39.99%,508.04%,777.77%,-,-
5,Accounts Receivable,3176,3474,3927,3335,3225,3832,2103,1051,1076,586.26
6,Other Receivables,417.82,792.57,914.61,972.39,821.8,529.31,424.84,301.63,78.37,340.99
7,Receivables,3594,4267,4842,4307,4047,4361,2528,1352,1155,927.24
8,Inventory,51,54.54,51.58,55.32,59.54,57.98,45.08,40.92,34.85,82.34
9,Prepaid Expenses,81.98,31.08,44.55,43.44,66.74,43.41,-,36.54,34.72,18.46
10,Restricted Cash,17.37,52.68,33.57,39.43,21.67,14.13,12.43,9.96,5.46,-
11,Other Current Assets,3.91,-,-,-,-,-,42.13,-,63.13,-
12,Total Current Assets,7111,8738,9104,9117,8249,10219,11333,11009,2724,2118
13,"Property, Plant & Equipment",157.93,164.83,188.9,213.89,185.43,206.1,141.41,104.07,103.37,64.74
14,Long-Term Investments,231.21,401.65,468.35,478.39,561.68,555.8,487.75,448.76,52.38,2.67
15,Goodwill,1215,1215,1688,1688,1688,1688,1688,1020,1020,-
16,Other Intangible Assets,345.15,386.41,434.29,414.89,406.02,422.99,434.61,297.62,306.87,63.23
17,Long-Term Deferred Tax Assets,926.84,648.47,493.79,441.17,521.19,87.48,39.47,37.75,35.94,21.7
18,Other Long-Term Assets,275.92,90.56,136.68,140.57,314.67,288.88,86.74,42.05,64.91,0.57
19,Total Assets,10263,11645,12514,12493,11926,13468,14211,12959,4308,2271
20,Accounts Payable,1120,1151,1036,967.5,786.73,712.92,572.05,377.88,314.36,246.39
21,Accrued Expenses,624.8,768.01,667.34,798.8,738.85,858.74,640.22,656.54,418.29,397.78
22,Short-Term Debt,-,-,-,-,-,-,11.9,-,-,-
23,Current Portion of Leases,21.8,18.43,20.77,24.39,32.06,32.25,22.62,19.76,21.8,19.46
24,Current Income Taxes Payable,332.85,366.94,308.48,269.39,340.64,324.22,193.27,151.48,98.52,84.64
25,Current Unearned Revenue,1602,1816,1494,1450,1313,1444,1249,1005,728.04,560.39
26,Other Current Liabilities,1114,1118,1045,974.38,1008,1173,1316,745,684.65,442.45
27,Total Current Liabilities,4816,5239,4571,4484,4219,4546,4004,2956,2266,1751
28,Long-Term Leases,104.35,100,109.39,120.53,79.49,88.69,34.11,21.49,28.68,15.57
29,Long-Term Deferred Tax Liabilities,48.33,68.61,115.55,119.69,131.96,161.08,128.4,81.26,65.64,6.59
30,Other Long-Term Liabilities,-,-,-,-,-,-,-,169.62,181.62,-
31,Total Liabilities,4968,5407,4796,4724,4431,4795,4167,3228,2542,1773
32,Common Stock,25.65,25.65,25.65,25.65,25.65,25.88,26.04,26.04,0.09,-
33,Additional Paid-In Capital,7038,7460,7460,7887,7887,8379,8613,8793,1226,-
34,Retained Earnings,-4.36,467.87,1914,1575,1306,2056,1451,841.3,482.63,244.5
35,Treasury Stock,-,-,-,-,-,-35.44,-,-,-,-
36,Comprehensive Income & Other,-1913,-1918,-1872,-1883,-1899,-1924,-162.67,19.84,23.19,122.76
37,Total Common Equity,5146,6035,7528,7604,7319,8502,9927,9680,1732,367.26
38,Minority Interest,148.72,202.48,189.16,165.33,176.1,171.46,116.6,51.28,34.32,130.62
39,Shareholders' Equity,5295,6238,7717,7769,7495,8673,10044,9731,1766,497.88
40,Total Liabilities & Equity,10263,11645,12514,12493,11926,13468,14211,12959,4308,2271
41,Total Debt,126.15,118.44,130.16,144.92,111.55,120.94,68.63,41.25,50.48,35.03
42,Net Cash (Debt),3237,4214,4002,4527,3943,5622,8637,9528,1381,1055
43,Net Cash Growth,-19.12%,-6.89%,1.50%,-19.48%,-54.35%,-41.00%,525.30%,803.00%,-,-
44,Net Cash Per Share,1.06,1.38,1.31,1.48,1.28,1.82,2.78,3.84,0.60,0.46
45,Filing Date Shares Outstanding,3057,3057,3057,3057,3057,3080,3104,3104,2310,122.76
46,Total Common Shares Outstanding,3057,3057,3057,3057,3057,3080,3104,3104,3.04,122.76
47,Working Capital,2296,3499,4533,4633,4030,5674,7329,8053,458.75,367.12
48,Book Value Per Share,1.68,1.97,2.46,2.49,2.39,2.76,3.20,3.12,569.89,2.99
49,Tangible Book Value,3586,4434,5406,5501,5225,6391,7805,8362,405.08,304.03
50,Tangible Book Value Per Share,1.17,1.45,1.77,1.80,1.71,2.08,2.51,2.69,133.27,2.48
51,Buildings,0.41,0.41,0.41,0.41,2.08,2.08,1.74,1.7,1.7,-
52,Machinery,195.58,200.62,185.86,180.4,167.56,151.26,92.85,82.68,67.63,44.12
53,Construction In Progress,6.46,5.14,4.3,3.94,8.05,13.19,21.72,-,-,-
54,Leasehold Improvements,21.51,21.51,19.59,19.57,19.52,18.62,16.87,15.78,13.63,9.3
