,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,5166,5533,5716,6756,12839,14581,24484,89536,53256,-,-
1,Market Cap Growth,-18.10%,-18.10%,-55.48%,-53.67%,-47.56%,-83.71%,-54.03%,-,-,-,-
2,Enterprise Value,1848,1113,1596,1825,8426,7891,14237,78281,51778,-,-
3,Last Close Price,1.69,1.81,1.75,1.90,3.35,3.81,6.14,22.28,13.21,-,-
4,PE Ratio,-,-,-,10.27,-23.57,-,15.63,75.15,75.14,-,-
5,Forward PE,5.94,7.01,7.18,7.37,10.71,6.69,11.36,51.65,41.60,-,-
6,PS Ratio,0.68,0.73,0.74,0.96,1.59,1.46,2.52,12.01,9.70,-,-
7,PB Ratio,0.93,0.97,0.83,0.81,1.46,1.66,2.30,7.41,4.61,-,-
8,P/TBV Ratio,1.44,1.44,1.17,1.16,2.06,2.38,3.12,9.54,5.36,-,-
9,P/FCF Ratio,14.78,-,6.71,-,-21.81,-,-,68.36,45.60,-,-
10,P/OCF Ratio,14.17,-,6.02,10.07,-28.77,-,-,63.64,43.80,-,-
11,PEG Ratio,-,-,-,-,-,0.14,0.21,1.03,0.44,-,-
12,EV/Sales Ratio,0.24,0.15,0.21,0.26,1.05,0.79,1.47,10.50,9.43,-,-
13,EV/EBITDA Ratio,-,-,-,1.69,-12.68,-,7.02,50.88,53.71,-,-
14,EV/EBIT Ratio,-,-,-,1.87,-10.97,-,7.36,53.90,56.95,-,-
15,EV/FCF Ratio,5.29,-,1.87,-,-14.32,-,-,59.77,44.34,-,-
16,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.00,0.03,0.07
17,Debt / FCF Ratio,0.39,-,0.15,-,-0.28,-,-,0.06,0.04,-,0.05
18,Return on Capital Employed (ROCE),-,-,-,11.38%,-8.49%,-,17.67%,11.83%,7.65%,27.34%,66.05%
19,Earnings Yield,-25.94%,-24.22%,-8.38%,9.74%,-4.24%,-0.86%,6.40%,1.33%,1.33%,-,-
20,FCF Yield,6.77%,6.32%,14.90%,7.67%,-4.58%,-13.49%,-2.67%,1.46%,2.19%,-,-
21,Dividend Yield,9.29%,-,8.99%,-,-,-,-,-,-,-,-
22,Buyback Yield / Dilution,-0.00%,-,-0.00%,0.53%,1.18%,0.98%,-24.64%,-34.35%,-7.43%,-,-
23,Total Shareholder Return,9.29%,-,8.99%,0.53%,1.18%,0.98%,-24.64%,-34.35%,-7.43%,-,-
