,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,409.27,719.45,661.7,288.66,348.56,499.94,-
1,Cash & Short-Term Investments,409.27,719.45,661.7,288.66,348.56,499.94,-
2,Cash Growth,-38.15%,149.24%,89.84%,-42.26%,-,-,-
3,Accounts Receivable,3149,2210,2272,2711,2905,2280,-
4,Other Receivables,123.53,232.86,167.85,432.46,169.28,81.71,-
5,Receivables,3288,2446,2444,3147,3075,2362,-
6,Inventory,5.72,10.73,7.75,10.44,7.97,-,-
7,Restricted Cash,14.03,13.08,10,35.06,86.8,55.02,-
8,Other Current Assets,212.79,188.99,325,433.52,372.19,441.53,-
9,Total Current Assets,3930,3379,3448,3915,3891,3358,-
10,"Property, Plant & Equipment",23.14,26.25,31.48,39.65,22.2,27.48,-
11,Long-Term Investments,3.57,-,-,-,-,-,-
12,Other Intangible Assets,1.12,1.28,-,-,-,-,-
13,Long-Term Deferred Tax Assets,39,32.99,41.5,32.75,30.55,28,-
14,Other Long-Term Assets,1.73,2.18,2.47,1.58,8.18,1.94,-
15,Total Assets,4005,3441,3524,3989,3952,3416,-
16,Accounts Payable,1921,1434,1478,1680,1681,1275,-
17,Accrued Expenses,157.91,224.53,140.93,407.23,300.79,195.34,-
18,Short-Term Debt,298,160.01,313.3,340.11,280.68,299.9,-
19,Current Portion of Leases,6.59,6.32,6.79,8.75,8.7,11.41,-
20,Current Income Taxes Payable,12.78,20.7,14.66,28.07,27.18,49.02,-
21,Current Unearned Revenue,124.25,127.34,137.14,108.72,197.12,163.18,-
22,Other Current Liabilities,78.73,78.1,80.45,81.49,135.24,182.82,-
23,Total Current Liabilities,2599,2051,2171,2654,2630,2177,-
24,Long-Term Leases,2.38,4.72,7.29,11.16,4.38,5.4,-
25,Total Liabilities,2601,2056,2179,2665,2635,2182,-
26,Common Stock,38.38,38.38,38.38,38.38,38.38,38.38,-
27,Additional Paid-In Capital,676.63,703.82,703.82,714.88,765.07,765.07,-
28,Retained Earnings,638.43,637.65,554.48,547.09,477.47,433.51,-
29,Treasury Stock,-25.76,-25.76,-19.36,-,-,-,-
30,Comprehensive Income & Other,73.1,28.75,67.62,23.44,36.35,-3.47,-
31,Total Common Equity,1401,1383,1345,1324,1317,1233,-
32,Minority Interest,2.79,3.05,-,-,-,-,-
33,Shareholders' Equity,1404,1386,1345,1324,1317,1233,-
34,Total Liabilities & Equity,4005,3441,3524,3989,3952,3416,-
35,Total Debt,306.97,171.06,327.38,360.02,293.76,316.71,-
36,Net Cash (Debt),102.3,548.39,334.32,-71.36,54.8,183.24,-
37,Net Cash Growth,-69.40%,-,510.07%,-,-,-,-
38,Net Cash Per Share,0.17,0.93,0.56,-0.12,0.09,0.36,-
39,Filing Date Shares Outstanding,590.92,590.92,598.87,600,600,600,462.13
40,Total Common Shares Outstanding,590.92,590.92,598.87,600,600,600,462.13
41,Working Capital,1331,1328,1277,1261,1261,1181,-
42,Book Value Per Share,2.37,2.34,2.25,2.21,2.20,2.06,-
43,Tangible Book Value,1400,1382,1345,1324,1317,1233,-
44,Tangible Book Value Per Share,2.37,2.34,2.25,2.21,2.20,2.06,-
45,Buildings,12.26,12.26,11.86,11.86,-,-,-
46,Machinery,11.36,11.32,11.79,11.97,11.18,11.07,-
47,Leasehold Improvements,11.19,11.19,11.19,10.93,9.1,8.83,-
