,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,591,656,1158,1800,2094,3048,4026,-
1,Market Cap Growth,-63.56%,-63.56%,-44.70%,-40.94%,-47.99%,-,-,-
2,Enterprise Value,484,55,797,1881,2030,2823,4362,-
3,Last Close Price,1.00,1.11,1.84,2.87,3.31,4.82,6.24,-
4,PE Ratio,6.20,6.63,11.61,46.92,-,9.45,12.90,-
5,PS Ratio,0.07,0.08,0.15,0.22,0.22,0.31,0.42,-
6,PB Ratio,0.39,0.43,0.76,1.24,1.40,1.98,2.66,-
7,P/TBV Ratio,0.44,0.44,0.76,1.24,1.40,1.98,2.66,-
8,P/FCF Ratio,4.44,-,1.30,5.12,-,-,-,-
9,P/OCF Ratio,4.92,-,1.29,4.90,-,-,-,-
10,EV/Sales Ratio,0.06,0.01,0.10,0.23,0.22,0.29,0.45,-
11,EV/EBITDA Ratio,3.35,0.40,5.09,13.73,8.05,6.53,9.85,-
12,EV/EBIT Ratio,3.65,0.42,5.30,14.54,8.31,6.63,9.98,-
13,EV/FCF Ratio,3.63,-,0.89,5.35,-,-,-,-
14,Debt / Equity Ratio,0.22,0.22,0.12,0.24,0.27,0.22,0.26,-
15,Debt / FCF Ratio,2.48,-,0.21,1.01,-,-,-,-
16,Return on Capital Employed (ROCE),8.77%,8.77%,9.82%,8.85%,16.19%,27.52%,28.73%,-
17,Earnings Yield,16.75%,15.09%,8.62%,2.13%,6.13%,10.58%,7.75%,-
18,FCF Yield,22.54%,20.30%,77.18%,19.54%,-12.62%,-8.84%,-9.64%,-
19,Buyback Yield / Dilution,1.42%,1.33%,1.51%,0.19%,-16.34%,-29.83%,-,-
20,Total Shareholder Return,6.42%,1.33%,1.51%,0.19%,-16.34%,-29.83%,-,-
