,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,3867,3466,3610,4106,4230,4195,3647
1,Revenue Growth (YoY),7.13%,-15.59%,-14.66%,-2.11%,15.99%,-,-
2,Cost of Revenue,3711,3326,3453,4090,4012,3975,3429
3,Gross Profit,156.26,139.64,156.61,16.3,218.21,219.17,217.39
4,"Selling, General & Admin",57.94,59.07,45.54,60.05,46.6,28.15,64.75
5,Research & Development,4.43,4.27,4.55,5.92,11.58,11.63,2.1
6,Other Operating Expenses,12.74,-1.5,6.79,-81.83,-7.16,-32.24,-22.67
7,Operating Expenses,101.88,70.76,88.9,-35.73,54.1,19.54,61.07
8,Operating Income,54.38,68.88,67.71,52.03,164.11,199.63,156.31
9,Interest Expense,-8.27,-7.32,-13.47,-10.98,-10.4,-10.79,-15.26
10,Interest & Investment Income,10.14,8.62,3.9,1.93,3.42,2.47,0.79
11,Currency Exchange Gain (Loss),-0.22,0.44,-6.66,-9.13,-3.98,-1.11,0.01
12,Other Non Operating Income (Expenses),-4.14,-4.69,-0.27,-36.87,-1.48,-0.07,0.53
13,EBT Excluding Unusual Items,51.89,65.93,51.21,-3.01,151.66,190.13,142.38
14,Other Unusual Items,-,0.09,-,0.1,-,-,-
15,Pretax Income,51.89,66.01,51.21,-2.92,151.66,190.13,142.38
16,Income Tax Expense,8.74,16.91,9.34,3.45,31.72,34.85,43.32
17,Earnings From Continuing Operations,43.15,49.1,41.87,-6.37,119.95,155.28,99.07
18,Minority Interest in Earnings,0.26,-0.41,-,-,-,-,-
19,Net Income,43.41,48.69,41.87,-6.37,119.95,155.28,99.07
20,Net Income to Common,43.41,48.69,41.87,-6.37,119.95,155.28,99.07
21,Net Income Growth,3.69%,-,-65.09%,-,21.08%,-,-
22,Shares Outstanding (Basic),591,591,599,600,600,516,462
23,Shares Outstanding (Diluted),591,591,599,600,600,516,462
24,Shares Change (YoY),-1.33%,-1.51%,-0.19%,16.34%,29.83%,-,-
25,EPS (Basic),0.07,0.08,0.07,-0.01,0.20,0.30,0.21
26,EPS (Diluted),0.07,0.08,0.07,-0.01,0.20,0.30,0.21
27,EPS Growth,0.12%,-,-65.03%,-,-4.80%,-,-
28,Free Cash Flow,-240.67,364.6,446.68,-121.09,-112.73,-117.23,-198.87
29,Free Cash Flow Per Share,-0.41,0.62,0.75,-0.20,-0.19,-0.23,-0.43
30,Operating Margin,1.41%,1.99%,1.88%,1.27%,3.88%,4.76%,4.29%
31,Profit Margin,1.12%,1.40%,1.16%,-0.16%,2.84%,3.70%,2.72%
32,Free Cash Flow Margin,-6.22%,10.52%,12.37%,-2.95%,-2.67%,-2.79%,-5.45%
33,EBITDA,56.08,71.36,70.83,55.97,167.11,202.19,158.42
34,D&A For EBITDA,1.7,2.48,3.12,3.94,3,2.56,2.11
35,EBIT,54.38,68.88,67.71,52.03,164.11,199.63,156.31
