,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,291,14746,9090,3250,-,-,-,-
1,Market Cap Growth,353.72%,353.72%,-,-,-,-,-,-
2,Enterprise Value,336,14814,9115,3413,-,-,-,-
3,Last Close Price,0.26,14.60,9.00,3.25,-,-,-,-
4,PS Ratio,0.54,31.11,16.10,4.17,-,-,-,-
5,PB Ratio,0.25,14.36,7.84,2.60,-,-,-,-
6,P/TBV Ratio,14.44,14.44,7.87,2.62,-,-,-,-
7,P/FCF Ratio,-,-750.60,-,-,-,-,-,-
8,P/OCF Ratio,462.87,462.87,-,-,-,-,-,-
9,EV/Sales Ratio,0.71,31.25,16.14,4.38,-,-,-,-
10,EV/EBITDA Ratio,-,-,-,65.65,-,-,-,-
11,EV/FCF Ratio,-17.08,-754.05,-,-,-,-,-,-
12,Debt / Equity Ratio,0.22,0.22,0.27,0.20,0.24,0.28,0.20,-
13,Debt / FCF Ratio,-,-11.75,-,-,14.15,-,-,-
14,Return on Capital Employed (ROCE),-,-,-,-,8.71%,11.53%,6.64%,-
15,Earnings Yield,-68.82%,-1.36%,-1.33%,-0.79%,-,-,-,-
16,FCF Yield,-6.76%,-0.13%,-1.32%,-1.25%,-,-,-,-
17,Buyback Yield / Dilution,-10.36%,-1.55%,-20.85%,-18.99%,-,-,-,-
18,Total Shareholder Return,-10.36%,-1.55%,-20.85%,-18.99%,-,-,-,-
