,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,22.28,29.62,28.34,11.65,14.62,15.09,-
1,Trading Asset Securities,1.54,1.54,-,-,-,-,-
2,Cash & Short-Term Investments,23.82,31.16,28.34,11.65,14.62,15.09,-
3,Cash Growth,-15.96%,167.42%,93.88%,-22.76%,-,-,-
4,Receivables,14.38,12.95,19.91,21.05,25.65,21.85,-
5,Inventory,44.06,57.02,64.29,58.61,62.86,60.87,-
6,Prepaid Expenses,-,-,5.38,-,7.68,9.02,-
7,Other Current Assets,8.65,6.28,-,7.51,-,-,-
8,Total Current Assets,90.91,107.42,117.92,98.81,110.8,106.83,-
9,"Property, Plant & Equipment",104.1,107.21,100.54,101.24,101.42,107.31,-
10,Long-Term Investments,6.34,6.65,5.69,-,-,-,-
11,Other Intangible Assets,0.74,0.71,0.77,0.91,1.07,1.27,-
12,Long-Term Deferred Tax Assets,5.2,3.41,2.23,2.15,3.77,5.36,-
13,Other Long-Term Assets,0.62,0.65,2.38,2.74,1.66,2.09,-
14,Total Assets,207.91,226.05,229.53,205.85,218.72,222.86,-
15,Accounts Payable,8.95,7.2,9.85,12.31,15.44,18.99,-
16,Short-Term Debt,-,0.12,-,0.51,0.62,3.62,-
17,Current Portion of Long-Term Debt,25.72,34.58,25.61,16.11,17.54,16.84,-
18,Current Portion of Leases,0.33,0.24,0.53,0.56,0.47,0.64,-
19,Current Income Taxes Payable,4.65,4.69,5.3,5.23,8.54,8.66,-
20,Current Unearned Revenue,-,-,-,-,3.42,-,-
21,Other Current Liabilities,24.08,15.75,11.49,10.8,8.96,12.45,-
22,Total Current Liabilities,63.72,62.57,52.78,45.52,54.99,61.19,-
23,Long-Term Debt,2.65,3.96,4.39,13.62,16.98,5.76,-
24,Long-Term Leases,0.86,0.93,1.02,1.31,1.19,0.15,-
25,Long-Term Deferred Tax Liabilities,7.94,8.83,9.65,10.2,12.58,14.03,-
26,Other Long-Term Liabilities,1.2,1.27,2.39,2.28,1.08,6.74,-
27,Total Liabilities,76.38,77.56,70.22,72.93,86.82,87.87,-
28,Common Stock,10.1,10.1,10,0.11,0.11,0.11,-
29,Additional Paid-In Capital,28.81,28.81,28.81,7.3,7.3,7.3,-
30,Retained Earnings,76.05,90.41,100.82,104.22,102.33,95.03,-
31,Comprehensive Income & Other,16.57,19.17,19.67,21.28,22.16,32.55,-
32,Shareholders' Equity,131.53,148.49,159.3,132.92,131.9,134.99,-
33,Total Liabilities & Equity,207.91,226.05,229.53,205.85,218.72,222.86,-
34,Total Debt,29.56,39.83,31.54,32.1,36.79,27.01,-
35,Net Cash (Debt),-5.74,-8.67,-3.2,-20.45,-22.17,-11.93,-
36,Net Cash Per Share,-0.01,-0.01,-0.00,-0.02,-0.03,-,-
37,Filing Date Shares Outstanding,1010,1010,1000,1000,11,11,-
38,Total Common Shares Outstanding,1010,1010,1000,11,11,11,-
39,Working Capital,27.19,44.85,65.14,53.29,55.81,45.63,-
40,Book Value Per Share,0.13,0.15,0.16,12.08,11.99,12.27,-
41,Tangible Book Value,130.8,147.78,158.53,132,130.84,133.72,-
42,Tangible Book Value Per Share,0.13,0.15,0.16,12.00,11.89,12.16,-
43,Land,-,33.04,-,32.44,34.08,36.64,-
44,Machinery,-,67.12,-,60.79,59.17,63.38,-
45,Leasehold Improvements,-,0.24,-,0.23,0.44,0.44,-
