,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,32.1,28.61,43.69,55.82,59.71,66.91,41.79
1,Revenue Growth (YoY),-26.52%,-48.75%,-26.83%,-16.58%,42.89%,-,-
2,Cost of Revenue,40.22,33.07,38.38,45.35,44.14,51.29,34.57
3,Gross Profit,-8.11,-4.46,5.3,10.46,15.56,15.62,7.22
4,"Selling, General & Admin",7.45,8.34,6.67,6.26,5.81,6.4,5.6
5,Operating Expenses,7.51,8.2,6.67,6.11,5.95,6.35,5.75
6,Operating Income,-15.63,-12.66,-1.37,4.35,9.61,9.27,1.47
7,Interest Expense,-1.73,-1.16,-2.15,-1.36,-0.97,-0.99,-0.88
8,Interest & Investment Income,0.13,0.21,0.18,0.02,0.01,0.08,0
9,Earnings From Equity Investments,-0.19,-0.27,-,-,-,-,-
10,Currency Exchange Gain (Loss),0.18,0.08,-0.94,-0.41,-0.12,0.1,-0.1
11,Other Non Operating Income (Expenses),0.06,-3.98,0.18,0.09,-0.28,-0.6,0.05
12,EBT Excluding Unusual Items,-17.18,-17.76,-4.1,2.69,8.25,7.86,0.54
13,Gain (Loss) on Sale of Investments,-,2.56,-,-,-,-,-
14,Gain (Loss) on Sale of Assets,0.54,-0,-0.27,-,-,0.01,-0.01
15,Asset Writedown,-,-1.03,-,-0.79,0.08,-0.15,-0.13
16,Other Unusual Items,-,2.97,-4.7,-0.64,-0.4,-1.96,-0
17,Pretax Income,-16.64,-13.26,-9.06,1.26,7.93,5.76,0.4
18,Income Tax Expense,-2.27,-2.01,-4.84,0.3,1.4,1.75,0.02
19,Net Income,-14.37,-11.25,-4.22,0.96,6.53,4.01,0.38
20,Net Income to Common,-14.37,-11.25,-4.22,0.96,6.53,4.01,0.38
21,Net Income Growth,-,-,-,-75.99%,1632.89%,-,-
22,Shares Outstanding (Basic),1000,1000,985,828,828,-,-
23,Shares Outstanding (Diluted),1000,1000,985,828,828,-,-
24,Shares Change (YoY),1.55%,20.85%,18.99%,-,-,-,-
25,EPS (Basic),-0.01,-0.01,-0.00,0.00,0.01,-,-
26,EPS (Diluted),-0.01,-0.01,-0.00,0.00,0.01,-,-
27,Free Cash Flow,3.81,-6.33,-9.03,3.86,-1.6,-2.6,2.63
28,Free Cash Flow Per Share,0.00,-0.01,-0.01,0.00,-0.00,-,-
29,Operating Margin,-48.68%,-44.24%,-3.13%,7.80%,16.10%,13.85%,3.51%
30,Profit Margin,-44.76%,-39.33%,-9.67%,1.73%,10.94%,5.99%,0.90%
31,Free Cash Flow Margin,11.87%,-22.11%,-20.67%,6.92%,-2.67%,-3.88%,6.29%
32,EBITDA,-13.51,-10.57,0.8,5.84,11.97,11.18,3.5
33,D&A For EBITDA,2.12,2.08,2.16,1.49,2.35,1.92,2.03
34,EBIT,-15.63,-12.66,-1.37,4.35,9.61,9.27,1.47
