,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,187.69,264.98,366.19,68.98,-
1,Trading Asset Securities,351.7,343.35,381.98,512.66,-
2,Cash & Short-Term Investments,539.39,608.33,748.17,581.64,-
3,Cash Growth,-27.91%,4.59%,-,-,-
4,Inventory,5.94,3.48,3.19,2.54,-
5,Other Current Assets,20.03,9.17,4.92,16.83,-
6,Total Current Assets,565.35,620.97,756.28,601,-
7,"Property, Plant & Equipment",524.86,488.5,453.49,292.09,-
8,Other Intangible Assets,4.57,4.13,3.34,3.44,-
9,Other Long-Term Assets,7.45,53.1,37.4,173.64,-
10,Total Assets,1102,1167,1250,1070,-
11,Accrued Expenses,40.12,36.49,7.45,6.31,-
12,Short-Term Debt,0.58,7,10,-,-
13,Current Portion of Leases,-,0.13,-,-,-
14,Current Income Taxes Payable,0.11,0.22,0.11,0.11,-
15,Current Unearned Revenue,-,-,4,9.4,-
16,Other Current Liabilities,53.92,52.48,35.43,78.3,-
17,Total Current Liabilities,94.72,96.31,56.99,94.11,-
18,Long-Term Debt,16,-,-,-,-
19,Long-Term Leases,12.25,12.09,11.55,11.22,-
20,Long-Term Unearned Revenue,35.07,37.67,30.19,27.37,-
21,Total Liabilities,158.04,146.07,98.72,132.7,-
22,Common Stock,202.45,202.45,202.45,192.06,-
23,Additional Paid-In Capital,2622,2448,2448,2200,-
24,Retained Earnings,-1880,-1770,-1600,-1520,-
25,Comprehensive Income & Other,-,139.77,100.92,66.19,-
26,Shareholders' Equity,944.19,1021,1152,937.47,-
27,Total Liabilities & Equity,1102,1167,1250,1070,-
28,Total Debt,28.83,19.22,21.55,11.22,-
29,Net Cash (Debt),510.56,589.11,726.62,570.42,-
30,Net Cash Growth,-29.74%,3.28%,-,-,-
31,Net Cash Per Share,2.52,2.91,3.72,2.96,-
32,Filing Date Shares Outstanding,201.01,202.45,202.45,192.06,98.19
33,Total Common Shares Outstanding,202.45,202.45,202.45,192.06,98.19
34,Working Capital,470.63,524.66,699.29,506.89,-
35,Book Value Per Share,4.66,5.04,5.69,4.88,-
36,Tangible Book Value,939.62,1017,1148,934.03,-
37,Tangible Book Value Per Share,4.64,5.02,5.67,4.86,-
38,Machinery,-,69.69,-,66.42,-
39,Construction In Progress,-,113.92,-,152.81,-
40,Leasehold Improvements,-,22.85,-,21.8,-
