,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,"Selling, General & Admin",44.96,45.77,41.24,41.23,44.6
1,Research & Development,80.38,139.53,33.16,36.24,55.19
2,Other Operating Expenses,0.19,0.32,0.28,0.24,2.9
3,Operating Expenses,125.53,185.62,74.68,77.71,102.68
4,Operating Income,-125.53,-185.62,-74.68,-77.71,-102.68
5,Interest Expense,-0.4,-0.46,-0.39,-0.38,-0.34
6,Interest & Investment Income,1.76,4.35,1.66,0.2,0.05
7,Currency Exchange Gain (Loss),0.98,0.16,6.58,0.31,0.68
8,Other Non Operating Income (Expenses),7.94,10.37,-22.76,-1.67,-557.74
9,EBT Excluding Unusual Items,-115.25,-171.21,-89.58,-79.25,-660.03
10,Gain (Loss) on Sale of Investments,5.31,1.15,10.23,5.92,7.95
11,Gain (Loss) on Sale of Assets,-,0.06,-,-0,-
12,Other Unusual Items,-,-,-,0.24,-
13,Pretax Income,-109.94,-170,-79.35,-73.1,-652.08
14,Net Income,-109.94,-170,-79.35,-73.1,-652.08
15,Net Income to Common,-109.94,-170,-79.35,-73.1,-652.08
16,Shares Outstanding (Basic),202,203,195,193,98
17,Shares Outstanding (Diluted),202,203,195,193,98
18,Shares Change (YoY),3.73%,5.02%,98.76%,-,-
19,EPS (Basic),-0.54,-0.84,-0.41,-0.38,-6.64
20,EPS (Diluted),-0.54,-0.84,-0.41,-0.38,-6.64
21,Free Cash Flow,-84.07,-148.54,-127.18,-208.03,-77.44
22,Free Cash Flow Per Share,-0.42,-0.73,-0.65,-1.08,-0.79
23,EBITDA,-119.7,-179.32,-69.33,-74.06,-100.91
24,D&A For EBITDA,5.83,6.31,5.35,3.65,1.77
25,EBIT,-125.53,-185.62,-74.68,-77.71,-102.68
