,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,9568,9530,9304,10337,10441,11316,-,-,-,-,-,-,-,-
1,Market Cap Growth,-15.78%,-15.78%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,14191,13477,12453,13412,13515,15710,-,-,-,-,-,-,-,-
3,Last Close Price,15.18,15.12,14.76,16.36,16.52,21.07,-,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,78.72,56.71,-,-,-,-,-,-,-,-
5,PS Ratio,1.37,1.38,1.37,1.60,1.60,1.71,-,-,-,-,-,-,-,-
6,PB Ratio,2.37,2.06,1.95,2.15,2.11,2.32,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.57,2.57,2.45,2.70,2.65,2.91,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-16.82,-,-,-5.40,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,32.29,32.29,-,-,-21.90,-12.20,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.05,1.95,1.84,2.08,2.07,2.38,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,90.23,126.25,55.38,-,36.17,29.89,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-576.43,-,-,45.95,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-25.05,-23.79,-,-,-6.99,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,1.80,1.80,1.54,1.32,1.31,1.16,1.78,1.23,1.23,-,-,0.78,0.48,0.48
15,Debt / EBITDA Ratio,52.99,382.54,16.32,-,80.34,11.48,13.76,7.33,5.54,-,-,1.62,1.22,1.22
16,Debt / FCF Ratio,-,-14.71,-,-,-3.34,-,-,-,-,-,-,-,-,-
17,Asset Turnover,0.56,0.54,0.33,0.44,0.61,-,-,-,-,-,-,0.68,-,
18,Inventory Turnover,3.98,5.25,4.64,2.91,3.47,4.56,-,-,-,-,-,-,5.11,-
19,Quick Ratio,0.78,0.78,0.78,0.79,0.81,0.82,0.65,-,0.66,-,-,-,1.00,1.00
20,Current Ratio,0.97,0.97,1.00,1.02,1.07,1.08,0.89,-,0.90,-,-,-,1.27,1.27
21,Return on Equity (ROE),-10.45%,-1.40%,-11.14%,4.52%,1.91%,-0.08%,5.07%,-,-,-,-,25.77%,-,
22,Return on Assets (ROA),-0.93%,0.58%,-1.66%,-0.76%,1.54%,-,-,-,-,-,-,9.02%,-,
23,Return on Capital (ROIC),-1.16%,0.74%,-2.10%,-0.99%,2.13%,1.35%,3.19%,-,-,-,-,14.71%,-,
24,Return on Capital Employed (ROCE),-,-,-0.35%,-,-,5.33%,10.73%,-,18.39%,-,-,-,12.86%,6.43%
25,Earnings Yield,-1.53%,-1.53%,-0.30%,-0.03%,1.27%,1.76%,-,-,-,-,-,-,-,-
26,FCF Yield,-5.92%,-5.94%,-9.12%,-18.35%,-18.52%,-21.10%,-,-,-,-,-,-,-,-
27,Dividend Yield,0.26%,-,-,-,0.24%,-,-,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,48.07%,141.57%,200.78%,145.24%,21.84%,22.96%,17.52%,17.52%,10.61%,10.61%
29,Buyback Yield / Dilution,-14.68%,-9.78%,-13.56%,-21.96%,-14.03%,-9.11%,-2.66%,3.97%,-8.46%,-7.62%,-,-,-,-
30,Total Shareholder Return,-14.42%,-9.78%,-13.56%,-21.96%,-13.79%,-9.11%,-2.66%,3.97%,-8.46%,-7.62%,-,-,-,-
