,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,2239,1911,1191,1125,2122,1546,1278,973.25,2181,1271,1271,792.59,792.59
1,Other Revenue,-74.73,74.73,-,460.23,-107.27,107.27,-,684.89,-430.93,215.46,215.46,-,-
2,Revenue,2164,1986,1191,1585,2015,1653,1278,1658,1750,1486,1486,792.59,792.59
3,Revenue Growth (YoY),7.43%,20.13%,-6.82%,-4.38%,15.14%,11.23%,-14.05%,109.20%,120.77%,-,-,-,-
4,Cost of Revenue,2135,1892,1227,1527,1849,1553,1119,1412,1501,1205,1205,588.57,588.57
5,Gross Profit,29.41,94.09,-36.89,58.86,165.99,100.31,158.27,245.95,248.82,281.5,281.5,204.02,204.02
6,"Selling, General & Admin",39.13,30.53,36.31,33.44,35.45,23.47,29.9,21.19,26.26,22.97,22.97,19.58,19.58
7,Research & Development,38.47,52.8,40.68,39.05,38.36,32.28,30.64,30.02,28.51,26.01,26.01,12.47,12.47
8,Other Operating Expenses,-1.9,-22.42,-16.34,20.31,5.77,0.03,3.48,61.43,-49.45,5.36,5.36,2.52,2.52
9,Operating Expenses,87.39,59.51,57.77,102.18,84.2,58.52,70.14,115.75,7.65,55.22,55.22,36.89,36.89
10,Operating Income,-57.98,34.58,-94.66,-43.31,81.79,41.79,88.13,130.2,241.17,226.28,226.28,167.13,167.13
11,Interest Expense,-38.35,-58.39,-41.56,-115.23,-48.83,-38.3,-44.65,-91.53,-9.88,-47.46,-47.46,-24.74,-24.74
12,Interest & Investment Income,18.51,19.3,22.37,21.8,14.75,11.6,9.43,10.76,8.73,11.27,11.27,0.47,0.47
13,Currency Exchange Gain (Loss),-0.05,0.05,-,0.05,-0.11,0.11,-,0.01,-0,0,0,-,-
14,Other Non Operating Income (Expenses),-43,-7.07,-21.67,50.05,-22.66,-20.27,-11.17,37.74,-38.31,-0.95,-0.95,-0.73,-0.73
15,EBT Excluding Unusual Items,-120.88,-11.52,-135.52,-86.64,24.94,-5.08,41.74,87.18,201.7,189.14,189.14,142.14,142.14
16,Gain (Loss) on Sale of Investments,-4.83,-3.96,1.24,0.18,-,-,-,0.03,-,0.04,0.04,-,-
17,Gain (Loss) on Sale of Assets,-,-,-,-1.32,-,-,0,-4.98,-,-6.35,-6.35,-0.76,-0.76
18,Asset Writedown,3.77,0.98,-1,5.61,-5.68,0.34,-0.35,1.85,-1.85,-,-,-,-
19,Other Unusual Items,0.04,-0.01,-0.03,151.92,0.02,-0.02,-,67.68,-19.5,9.75,9.75,2.13,2.13
20,Pretax Income,-121.89,-14.51,-135.3,69.76,19.29,-4.77,41.39,151.77,180.35,192.57,192.57,143.51,143.51
21,Income Tax Expense,0.91,2.24,0.39,14.21,0.25,-4.12,2.22,-16.78,28.45,33.76,33.76,20.04,20.04
22,Earnings From Continuing Operations,-122.8,-16.75,-135.69,55.55,19.04,-0.65,39.17,168.55,151.9,158.82,158.82,123.47,123.47
23,Minority Interest in Earnings,24.14,6.07,40.94,2.64,-0.15,15.5,1.54,-43.45,-35.55,-27.84,-27.84,-22.15,-22.15
24,Net Income,-98.66,-10.68,-94.75,58.18,18.89,14.85,40.71,125.09,116.36,130.98,130.98,101.32,101.32
25,Net Income to Common,-98.66,-10.68,-94.75,58.18,18.89,14.85,40.71,125.09,116.36,130.98,130.98,101.32,101.32
26,Net Income Growth,-,-,-,-53.49%,-83.77%,-88.66%,-68.92%,23.46%,14.84%,-,-,-,-
27,Shares Outstanding (Basic),631,629,632,605,574,554,518,531,526,539,539,489,489
28,Shares Outstanding (Diluted),631,629,632,605,574,554,518,531,526,539,539,489,489
29,Shares Change (YoY),9.78%,13.56%,21.96%,14.03%,9.11%,2.66%,-3.97%,8.46%,7.62%,-,-,-,-
30,EPS (Basic),-0.16,-0.02,-0.15,0.10,0.03,0.03,0.08,0.24,0.22,0.24,0.24,0.21,0.21
31,EPS (Diluted),-0.16,-0.02,-0.15,0.10,0.03,0.03,0.08,0.24,0.22,0.24,0.24,0.21,0.21
32,EPS Growth,-,-,-,-59.21%,-85.12%,-88.95%,-67.63%,13.83%,6.71%,-,-,-,-
33,Free Cash Flow,129.84,-568.6,-268.04,140.25,-151.97,-1618,-304.05,-314.49,-385.05,-574.84,-574.84,-484.41,-484.41
34,Free Cash Flow Per Share,0.21,-0.90,-0.42,0.23,-0.26,-2.92,-0.59,-0.59,-0.73,-1.07,-1.07,-0.99,-0.99
35,Dividend Per Share,-,-,-,0.039,-,-,-,-,-,-,-,-,-
36,Gross Margin,1.36%,4.74%,-3.10%,3.71%,8.24%,6.07%,12.39%,14.83%,14.22%,18.94%,18.94%,25.74%,25.74%
37,Operating Margin,-2.68%,1.74%,-7.95%,-2.73%,4.06%,2.53%,6.90%,7.85%,13.78%,15.22%,15.22%,21.09%,21.09%
38,Profit Margin,-4.56%,-0.54%,-7.96%,3.67%,0.94%,0.90%,3.19%,7.54%,6.65%,8.81%,8.81%,12.78%,12.78%
39,Free Cash Flow Margin,6.00%,-28.63%,-22.51%,8.85%,-7.54%,-97.84%,-23.80%,-18.97%,-22.01%,-38.67%,-38.67%,-61.12%,-61.12%
40,EBITDA,5.45,112.42,-31.23,20.11,123.57,100.07,129.91,171.98,279.28,264.39,264.39,189.1,189.1
41,EBITDA Margin,0.25%,5.66%,-2.62%,1.27%,6.13%,6.05%,10.17%,10.37%,15.96%,17.79%,17.79%,23.86%,23.86%
42,D&A For EBITDA,63.43,77.84,63.43,63.43,41.78,58.29,41.78,41.78,38.11,38.11,38.11,21.97,21.97
43,EBIT,-57.98,34.58,-94.66,-43.31,81.79,41.79,88.13,130.2,241.17,226.28,226.28,167.13,167.13
44,EBIT Margin,-2.68%,1.74%,-7.95%,-2.73%,4.06%,2.53%,6.90%,7.85%,13.78%,15.22%,15.22%,21.09%,21.09%
45,Effective Tax Rate,-,-,-,20.37%,1.29%,-,5.36%,-,15.77%,17.53%,17.53%,13.96%,13.96%
46,Revenue as Reported,2164,1986,1191,1585,2015,1653,1278,1658,1750,1486,1486,792.59,792.59
