,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,4287,3993,3799,3539,3277,1786,-,1493,-,-,-,575.07,575.07
1,Trading Asset Securities,30,30,30,30.43,-,5.12,-,5.12,-,-,-,21,21
2,Cash & Short-Term Investments,4317,4023,3829,3569,3277,1791,1498,1498,-,-,997.59,596.07,596.07
3,Cash Growth,31.73%,124.59%,155.61%,138.26%,-,-,50.16%,151.31%,-,-,-,-,-
4,Accounts Receivable,3416,2908,2619,2550,3370,2962,-,2036,-,-,-,1436,1436
5,Other Receivables,25,6.5,14.95,9.55,10.08,4.41,-,5.01,-,-,-,5.11,5.11
6,Receivables,3441,2914,2634,2560,3380,2967,-,2041,-,-,-,1441,1441
7,Inventory,1628,1625,1635,1740,1776,1466,-,1152,-,-,-,460.27,460.27
8,Prepaid Expenses,-,7.75,-,2.52,-,0.26,-,31.34,-,-,-,-,-
9,Other Current Assets,319.55,233.22,242.21,179.99,352.31,290.75,-,143.28,-,-,-,82.41,82.41
10,Total Current Assets,9705,8803,8340,8051,8786,6515,-,4866,-,-,-,2580,2580
11,"Property, Plant & Equipment",5753,5655,5526,5264,4970,4829,-,4422,-,-,-,1705,1705
12,Long-Term Investments,7.45,7.45,7.45,7.45,7.45,7.45,-,7.45,-,-,-,7.45,7.45
13,Other Intangible Assets,330.68,331.81,334.19,319.19,314.54,316.73,-,320.39,-,-,-,99.11,99.11
14,Long-Term Deferred Tax Assets,147.91,145.47,148.94,148.4,130.25,130.48,-,121.58,-,-,-,2.36,2.36
15,Long-Term Deferred Charges,1.76,1.93,2.63,2.84,2.93,2.96,-,1.18,-,-,-,1.19,1.19
16,Other Long-Term Assets,117.17,131.54,118.53,280.41,309.06,194.03,-,142.09,-,-,-,238.9,238.9
17,Total Assets,16063,15076,14478,14074,14520,11996,-,9880,-,-,-,4635,4635
18,Accounts Payable,2097,2012,2117,1755,2960,2612,-,2208,-,-,-,709.15,709.15
19,Accrued Expenses,30.91,42.22,23.83,38.35,29.29,30.13,-,35.59,-,-,-,25.39,25.39
20,Short-Term Debt,6874,5783,4765,4726,3762,3569,-,2158,-,-,-,247.33,247.33
21,Current Portion of Long-Term Debt,463.64,558.16,549.78,551.68,782.4,770.72,-,494.02,-,-,-,94.75,94.75
22,Current Portion of Leases,-,-,-,-,-,-,-,-,-,-,-,11.4,11.4
23,Current Income Taxes Payable,23.83,0.85,13.21,34.3,9.18,3.37,-,36.49,-,-,-,32.69,32.69
24,Current Unearned Revenue,10.91,5.56,18.48,8.45,11.47,11.16,-,10.32,-,-,-,3.85,3.85
25,Other Current Liabilities,461.13,444.17,684.12,441.31,551.96,328.45,-,456.54,-,-,-,910.14,910.14
26,Total Current Liabilities,9961,8847,8171,7555,8106,7324,-,5399,-,-,-,2035,2035
27,Long-Term Debt,997.59,999.49,1028,1186,1128,1167,-,1159,-,-,-,571.11,571.11
28,Long-Term Unearned Revenue,359.71,363.02,365.49,283.51,289.85,292.19,-,116.05,-,-,-,112.43,112.43
29,Long-Term Deferred Tax Liabilities,106.71,106.71,110.38,110.42,113.51,113.51,-,114.86,-,-,-,0.11,0.11
30,Total Liabilities,11425,10316,9676,9135,9638,8897,-,6789,-,-,-,2718,2718
31,Common Stock,630.32,630.32,450.23,450.23,450.23,382.7,-,382.7,-,-,-,382.7,382.7
32,Additional Paid-In Capital,2484,2484,2664,2664,2664,967.44,-,967.44,-,-,-,966.89,966.89
33,Retained Earnings,917.82,1016,1052,1147,1088,1070,-,1045,-,-,-,289.54,289.54
34,Comprehensive Income & Other,0.25,0.1,0.14,0.8,0.5,0.4,-,0.37,-,-,-,-,-
35,Total Common Equity,4033,4131,4167,4262,4204,2420,2395,2395,-,-,1891,1639,1639
36,Minority Interest,604.96,629.13,635.28,676.22,678.9,678.87,-,695.9,-,-,-,277.05,277.05
37,Shareholders' Equity,4638,4760,4802,4938,4882,3099,3091,3091,-,-,2207,1916,1916
38,Total Liabilities & Equity,16063,15076,14478,14074,14520,11996,-,9880,-,-,-,4635,4635
39,Total Debt,8335,7341,6343,6464,5673,5506,3811,3811,-,-,1711,924.59,924.59
40,Net Cash (Debt),-4018,-3318,-2514,-2895,-2396,-3715,-2314,-2314,-,-,-712.98,-328.52,-328.52
41,Net Cash Per Share,-6.37,-5.28,-3.98,-4.79,-4.17,-6.71,-4.47,-4.36,-,-,-1.32,-0.67,-0.67
42,Filing Date Shares Outstanding,630.32,630.32,630.32,630.32,630.32,535.78,517.95,535.78,526.39,539.36,539.36,535.78,535.78
43,Total Common Shares Outstanding,630.32,630.32,630.32,630.32,630.32,535.78,517.95,535.78,526.39,539.36,539.36,535.78,535.78
44,Working Capital,-255.94,-43.68,168.52,496,679.53,-809.46,-,-533.13,-,-,-,545.55,545.55
45,Book Value Per Share,6.40,6.55,6.61,6.76,6.67,4.52,4.47,4.47,-,-,3.68,3.06,3.06
46,Tangible Book Value,3702,3799,3832,3943,3889,2103,2075,2075,-,-,1792,1540,1540
47,Tangible Book Value Per Share,5.87,6.03,6.08,6.26,6.17,3.93,3.87,3.87,-,-,3.49,2.87,2.87
48,Buildings,-,2170,-,1865,-,1640,-,1587,-,-,-,729.47,729.47
49,Machinery,-,3343,-,3063,-,2563,-,2048,-,-,-,897.67,897.67
50,Construction In Progress,-,928.66,-,971.85,-,1127,-,1176,-,-,-,308.71,308.71
