,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,361.27,205.49,175.3,152.99,289.62,174.2,144.49,133.3,235.03,144.42,103.59,114.09,238.16,98.68,128.31,128.31,149.12,149.12,84.06,84.06
1,Revenue Growth (YoY),24.74%,17.96%,21.32%,14.77%,23.23%,20.62%,39.48%,16.84%,-1.32%,46.36%,-19.26%,-11.08%,59.71%,-33.83%,52.65%,52.65%,-,-,-,-
2,Cost of Revenue,-257.83,100.13,85.69,72.01,182.28,81.19,68.51,62,133.25,67.93,54.1,53.66,141.39,181.24,-,-,83.6,83.6,52.37,52.37
3,Gross Profit,619.1,105.36,89.61,80.98,107.34,93.01,75.99,71.31,101.78,76.49,49.49,60.43,96.77,-82.56,128.31,128.31,65.52,65.52,31.69,31.69
4,"Selling, General & Admin",-103.63,37.49,35.25,30.89,57.68,33.16,34.52,34.09,51.97,35.62,28.64,31.19,40.07,83.59,-,-,26.69,26.69,18.72,18.72
5,Research & Development,-40.02,15.38,13.74,10.9,17.53,11.94,12.94,9.83,13.97,12.96,11.57,8.79,11.08,25.02,-,-,8.85,8.85,4.48,4.48
6,Other Operating Expenses,643.43,-0.69,1.42,0.73,2.84,0.79,-0.76,-0.61,1.9,1.27,-1.04,0.06,0.2,-157.49,78.94,78.94,0.42,0.42,0.44,0.44
7,Operating Expenses,493.93,54.72,50.93,45.31,78.88,48.41,45.53,46.24,67.44,51.83,40.14,42.04,55,-50.88,78.94,78.94,38.39,38.39,21.19,21.19
8,Operating Income,125.17,50.64,38.68,35.67,28.46,44.6,30.45,25.06,34.34,24.66,9.35,18.4,41.77,-31.68,49.37,49.37,27.13,27.13,10.5,10.5
9,Interest Expense,-73.34,-0.17,-0.17,-0.18,-0.23,-0.22,-0.29,-0.21,-0.46,-0.19,-0.19,-0.21,-0.25,-0.77,-,-,-,-,-,-
10,Interest & Investment Income,0.52,25.47,26.51,21.37,31.16,25.84,33.06,26.42,34.13,23.94,27.61,21.16,27.97,79.99,-,-,31.16,31.16,33.63,33.63
11,Other Non Operating Income (Expenses),15.24,5.09,-4.9,-5.03,-15.12,-5.66,4.68,-5.14,-13.93,-4.17,5.35,-1.54,-27.06,0.44,7.68,7.68,-4.4,-4.4,-2.84,-2.84
12,EBT Excluding Unusual Items,67.59,81.03,60.12,51.82,44.27,64.55,67.9,46.13,54.07,44.24,42.12,37.81,42.43,47.97,57.05,57.05,53.89,53.89,41.28,41.28
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.07,5.07,-,-
14,Gain (Loss) on Sale of Assets,0.01,-,-0.01,-,-0.06,0.06,-0.01,-,-,-,0.12,-0.03,-,-,-,-,0.04,0.04,-,-
15,Asset Writedown,0.34,-0.34,-,-,-,-,-,-,0.06,-0.06,0.06,-0.06,1.99,-1.99,-,-,-0.04,-0.04,0.04,0.04
16,Other Unusual Items,0.2,-11.46,11.22,0.05,13.18,-,-,-,13.6,-,-,-,28.72,-,-,-,5.27,5.27,0.25,0.25
17,Pretax Income,68.14,69.23,71.33,51.87,57.39,64.61,67.9,46.13,67.73,44.18,42.3,37.72,73.14,45.99,57.05,57.05,64.23,64.23,41.57,41.57
18,Income Tax Expense,24.62,10.07,7.36,7.95,1.95,10.55,7.62,6.56,9.82,4.99,4.82,5.54,9.21,7.33,7.55,7.55,4.94,4.94,9.9,9.9
19,Earnings From Continuing Operations,43.51,59.17,63.97,43.92,55.43,54.06,60.28,39.57,57.91,39.2,37.48,32.18,63.93,38.65,49.5,49.5,59.29,59.29,31.66,31.66
20,Minority Interest in Earnings,-0.06,1.67,-2.73,1.13,-19.81,2.88,-2.96,1.51,-13.98,-0.98,0.31,-1.34,-13.87,3.35,-1.67,-1.67,-5.12,-5.12,-0.18,-0.18
21,Net Income,43.45,60.84,61.23,45.04,35.63,56.94,57.31,41.08,43.93,38.21,37.78,30.84,50.06,42,47.84,47.84,54.17,54.17,31.48,31.48
22,Net Income to Common,43.45,60.84,61.23,45.04,35.63,56.94,57.31,41.08,43.93,38.21,37.78,30.84,50.06,42,47.84,47.84,54.17,54.17,31.48,31.48
23,Net Income Growth,21.96%,6.85%,6.84%,9.65%,-18.90%,49.01%,51.69%,33.20%,-12.24%,-9.02%,-21.02%,-35.53%,-7.58%,-22.46%,51.98%,51.98%,-,-,-,-
24,Shares Outstanding (Basic),407,407,407,407,407,407,407,407,407,347,347,347,347,347,-,-,347,347,330,330
25,Shares Outstanding (Diluted),407,407,407,407,407,407,407,407,407,347,347,347,347,347,-,-,347,347,330,330
26,Shares Change (YoY),0.02%,-0.01%,0.03%,-0.06%,-0.05%,17.26%,17.31%,17.36%,17.23%,0.02%,-,-,0.02%,-0.02%,-,-,-,-,-,-
27,EPS (Basic),0.11,0.15,0.15,0.11,0.09,0.14,0.14,0.10,0.11,0.11,0.11,0.09,0.14,0.12,-,-,0.16,0.16,0.10,0.10
28,EPS (Diluted),0.11,0.15,0.15,0.11,0.09,0.14,0.14,0.10,0.11,0.11,0.11,0.09,0.14,0.12,-,-,0.16,0.16,0.10,0.10
29,EPS Growth,21.94%,6.86%,6.81%,9.71%,-18.86%,27.07%,29.30%,13.50%,-25.14%,-9.04%,-,-,-7.61%,-22.44%,-,-,-,-,-,-
30,Free Cash Flow,-,-5.11,33.51,-126.87,206.72,100.69,21.48,-200.14,178.58,-535.63,796.4,-609.17,476.54,-366.78,-75.47,-75.47,17.79,17.79,4.76,4.76
