,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,10007,8431,9120,8095,7371,8213,8535,10228,9670,6744,5747,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,2.66%,2.66%,6.85%,-20.85%,-23.78%,21.79%,48.51%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7562,5987,6424,5123,4285,4985,5411,7056,5580,2653,2356,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,24.14,20.34,22.00,19.58,17.83,19.87,20.65,24.74,23.24,16.20,13.81,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,46.66,40.04,44.98,40.71,37.81,43.01,42.83,56.66,60.06,44.73,36.63,-,-,-,-,-,-,-,-,-,-
5,Forward PE,36.58,27.09,29.33,28.41,24.81,29.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,10.98,9.42,11.08,10.22,9.68,11.07,12.42,15.56,15.69,11.29,9.57,-,-,-,-,-,-,-,-,-,-
7,PB Ratio,3.75,3.08,3.33,3.03,2.70,3.05,3.27,4.01,3.78,2.67,2.33,-,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,3.21,3.21,3.47,3.16,2.81,3.19,3.40,4.18,3.92,2.78,2.41,-,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,37.82,-,63.79,84.83,-19.09,-,-39.71,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,31.46,-,37.51,40.23,-23.99,-,-53.48,-,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,8.45,6.69,7.80,6.47,5.63,6.72,7.88,10.74,9.05,4.44,3.92,-,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,27.71,21.68,35.80,30.02,27.38,34.83,37.00,55.35,51.82,25.97,21.27,-,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,30.23,23.93,41.87,34.76,30.79,38.77,40.25,61.62,59.73,30.59,25.02,-,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,23.94,-,38.72,53.78,-13.17,-,-15.63,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,0.02,0.02,-,-,-,-,-,-,-
16,Debt / EBITDA Ratio,0.05,0.03,0.06,0.07,0.08,0.11,0.10,0.13,0.15,0.12,0.15,-,0.24,0.12,-,-,-,-,-,-,-
17,Debt / FCF Ratio,-,-,-,0.07,-,0.14,0.19,-0.04,-,-0.13,-,-,-,-0.52,-,-,-,-,-,-,-
18,Asset Turnover,-,0.15,0.13,0.11,0.21,0.13,0.11,0.10,0.18,-,-,-,-,-,-,-,0.14,0.14,0.08,-,
19,Inventory Turnover,-,-,3.71,3.61,3.24,7.56,3.25,3.26,3.71,8.54,-,-,-,-,-,-,-,4.27,4.03,2.40,-
20,Quick Ratio,-,-,1.12,1.18,1.31,1.30,1.43,1.44,1.45,1.50,1.79,-,-,1.32,-,-,-,1.22,1.22,1.25,1.25
21,Current Ratio,-,-,1.17,1.22,1.35,1.34,1.47,1.49,1.49,1.53,1.82,-,-,1.34,-,-,-,1.26,1.26,1.30,1.30
22,Return on Equity (ROE),6.35%,8.74%,9.46%,6.48%,8.37%,8.38%,9.43%,6.23%,9.28%,-,-,9.67%,-,-,-,17.46%,20.91%,22.04%,12.44%,-,
23,Return on Assets (ROA),-,2.30%,1.74%,1.60%,1.32%,2.15%,1.49%,1.21%,1.67%,-,-,-,-,-,-,-,1.59%,1.61%,0.63%,-,
