,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,130.59,160.48,258.94,328.93,233.36,112.07,155.71,161.18,1202,-,-,38.14,-,-,-,77.47,77.47,61.04,61.04
1,Trading Asset Securities,-,2402,2625,2800,2849,3076,3096,3094,3429,2960,-,-,3427,-,-,-,3413,3413,3404,3404
2,Cash & Short-Term Investments,2533,2533,2786,3059,3178,3309,3208,3250,3590,4162,-,3465,3465,-,-,3490,3490,3490,3465,3465
3,Cash Growth,-20.30%,-23.45%,-13.15%,-5.87%,-11.47%,-20.50%,-,-6.22%,3.61%,-,-,-0.73%,-0.73%,-,-,0.75%,-,-,-,-
4,Accounts Receivable,-,238.52,220.38,210.23,157.83,202.64,167.76,180.5,146.25,189.01,-,-,119.74,-,-,-,114.13,114.13,228.69,228.69
5,Other Receivables,-,261.04,360.23,432.46,320.4,275.97,281.21,279.82,260.83,296.13,-,-,264.8,-,-,-,222.3,222.3,212.73,212.73
6,Receivables,-,499.56,580.62,642.7,478.23,478.6,448.96,460.32,407.08,485.13,-,-,384.53,-,-,-,336.43,336.43,441.42,441.42
7,Inventory,-,118.45,97.58,92.16,85.51,107.27,92.76,75.37,58.43,66.37,-,-,49.01,-,-,-,78.37,78.37,87.42,87.42
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.44,1.44
